报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-11,2318.658,100.3748,23.1,345.89,1.83%,39.55亿,42.14%,7.62,6.7035,58.4071,3.0315,PB；PE,502.30亿,522.51亿,15.16%,1777.44亿,87.20亿,,,山东能源集团有限公司
2026-03-31,2318.658,100.3748,23.1,345.89,1.83%,39.55亿,42.14%,7.62,1.6759,58.4071,3.0315,PB；PE,502.30亿,522.51亿,15.16%,1777.44亿,87.20亿,,,山东能源集团有限公司
2025,1320.242,100.3986,13.15,1449.33,-7.49%,83.81亿,-43.61%,7.14,0.9109,15.6753,1.8417,PB；PE,376.85亿,482.99亿,9.82%,1710.97亿,75.65亿,0.72,,山东能源集团有限公司
2024,996.876,74.3937,13.4,1566.72,-7.29%,148.63亿,-26.22%,5.91,0.6363,8.9232,2.2673,PB；PE,412.45亿,487.18亿,15.05%,1496.21亿,78.69亿,1.72,,山东能源集团有限公司
2023,658.177,49.487,13.3,1500.68,-33.31%,201.44亿,-39.61%,7.55,0.4386,6.3039,1.7616,PB；PE,377.99亿,502.89亿,18.10%,1184.83亿,77.42亿,4.3,,山东能源集团有限公司
2022,639.492,48.7418,13.12,2249.73,32.13%,333.57亿,105.16%,16.47,0.2843,2.8814,0.7966,PB；PE,666.89亿,772.38亿,19.64%,1439.11亿,96.76亿,2.0,,山东能源集团有限公司
2021,421.848,48.6,8.68,1519.91,-29.30%,162.59亿,128.30%,12.32,0.2775,2.599,0.7045,PB；PE,458.29亿,563.66亿,12.22%,964.87亿,84.55亿,1.0,,山东能源集团有限公司
2020,172.412,49.1202,3.51,2149.92,0.14%,71.22亿,-28.20%,10.06,0.0802,2.4059,0.3489,PB；PE,246.91亿,454.27亿,3.18%,797.82亿,77.15亿,0.58,,山东能源集团有限公司
2019,170.938,49.1202,3.48,2146.88,23.09%,99.18亿,25.40%,10.79,0.0796,1.7235,0.3225,PB；PE,290.63亿,456.50亿,5.54%,979.83亿,82.64亿,1.54,,山东能源集团有限公司
2018,121.818,49.1202,2.48,1630.08,7.79%,79.09亿,16.81%,10.32,0.0747,1.5403,0.2403,PB；PE,328.57亿,431.42亿,6.54%,849.53亿,51.27亿,0.48,,山东能源集团有限公司
2017,,,3.96,1512.28,47.85%,67.71亿,213.19%,9.3,,2.8729,0.4258,PB；PE,285.90亿,377.49亿,5.20%,772.81亿,40.32亿,0.12,,山东能源集团有限公司
2016,,,2.93,1022.82,47.78%,21.62亿,151.52%,7.2,,6.6576,0.4069,PB；PE,229.30亿,316.14亿,2.25%,522.40亿,26.54亿,0.01,,山东能源集团有限公司
2015,,,2.55,690.07,5.64%,8.60亿,-60.28%,8.1,,14.5881,0.3148,PB；PE,235.78亿,293.13亿,1.20%,430.01亿,20.00亿,0.02,,山东能源集团有限公司
2014,,,3.55,653.26,8.85%,21.64亿,70.22%,7.46,,8.07,0.4759,PB；PE,207.01亿,285.52亿,2.91%,438.54亿,19.98亿,0.02,,山东能源集团有限公司
2013,,,2.39,587.27,-1.59%,12.71亿,-76.29%,7.93,,9.2456,0.3014,PB；PE,155.10亿,269.99亿,0.51%,425.57亿,15.97亿,0.36,,山东能源集团有限公司
2012,,,4.75,596.74,19.83%,53.62亿,-37.14%,9.08,,4.3566,0.5231,PB；PE,160.94亿,280.28亿,9.36%,476.18亿,15.66亿,0.5700000000000001,,山东能源集团有限公司
2011,,,5.66,497.99,39.96%,85.30亿,-5.31%,8.58,,3.2636,0.6597,PB；PE,181.06亿,260.54亿,17.72%,427.33亿,13.95亿,0.5900000000000001,,山东能源集团有限公司
2010,,,7.05,348.44,62.06%,90.09亿,132.16%,7.47,,3.8491,0.9438,PB；PE,107.90亿,212.92亿,25.87%,368.08亿,16.46亿,0.25,,山东能源集团有限公司
