报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,78.314,1.9978,39.2,1.86,54.68%,41.93万,102.50%,10.47,42.1043,,3.744,PE；PB,5.58亿,2.12亿,-0.12%,21.01亿,1.84亿,0.1,,蒋学鑫
2026-03-31,78.314,1.9978,39.2,1.86,54.68%,41.93万,102.50%,10.47,10.5261,,3.744,PE；PB,5.58亿,2.12亿,-0.12%,21.01亿,1.84亿,0.1,,蒋学鑫
2025,57.896,1.9978,28.98,6.3,24.89%,-2212.24万,-284.29%,10.55,9.1898,,2.7469,PE；PB,6.10亿,2.12亿,-3.86%,21.18亿,1.67亿,0.1,,蒋学鑫
2024,37.539,1.9978,18.79,5.05,8.60%,1200.41万,-51.05%,11.02,7.4335,313.1667,1.7051,PE；PB,7.60亿,2.55亿,2.24%,22.13亿,1.58亿,0.1,,蒋学鑫
2023,57.776,1.9978,28.92,4.65,-22.96%,2452.37万,-83.31%,11.2,12.4249,241.0,2.5821,PE；PB,9.18亿,2.66亿,5.28%,22.37亿,1.22亿,0.2,,蒋学鑫
2022,67.363,1.8216,36.98,6.03,42.65%,1.47亿,35.75%,11.3,11.1713,46.8101,3.2726,PE；PB,13.48亿,2.84亿,24.36%,22.58亿,1.38亿,0.2,,蒋学鑫
2021,142.194,1.8216,78.06,4.23,119.85%,1.08亿,139.98%,6.73,33.6156,109.9437,11.5988,PE；PB,5.57亿,1.89亿,25.60%,12.25亿,8592.11万,,,蒋学鑫
2020,,,,1.92,16.44%,4508.94万,1.79%,3.55,,,,PE；PB,1.09亿,9133.59万,23.45%,4.84亿,4527.93万,,,蒋学鑫
2019,,,,1.65,42.85%,4429.47万,112.95%,3.28,,,,PE；PB,1.72亿,6438.28万,26.93%,4.48亿,5542.00万,,,蒋学鑫
2018,,,,1.16,53.33%,2080.02万,183.50%,1.57,,,,PE；PB,1784.78万,2449.95万,18.20%,1.70亿,3631.62万,,,蒋学鑫
2017,,,,0.753821,36.08%,733.70万,191.00%,1.57,,,,PE；PB,1246.55万,934.51万,9.73%,1.03亿,3048.20万,,,蒋学鑫
2016,,,,0.553974,71.72%,252.13万,1783.13%,1.42,,,,PE；PB,2877.48万,334.37万,4.55%,9162.36万,2517.79万,,,蒋学鑫
2015,,,,0.322607,55.94%,13.39万,106.78%,1.7,,,,PE；PB,890.61万,107.82万,0.42%,6913.02万,2258.89万,,,蒋学鑫
2014,,,,0.206884,13.44%,-197.49万,-280.36%,1.36,,,,PE；PB,290.78万,447.55万,-9.74%,5045.05万,1648.94万,,,蒋学鑫
2013,,,,0.18237,False,-51.92万,False,1.43,,,,PE；PB,987.64万,645.04万,-1.49%,5426.64万,1125.46万,,,蒋学鑫
