报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,94.083,3.8464,24.46,50.08,14.63%,7991.65万,64.23%,17.68,1.8787,117.7093,1.3835,PE；PB,31.83亿,42.90亿,1.65%,67.34亿,24.90亿,0.22999999999999998,,惠州市创新投资有限公司
2026-03-31,94.083,3.8464,24.46,50.08,14.63%,7991.65万,64.23%,17.68,0.4697,117.7093,1.3835,PE；PB,31.83亿,42.90亿,1.65%,67.34亿,24.90亿,0.22999999999999998,,惠州市创新投资有限公司
2025,102.507,3.8464,26.65,223.99,7.38%,2.92亿,-29.23%,17.49,0.4576,35.0704,1.5237,PE；PB,27.85亿,42.10亿,0.94%,66.58亿,26.57亿,0.32999999999999996,,惠州市创新投资有限公司
2024,88.275,3.8464,22.95,208.59,2.83%,4.13亿,-26.49%,17.1,0.4232,21.3727,1.3421,PE；PB,26.26亿,40.64亿,1.42%,65.93亿,22.01亿,0.45,,惠州市创新投资有限公司
2023,77.632,2.9939,25.93,202.85,-6.73%,5.62亿,-35.13%,16.36,0.3827,15.1575,1.585,PE；PB,37.22亿,38.49亿,2.52%,63.78亿,20.90亿,0.65,,惠州市创新投资有限公司
2022,113.243,3.003,37.71,217.49,11.70%,8.66亿,9.13%,13.66,0.5207,14.1077,2.7606,PE；PB,7.13亿,35.00亿,3.92%,42.24亿,29.15亿,0.75,,惠州市创新投资有限公司
2021,102.626,2.072,49.53,194.71,0.38%,7.94亿,18.53%,11.42,0.5271,18.7231,4.3371,PE；PB,2.71亿,28.59亿,4.08%,34.29亿,25.83亿,1.0,,惠州市创新投资有限公司
2020,80.891,2.072,39.04,193.98,5.18%,6.70亿,33.36%,13.66,0.417,17.5122,2.858,PE；PB,5.52亿,23.95亿,3.82%,28.22亿,16.99亿,0.7,,惠州市创新投资有限公司
2019,47.616,2.0524,23.2,184.43,6.92%,5.02亿,25.12%,10.61,0.2582,9.5047,2.1866,PE；PB,7.20亿,18.93亿,3.63%,28.61亿,20.16亿,0.25,,惠州市创新投资有限公司
2018,33.187,2.0524,16.17,172.49,38.15%,4.01亿,33.55%,8.53,0.1924,8.2686,1.8957,PE；PB,3.17亿,14.67亿,3.05%,22.65亿,25.53亿,0.25,,惠州市创新投资有限公司
2017,,,22.15,124.86,43.12%,3.01亿,17.72%,6.85,,15.1267,3.2336,PE；PB,2.68亿,11.28亿,2.91%,18.15亿,18.89亿,0.25,,惠州市创新投资有限公司
2016,,,23.42,87.24,3.44%,2.55亿,10.89%,5.63,,18.8279,4.1599,PE；PB,4.91亿,8.88亿,4.01%,15.00亿,9.91亿,0.15,,惠州市创新投资有限公司
2015,,,31.5,84.34,32.00%,2.30亿,-1.84%,4.54,,28.0824,6.9383,PE；PB,5.27亿,6.72亿,3.65%,11.98亿,6.68亿,0.2,,惠州市创新投资有限公司
2014,,,16.63,63.9,45.14%,2.35亿,13.84%,3.61,,14.552,4.6066,PE；PB,11.65亿,4.85亿,4.90%,9.18亿,7.12亿,0.2,,惠州市创新投资有限公司
2013,,,25.76,44.02,37.78%,2.06亿,43.44%,3.9,,25.6625,6.6051,PE；PB,3.37亿,3.52亿,6.25%,6.52亿,5.29亿,0.3,,惠州市创新投资有限公司
2012,,,11.16,31.95,42.24%,1.44亿,20.38%,2.7,,10.6306,4.1333,PE；PB,2.94亿,2.05亿,5.34%,4.64亿,1.86亿,0.65,,惠州市创新投资有限公司
2011,,,7.46,22.46,70.69%,1.19亿,67.17%,2.3,,8.555,3.2435,PE；PB,1.00亿,1.58亿,6.99%,4.27亿,2.01亿,0.1,,惠州市创新投资有限公司
2010,,,9.4,13.16,43.62%,7137.57万,512.75%,1.53,,18.0215,6.1438,PE；PB,1.25亿,5206.89万,6.66%,2.78亿,9512.26万,,,惠州市创新投资有限公司
