报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,56.531,1.7567,32.18,2.91,40.19%,-30.92万,95.26%,6.87,19.4265,,4.6841,PE；PB,3.20亿,3.31亿,-0.11%,12.08亿,4.10亿,0.08,,贾彤颖
2026-03-31,56.531,1.7567,32.18,2.91,40.19%,-30.92万,95.26%,6.87,4.8566,,4.6841,PE；PB,3.20亿,3.31亿,-0.11%,12.08亿,4.10亿,0.08,,贾彤颖
2025,43.772,1.7474,25.05,15.57,28.78%,4015.33万,67.72%,6.86,2.8113,108.913,3.6516,PE；PB,2.91亿,3.31亿,2.58%,12.05亿,3.28亿,0.068,,贾彤颖
2024,27.533,1.7404,15.82,12.09,19.89%,2394.07万,-76.66%,6.52,2.2773,113.0,2.4264,PE；PB,2.46亿,3.05亿,1.98%,11.40亿,2.64亿,0.12,,贾彤颖
2023,38.09,1.7345,21.96,10.09,57.80%,1.03亿,131.26%,6.42,3.775,37.2203,3.4206,PE；PB,1.99亿,3.07亿,10.17%,11.17亿,2.70亿,0.05,,贾彤颖
2022,23.589,1.7345,13.6,6.39,51.79%,4435.36万,36.41%,5.83,3.6915,52.3077,2.3328,PE；PB,3.04亿,2.25亿,6.87%,10.12亿,2.27亿,0.03,,贾彤颖
2021,31.091,1.6076,19.34,4.21,31.34%,3251.45万,-21.65%,5.58,7.385,96.7,3.4659,PE；PB,3.40亿,1.89亿,7.69%,9.69亿,1.33亿,0.025,,贾彤颖
2020,24.966,1.6076,15.53,3.21,15.85%,4149.73万,38.28%,4.47,7.7776,59.7308,3.4743,PE；PB,9111.15万,1.61亿,12.94%,6.95亿,9476.14万,,,贾彤颖
2019,18.507,1.4515,12.75,2.77,70.83%,3000.92万,311.85%,4.21,6.6812,67.1053,3.0285,PE；PB,9224.27万,1.22亿,10.84%,6.77亿,7792.14万,,,贾彤颖
2018,22.274,1.4577,15.28,1.62,-25.31%,-1416.52万,-232.17%,2.85,13.7494,,5.3614,PE；PB,1.04亿,9270.02万,-8.74%,4.14亿,4030.81万,0.02,,贾彤颖
2017,,,17.45,2.17,-2.59%,1071.75万,-73.88%,2.96,,249.2857,5.8953,PE；PB,1.88亿,1.10亿,4.94%,4.31亿,4240.18万,0.2,,贾彤颖
2016,,,40.38,2.23,20.04%,4103.80万,-3.98%,5.11,,144.2143,7.9022,PE；PB,2.03亿,1.16亿,18.43%,4.14亿,3184.42万,0.3,,贾彤颖
2015,,,8.15,1.85,23.65%,4273.70万,14.73%,4.94,,11.4789,1.6498,PE；PB,2.36亿,1.03亿,23.04%,3.96亿,3903.96万,,,贾彤颖
2014,,,,1.5,11.61%,3725.10万,2.44%,3.01,,,,PE；PB,4890.23万,7235.02万,24.83%,1.81亿,2366.41万,,,贾彤颖
2013,,,,1.34,20.76%,3636.24万,6.54%,2.52,,,,PE；PB,7106.90万,4632.43万,27.06%,1.51亿,2209.10万,,,贾彤颖
2012,,,,1.11,33.93%,3413.13万,37.52%,1.91,,,,PE；PB,6522.62万,1359.82万,30.67%,1.15亿,1760.61万,,,贾彤颖
2011,,,,0.831005,False,2481.87万,False,13.0,,,,PE；PB,1987.13万,5751.65万,29.87%,6501.65万,1081.43万,,,贾彤颖
