报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,30.845,5.1581,5.98,1.09,-34.78%,1215.72万,-70.56%,3.62,28.2982,253.3898,1.6519,PE；PB,8.70亿,5.21亿,11.16%,18.67亿,4.21亿,0.15,40%: 最新年度营业收入下滑；最新年度净利润同比下降,国家能源集团科技环保有限公司
2026-03-31,30.845,5.1581,5.98,1.09,-34.78%,1215.72万,-70.56%,3.62,7.0745,253.3898,1.6519,PE；PB,8.70亿,5.21亿,11.16%,18.67亿,4.21亿,0.15,,国家能源集团科技环保有限公司
2025,36.112,5.1589,7.0,9.6,-24.83%,-3567.06万,-154.64%,3.6,3.7617,,1.9444,PE；PB,9.05亿,5.09亿,-3.72%,18.55亿,3.53亿,0.1,,国家能源集团科技环保有限公司
2024,37.985,5.161,7.36,12.77,13.06%,6528.75万,-53.77%,3.74,2.9745,58.2278,1.9679,PE；PB,7.47亿,5.96亿,5.11%,19.29亿,2.64亿,0.15,,国家能源集团科技环保有限公司
2023,33.215,5.1898,6.4,11.29,54.10%,1.41亿,59.53%,3.76,2.942,23.3491,1.7021,PE；PB,8.19亿,6.14亿,12.51%,19.40亿,2.42亿,0.2,,国家能源集团科技环保有限公司
2022,37.874,5.224,7.25,7.33,35.25%,8852.95万,1388.55%,3.67,5.167,42.029,1.9755,PE；PB,10.97亿,5.90亿,12.08%,19.02亿,2.57亿,,,国家能源集团科技环保有限公司
2021,32.076,5.1322,6.25,5.42,18.22%,594.74万,-39.29%,3.47,5.9181,637.7551,1.8012,PE；PB,12.11亿,5.10亿,1.10%,18.14亿,1.84亿,0.09820809999999999,,国家能源集团科技环保有限公司
2020,20.17,5.1322,3.93,4.58,-10.72%,979.57万,-29.95%,3.62,4.4039,205.7592,1.0856,PE；PB,11.81亿,5.55亿,2.14%,18.59亿,1.76亿,0.2,,国家能源集团科技环保有限公司
2019,19.297,5.1322,3.76,5.13,10.67%,1398.30万,67.65%,3.8,3.7616,138.2353,0.9895,PE；PB,2.09亿,6.48亿,2.66%,19.52亿,1.37亿,,,国家能源集团科技环保有限公司
2018,16.423,5.1322,3.2,4.64,-22.17%,834.04万,-47.83%,3.78,3.5394,196.319,0.8466,PE；PB,12.23亿,6.39亿,1.54%,19.44亿,2.15亿,,,国家能源集团科技环保有限公司
2017,,,4.7,5.96,34.06%,1598.64万,109.72%,3.77,,151.1254,1.2467,PE；PB,11.39亿,6.32亿,2.30%,19.37亿,1.96亿,,,国家能源集团科技环保有限公司
2016,,,8.03,4.45,-46.94%,-1.64亿,-243.95%,3.74,,,2.1471,PE；PB,11.70亿,6.17亿,-39.11%,19.21亿,2.79亿,,,国家能源集团科技环保有限公司
2015,,,9.58,8.38,-48.85%,-4782.27万,-128.23%,4.06,,,2.3596,PE；PB,9.25亿,7.82亿,-6.08%,21.00亿,2.67亿,0.04,,国家能源集团科技环保有限公司
2014,,,10.68,16.38,18.65%,1.69亿,-11.78%,4.19,,32.3636,2.5489,PE；PB,9.40亿,8.50亿,10.42%,21.70亿,3.35亿,0.15,,国家能源集团科技环保有限公司
2013,,,9.62,13.8,11.63%,1.92亿,-9.37%,7.09,,26.0,1.3568,PE；PB,11.53亿,7.41亿,13.94%,20.42亿,3.49亿,0.1,,国家能源集团科技环保有限公司
2012,,,10.31,12.37,39.90%,2.12亿,21.50%,6.52,,13.9324,1.5813,PE；PB,11.15亿,5.97亿,17.29%,18.79亿,1.68亿,0.1,,国家能源集团科技环保有限公司
2011,,,13.33,8.84,81.34%,1.74亿,66.00%,10.5,,21.8525,1.2695,PE；PB,10.78亿,4.22亿,19.45%,16.66亿,1.55亿,0.12,,国家能源集团科技环保有限公司
2010,,,17.58,4.87,12.02%,1.05亿,19.76%,17.04,,21.975,1.0317,PE；PB,12.33亿,2.75亿,21.54%,15.00亿,9516.03万,,,国家能源集团科技环保有限公司
