报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,36.323,1.8627,19.5,4.48,-4.40%,323.54万,-88.42%,8.02,8.1078,975.0,2.4314,PE；PB,3.36亿,5.41亿,-0.19%,16.10亿,4.80亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,常州市洛辉投资有限公司
2026-03-31,36.323,1.8627,19.5,4.48,-4.40%,323.54万,-88.42%,8.02,2.027,975.0,2.4314,PE；PB,3.36亿,5.41亿,-0.19%,16.10亿,4.80亿,,,常州市洛辉投资有限公司
2025,35.568,1.6,22.23,22.13,3.85%,7970.65万,-36.83%,8.0,1.6072,45.3673,2.7788,PE；PB,4.86亿,5.37亿,3.35%,16.10亿,3.81亿,0.125,,常州市洛辉投资有限公司
2024,21.408,1.6,13.38,21.31,8.51%,1.26亿,15.81%,6.53,1.0046,16.9367,2.049,PE；PB,6.59亿,4.98亿,8.51%,13.82亿,3.51亿,0.1,,常州市洛辉投资有限公司
2023,25.712,1.6,16.07,19.64,22.06%,1.09亿,44.57%,5.89,1.3092,23.6324,2.7284,PE；PB,2.04亿,4.03亿,8.38%,11.76亿,3.33亿,0.1,,常州市洛辉投资有限公司
2022,16.48,1.6,10.3,16.09,23.71%,7536.01万,1.43%,5.31,1.0242,21.9149,1.9397,PE；PB,1.34亿,3.15亿,6.88%,10.35亿,3.14亿,0.1,,常州市洛辉投资有限公司
2021,18.816,1.6,11.76,13.01,45.84%,7429.93万,16.26%,4.93,1.4463,25.5652,2.3854,PE；PB,1.69亿,2.59亿,7.47%,9.46亿,2.71亿,0.1,,常州市洛辉投资有限公司
2020,16.864,1.6,10.54,8.8,43.17%,6390.71万,32.37%,4.57,1.9164,26.35,2.3063,PE；PB,2.00亿,2.04亿,8.51%,8.13亿,1.64亿,0.1,,常州市洛辉投资有限公司
2019,16.384,1.6,10.24,6.14,9.68%,4827.96万,-19.77%,4.27,2.6684,34.1333,2.3981,PE；PB,2.55亿,1.61亿,7.84%,6.86亿,9330.92万,0.11299999999999999,,常州市洛辉投资有限公司
2018,14.352,1.6,8.97,5.6,15.22%,6017.90万,12.16%,4.09,2.5629,23.6053,2.1932,PE；PB,2.14亿,1.36亿,10.81%,6.57亿,8525.65万,0.101,,常州市洛辉投资有限公司
2017,,,16.93,4.86,9.77%,5365.22万,2.77%,3.81,,40.3095,4.4436,PE；PB,1.51亿,9753.23万,11.03%,6.12亿,7451.29万,,,常州市洛辉投资有限公司
2016,,,,4.43,2.42%,5220.58万,20.64%,2.62,,,,PE；PB,4877.90万,6106.82万,11.75%,3.15亿,6086.23万,,,常州市洛辉投资有限公司
2015,,,,4.32,1.23%,4327.35万,4.57%,2.33,,,,PE；PB,5235.48万,3199.02万,9.97%,2.81亿,7059.97万,,,常州市洛辉投资有限公司
2014,,,,4.27,0.53%,4138.09万,14.19%,2.05,,,,PE；PB,5985.85万,9140.54万,9.69%,2.05亿,7498.08万,,,常州市洛辉投资有限公司
2013,,,,4.25,False,3623.91万,False,1.73,,,,PE；PB,5718.20万,6416.26万,8.53%,1.73亿,7806.93万,,,常州市洛辉投资有限公司
