报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,73.885,2.0644,35.79,35.84,15.93%,4460.76万,-18.79%,12.28,2.0615,162.6818,2.9145,PE；PB,16.91亿,6.47亿,1.24%,25.36亿,10.17亿,1.2,20%: 最新年度净利润同比下降,湖州长城电子科技有限公司
2026-03-31,73.885,2.0644,35.79,35.84,15.93%,4460.76万,-18.79%,12.28,0.5154,162.6818,2.9145,PE；PB,16.91亿,6.47亿,1.24%,25.36亿,10.17亿,1.2,,湖州长城电子科技有限公司
2025,54.686,2.0644,26.49,125.87,-3.07%,3.15亿,33.62%,12.12,0.4345,17.3137,2.1856,PE；PB,14.99亿,6.02亿,2.51%,25.03亿,9.86亿,1.8,,湖州长城电子科技有限公司
2024,44.096,2.0644,21.36,129.85,17.21%,2.36亿,9.05%,12.4,0.3396,18.7368,1.7226,PE；PB,13.29亿,6.58亿,1.82%,25.59亿,6.96亿,2.2,,湖州长城电子科技有限公司
2023,34.331,2.0644,16.63,110.79,10.50%,2.17亿,59.00%,13.45,0.3099,15.8381,1.2364,PE；PB,14.29亿,8.76亿,1.95%,27.76亿,6.96亿,0.9,,湖州长城电子科技有限公司
2022,34.104,2.0644,16.52,100.26,-6.53%,1.36亿,-60.08%,13.3,0.3402,25.0303,1.2421,PE；PB,14.90亿,8.46亿,1.36%,27.45亿,6.89亿,0.5,,湖州长城电子科技有限公司
2021,67.31,1.784,37.73,107.27,70.99%,3.41亿,95.79%,13.14,0.6275,19.963,2.8714,PE；PB,6.80亿,8.18亿,3.18%,27.12亿,7.74亿,1.1,,湖州长城电子科技有限公司
2020,23.442,1.784,13.14,62.73,26.19%,1.74亿,11.80%,10.54,0.3737,13.4082,1.2467,PE；PB,12.99亿,6.93亿,2.78%,19.90亿,7.12亿,0.58,,湖州长城电子科技有限公司
2019,24.548,1.784,13.76,49.71,-0.16%,1.56亿,-13.81%,10.15,0.4938,15.8161,1.3557,PE；PB,3.58亿,6.34亿,3.13%,19.19亿,4.51亿,0.15,,湖州长城电子科技有限公司
2018,28.847,1.784,16.17,49.79,8.63%,1.81亿,1.90%,9.42,0.5794,14.5676,1.7166,PE；PB,1.09亿,5.17亿,3.63%,16.81亿,4.01亿,,,湖州长城电子科技有限公司
2017,,,,45.84,41.98%,1.77亿,55.84%,0.0,,,,PE；PB,2.61亿,3.53亿,3.87%,7.97亿,3.67亿,,,湖州长城电子科技有限公司
2016,,,,32.29,11.73%,1.14亿,117.39%,4.63,,,,PE；PB,1.17亿,1.93亿,3.53%,6.19亿,2.74亿,,,湖州长城电子科技有限公司
2015,,,,28.9,-12.32%,5236.90万,19.81%,3.91,,,,PE；PB,4680.31万,1.27亿,1.81%,4.69亿,2.33亿,,,湖州长城电子科技有限公司
2014,,,,32.96,False,4370.97万,False,3.47,,,,PE；PB,1.23亿,7958.56万,1.33%,4.17亿,2.49亿,,,湖州长城电子科技有限公司
