报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,18997.578,1830.2098,10.38,7363.83,-2.21%,483.32亿,1.86%,8.88,2.5799,39.3182,1.1689,PB；PE,2693.84亿,1.09万亿,7.26%,1.84万亿,1694.25亿,,20%: 最新年度营业收入下滑,香港中央结算(代理人)有限公司
2026-03-31,18997.578,1830.2098,10.38,7363.83,-2.21%,483.32亿,1.86%,8.88,0.645,39.3182,1.1689,PB；PE,2693.84亿,1.09万亿,7.26%,1.84万亿,1694.25亿,,,香港中央结算(代理人)有限公司
2025,19052.484,1830.2098,10.41,28600.0,-2.50%,1573.02亿,-4.48%,8.67,0.6662,12.1047,1.2007,PB；PE,2450.84亿,1.04万亿,6.00%,1.83万亿,1505.98亿,0.47000000000000003,,香港中央结算(代理人)有限公司
2024,15501.877,1830.2098,8.47,29400.0,-2.48%,1646.76亿,2.02%,8.28,0.5273,9.4111,1.0229,PB；PE,2190.62亿,9822.34亿,6.25%,1.71万亿,1683.38亿,0.45,,香港中央结算(代理人)有限公司
2023,11640.134,1830.2098,6.36,30100.0,-7.04%,1614.14亿,8.52%,7.9,0.3867,7.2273,0.8051,PB；PE,2772.77亿,9146.71亿,5.99%,1.64万亿,1806.39亿,0.43000000000000005,,香港中央结算(代理人)有限公司
2022,7760.09,1830.2098,4.24,32400.0,23.90%,1487.38亿,61.39%,7.48,0.2395,5.2346,0.5668,PB；PE,2289.25亿,8452.42亿,5.06%,1.53万亿,1677.51亿,0.29879999999999995,,香港中央结算(代理人)有限公司
2021,7247.631,1830.2098,3.96,26100.0,35.19%,921.61亿,385.01%,6.91,0.2777,7.92,0.5731,PB；PE,1635.36亿,7669.55亿,4.39%,1.41万亿,1438.48亿,0.21782,,香港中央结算(代理人)有限公司
2020,5893.276,1830.2098,3.22,19300.0,-23.16%,190.02亿,-58.40%,6.64,0.3054,32.2,0.4849,PB；PE,1459.50亿,7229.39亿,1.73%,1.37万亿,1285.39亿,0.15343,,香港中央结算(代理人)有限公司
2019,7979.715,1830.2098,4.36,25200.0,5.97%,456.77亿,-13.87%,6.72,0.3167,17.44,0.6488,PB；PE,1106.65亿,7381.24亿,2.66%,1.44万亿,1819.21亿,0.16765,,香港中央结算(代理人)有限公司
2018,9608.601,1830.2098,5.25,23700.0,16.75%,530.30亿,132.66%,6.64,0.4054,18.1034,0.7907,PB；PE,954.89亿,7261.68亿,3.08%,1.41万亿,1775.77亿,0.14954,,香港中央结算(代理人)有限公司
2017,,,5.79,20200.0,24.68%,227.93亿,188.52%,6.52,,48.25,0.888,PB；PE,1361.21亿,7074.48亿,1.82%,1.38万亿,1446.69亿,0.10727,,香港中央结算(代理人)有限公司
2016,,,5.61,16200.0,-6.29%,79.00亿,-77.84%,6.5,,140.25,0.8631,PB；PE,986.17亿,7062.13亿,1.82%,1.37万亿,1468.65亿,0.04617,,香港中央结算(代理人)有限公司
2015,,,5.86,17300.0,-24.42%,356.53亿,-66.73%,6.45,,30.8421,0.9085,PB；PE,736.92亿,7067.28亿,2.46%,1.34万亿,1268.77亿,0.15848,,香港中央结算(代理人)有限公司
2014,,,7.47,22800.0,1.10%,1071.73亿,-17.29%,6.43,,12.661,1.1617,PB；PE,760.21亿,7021.40亿,5.21%,1.32万亿,1659.77亿,0.32505,,香港中央结算(代理人)有限公司
2013,,,5.11,22600.0,2.86%,1295.77亿,12.36%,6.19,,7.1972,0.8255,PB；PE,572.50亿,6641.36亿,6.30%,1.27万亿,2270.17亿,0.29216,,香港中央结算(代理人)有限公司
2012,,,5.78,22000.0,9.55%,1153.23亿,-13.28%,5.81,,9.1746,0.9948,PB；PE,499.53亿,5986.86亿,5.95%,1.18万亿,2141.17亿,0.31712,,香港中央结算(代理人)有限公司
2011,,,6.02,20000.0,36.74%,1329.84亿,-4.92%,5.48,,8.2466,1.0985,PB；PE,642.99亿,5515.98亿,7.29%,1.08万亿,1822.53亿,0.34586,,香港中央结算(代理人)有限公司
2010,,,6.7,14700.0,43.77%,1398.71亿,35.57%,5.13,,8.8158,1.306,PB；PE,522.10亿,4941.46亿,10.28%,1.01万亿,1348.88亿,0.29066000000000003,,香港中央结算(代理人)有限公司
