报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,22.052,1.2964,17.01,4.41,-12.20%,565.64万,-20.64%,4.72,5.0005,386.5909,3.6038,PB；PE,3.77亿,1.24亿,1.28%,6.12亿,6511.74万,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,中国石油大庆石油化工有限公司
2026-03-31,22.052,1.2964,17.01,4.41,-12.20%,565.64万,-20.64%,4.72,1.2501,386.5909,3.6038,PB；PE,3.77亿,1.24亿,1.28%,6.12亿,6511.74万,,,中国石油大庆石油化工有限公司
2025,24.774,1.2964,19.11,18.46,-6.27%,742.59万,-49.81%,4.67,1.342,333.5079,4.0921,PB；PE,3.34亿,1.18亿,0.40%,6.05亿,3988.09万,0.065,,中国石油大庆石油化工有限公司
2024,24.165,1.2964,18.64,19.69,-1.54%,1479.54万,160.63%,4.66,1.2273,163.3655,4.0,PB；PE,3.28亿,1.20亿,0.75%,6.04亿,6021.81万,0.018,,中国石油大庆石油化工有限公司
2023,20.872,1.2964,16.1,20.0,-23.34%,567.67万,-63.16%,4.52,1.0436,367.5799,3.5619,PB；PE,3.11亿,1.09亿,0.28%,5.86亿,7126.20万,0.048,,中国石油大庆石油化工有限公司
2022,22.402,1.2964,17.28,26.09,25.83%,1540.89万,19.98%,4.65,0.8586,145.2101,3.7161,PB；PE,2.29亿,1.10亿,0.59%,6.03亿,1.27亿,0.046,,中国石油大庆石油化工有限公司
2021,17.826,1.2964,13.75,20.73,17.61%,1284.28万,5.88%,4.57,0.8599,138.8889,3.0088,PB；PE,2.58亿,1.02亿,0.62%,5.92亿,6648.21万,0.046,,中国石油大庆石油化工有限公司
2020,16.205,1.2964,12.5,17.63,-18.22%,1212.97万,-72.88%,4.46,0.9192,132.9787,2.8027,PB；PE,2.20亿,9685.03万,0.69%,5.78亿,6112.70万,0.16,,中国石油大庆石油化工有限公司
2019,20.742,1.2964,16.0,21.56,27.55%,4472.76万,1653.03%,4.46,0.9621,45.7143,3.5874,PB；PE,2.21亿,1.07亿,2.07%,5.78亿,6618.95万,,,中国石油大庆石油化工有限公司
2018,15.648,1.2964,12.07,16.9,10.44%,-288.00万,-105.98%,4.06,0.9259,,2.9729,PB；PE,1.76亿,6642.11万,-0.17%,5.26亿,6199.45万,0.185,,中国石油大庆石油化工有限公司
2017,,,20.02,15.3,48.22%,4815.51万,44.43%,4.27,,54.1081,4.6885,PB；PE,2.26亿,9328.44万,3.15%,5.54亿,5138.38万,0.125,,中国石油大庆石油化工有限公司
2016,,,29.37,10.33,30.77%,3334.20万,300.48%,4.0,,112.9615,7.3425,PB；PE,1.63亿,6614.97万,3.23%,5.18亿,4606.21万,,,中国石油大庆石油化工有限公司
2015,,,29.33,7.9,-44.51%,-1663.09万,-219.50%,3.72,,,7.8844,PB；PE,8584.67万,3614.20万,-2.11%,4.82亿,3513.51万,0.06,,中国石油大庆石油化工有限公司
2014,,,14.17,14.23,21.05%,1391.76万,35.03%,3.87,,128.8182,3.6615,PB；PE,1.02亿,6055.13万,0.98%,5.02亿,5425.46万,0.05,,中国石油大庆石油化工有限公司
2013,,,9.34,11.75,-1.54%,1030.74万,741.11%,3.82,,116.75,2.445,PB；PE,2780.67万,5450.74万,0.88%,4.95亿,7918.07万,,,中国石油大庆石油化工有限公司
2012,,,10.37,11.94,3.48%,-160.78万,-106.42%,3.64,,,2.8489,PB；PE,3899.40万,4507.00万,-0.13%,4.72亿,6513.52万,0.1,,中国石油大庆石油化工有限公司
2011,,,10.38,11.54,11.31%,2503.63万,-4.95%,3.77,,54.6316,2.7533,PB；PE,7324.78万,5902.63万,2.17%,4.89亿,9066.09万,0.1,,中国石油大庆石油化工有限公司
2010,,,13.38,10.36,18.91%,2634.04万,-6.40%,3.67,,66.9,3.6458,PB；PE,4962.28万,4803.75万,2.54%,4.75亿,1.04亿,0.18,,中国石油大庆石油化工有限公司
