报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,187.236,19.9825,9.37,11.93,0.28%,2.01亿,25.13%,3.51,15.6946,93.7,2.6695,PB；PE,31.26亿,12.08亿,14.67%,78.01亿,11.26亿,0.08,,香港中央结算有限公司
2026-03-31,187.236,19.9825,9.37,11.93,0.28%,2.01亿,25.13%,3.51,3.9236,93.7,2.6695,PB；PE,31.26亿,12.08亿,14.67%,78.01亿,11.26亿,0.08,,香港中央结算有限公司
2025,240.257,20.3608,11.8,44.16,8.62%,4.31亿,-38.99%,3.45,5.4406,53.6364,3.4203,PB；PE,28.32亿,10.08亿,9.16%,77.49亿,7.19亿,0.11,,香港中央结算有限公司
2024,141.404,20.3752,6.94,40.66,-13.11%,7.06亿,12.97%,3.41,3.4777,19.2778,2.0352,PB；PE,20.18亿,8.19亿,15.97%,76.07亿,4.02亿,0.12000000000000001,,香港中央结算有限公司
2023,129.191,20.345,6.35,46.79,-3.13%,6.25亿,1.67%,3.3,2.7611,20.4839,1.9242,PB；PE,33.50亿,3.84亿,13.37%,74.46亿,2.96亿,0.09814,,香港中央结算有限公司
2022,142.328,20.217,7.04,48.3,17.26%,6.15亿,-29.66%,3.11,2.9467,23.4667,2.2637,PB；PE,39.49亿,-928.26万,14.48%,73.74亿,4.09亿,,,香港中央结算有限公司
2021,223.034,19.5472,11.41,41.19,49.04%,8.74亿,513.55%,2.77,5.4148,25.9318,4.1191,PB；PE,36.81亿,-5.84亿,23.34%,66.03亿,3.23亿,,,香港中央结算有限公司
2020,111.028,19.5472,5.68,27.64,-25.67%,1.43亿,11.60%,2.04,4.0169,81.1429,2.7843,PB；PE,22.20亿,-14.59亿,4.11%,50.61亿,2.24亿,,,香港中央结算有限公司
2019,107.51,19.5472,5.5,37.18,47.84%,1.28亿,120.13%,1.99,2.8916,78.5714,2.7638,PB；PE,17.24亿,-16.01亿,4.89%,50.95亿,5.09亿,,,香港中央结算有限公司
2018,83.271,19.5472,4.26,25.15,-49.69%,-6.35亿,-1493.36%,2.12,3.311,,2.0094,PB；PE,25.88亿,-13.44亿,-55.23%,64.79亿,3.40亿,,,香港中央结算有限公司
2017,,,8.41,27.56,203.65%,4553.84万,115.93%,2.51,,420.5,3.3506,PB；PE,27.98亿,-1.77亿,2.06%,49.53亿,3.10亿,,,香港中央结算有限公司
2016,,,11.63,9.08,-13.60%,-2.86亿,-2904.08%,2.14,,,5.4346,PB；PE,11.08亿,-2.22亿,-31.37%,40.30亿,3.55亿,0.03,,香港中央结算有限公司
2015,,,13.35,10.51,-40.58%,1019.14万,-97.60%,2.31,,1335.0,5.7792,PB；PE,8.08亿,1.20亿,0.97%,43.18亿,3.66亿,0.15,,香港中央结算有限公司
2014,,,15.01,17.68,-39.47%,4.24亿,-57.76%,2.46,,60.04,6.1016,PB；PE,15.74亿,3.90亿,23.98%,45.99亿,6.43亿,,,香港中央结算有限公司
2013,,,,29.21,20.94%,10.04亿,30.15%,2.0,,,,PB；PE,5.87亿,9.58亿,34.37%,33.66亿,4.85亿,,,香港中央结算有限公司
2012,,,,24.15,-14.74%,7.71亿,-37.57%,1.8,,,,PB；PE,7.61亿,7.12亿,31.93%,30.18亿,5.39亿,,,香港中央结算有限公司
2011,,,,28.33,14.25%,12.35亿,19.03%,1.99,,,,PB；PE,15.75亿,11.07亿,43.61%,33.47亿,2.13亿,,,香港中央结算有限公司
2010,,,,24.8,58.93%,10.38亿,128.88%,1.47,,,,PB；PE,11.98亿,3.54亿,41.81%,25.22亿,2.23亿,,,香港中央结算有限公司
