报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,237.953,9.11,26.12,80.83,316.28%,5.22亿,2102.76%,5.77,2.9439,45.5449,4.5269,PE；PB,18.81亿,17.01亿,6.46%,52.57亿,20.05亿,0.156,,新疆有色金属工业(集团)有限责任公司
2026-03-31,237.953,9.11,26.12,80.83,316.28%,5.22亿,2102.76%,5.77,0.736,45.5449,4.5269,PE；PB,18.81亿,17.01亿,6.46%,52.57亿,20.05亿,0.156,,新疆有色金属工业(集团)有限责任公司
2025,244.837,9.1768,26.68,135.67,93.80%,4.72亿,86.09%,5.19,1.8047,51.7154,5.1407,PE；PB,16.03亿,11.79亿,3.41%,47.31亿,19.23亿,0.05,,新疆有色金属工业(集团)有限责任公司
2024,105.389,9.2285,11.42,70.01,56.68%,2.54亿,192.57%,5.14,1.5053,41.482,2.2218,PE；PB,11.81亿,7.68亿,4.14%,59.60亿,8.40亿,,,新疆有色金属工业(集团)有限责任公司
2023,111.329,9.2543,12.03,44.68,-0.67%,-2.74亿,-254.39%,4.75,2.4917,,2.5326,PE；PB,7.20亿,5.72亿,-6.13%,43.83亿,6.14亿,0.057999999999999996,,新疆有色金属工业(集团)有限责任公司
2022,75.834,6.4266,11.8,44.98,-20.38%,1.77亿,-51.72%,5.15,1.6859,53.9552,2.2913,PE；PB,6.87亿,8.99亿,5.48%,48.13亿,5.09亿,0.034999999999999996,,新疆有色金属工业(集团)有限责任公司
2021,77.401,6.36,12.17,55.36,-25.15%,3.68亿,374.31%,2.83,1.3981,25.8277,4.3004,PE；PB,5.91亿,9.24亿,1.77%,38.83亿,5.90亿,0.037,,新疆有色金属工业(集团)有限责任公司
2020,84.715,6.36,13.32,55.55,43.81%,7748.75万,88.68%,2.79,1.525,109.3596,4.7742,PE；PB,5.21亿,5.51亿,1.39%,17.74亿,3.09亿,0.02,,新疆有色金属工业(集团)有限责任公司
2019,94.7,6.36,14.89,38.63,285.60%,4106.87万,322.50%,2.69,2.4515,230.4954,5.5353,PE；PB,2.19亿,4.91亿,1.06%,17.09亿,4.05亿,0.01,,新疆有色金属工业(集团)有限责任公司
2018,93.174,6.36,14.65,10.02,-28.06%,972.03万,-55.43%,2.64,9.2988,957.5163,5.5492,PE；PB,3.58亿,4.59亿,0.97%,16.81亿,4.06亿,0.011,,新疆有色金属工业(集团)有限责任公司
2017,,,15.63,13.93,25.08%,2181.00万,-82.77%,2.64,,455.6851,5.9205,PE；PB,2.93亿,4.61亿,1.57%,16.81亿,2.79亿,0.064,,新疆有色金属工业(集团)有限责任公司
2016,,,21.96,11.13,9.74%,1.27亿,107.84%,2.68,,110.3518,8.194,PE；PB,3.21亿,4.88亿,11.37%,17.04亿,3.76亿,0.033,,新疆有色金属工业(集团)有限责任公司
2015,,,20.92,10.14,-5.67%,6088.91万,-22.35%,2.52,,215.0051,8.3016,PE；PB,2.38亿,3.90亿,6.35%,15.99亿,3.79亿,0.020999999999999998,,新疆有色金属工业(集团)有限责任公司
2014,,,,10.75,-1.04%,7841.72万,-33.30%,2.23,,,,PE；PB,1.86亿,3.52亿,7.29%,11.37亿,2.65亿,,,新疆有色金属工业(集团)有限责任公司
2013,,,,10.87,-9.89%,1.18亿,-62.71%,2.17,,,,PE；PB,2.82亿,2.74亿,11.18%,10.61亿,2.78亿,,,新疆有色金属工业(集团)有限责任公司
2012,,,,12.06,7.25%,3.15亿,2.12%,2.36,,,,PE；PB,2.89亿,4.43亿,26.15%,12.06亿,2.14亿,,,新疆有色金属工业(集团)有限责任公司
2011,,,,11.24,False,3.09亿,False,1.74,,,,PE；PB,1.10亿,1.35亿,27.46%,8.87亿,1.22亿,,,新疆有色金属工业(集团)有限责任公司
