报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,383.433,27.9878,13.7,58.59,4.57%,6.55亿,42.80%,8.03,6.5443,59.5652,1.7061,PB；PE,68.17亿,142.91亿,13.19%,273.85亿,38.52亿,0.7,,内蒙古鄂尔多斯羊绒集团有限责任公司
2026-03-31,383.433,27.9878,13.7,58.59,4.57%,6.55亿,42.80%,8.03,1.6361,59.5652,1.7061,PB；PE,68.17亿,142.91亿,13.19%,273.85亿,38.52亿,0.7,,内蒙古鄂尔多斯羊绒集团有限责任公司
2025,345.929,27.9878,12.36,257.41,-9.37%,23.63亿,27.93%,7.79,1.3439,14.7143,1.5866,PB；PE,54.31亿,136.35亿,10.36%,265.72亿,38.77亿,0.6,,内蒙古鄂尔多斯羊绒集团有限责任公司
2024,256.088,27.9878,9.15,284.03,-7.04%,18.47亿,-36.39%,7.48,0.9016,13.8636,1.2233,PB；PE,72.59亿,130.77亿,6.93%,255.24亿,37.24亿,0.8,,内蒙古鄂尔多斯羊绒集团有限责任公司
2023,168.527,19.9913,8.43,305.54,-16.05%,29.04亿,-38.55%,7.6,0.5516,8.1058,1.1092,PB；PE,59.11亿,137.24亿,12.24%,263.94亿,39.23亿,1.0,,内蒙古鄂尔多斯羊绒集团有限责任公司
2022,124.803,14.2795,8.74,363.93,-0.22%,47.26亿,-22.42%,10.22,0.3429,5.1716,0.8552,PB；PE,57.28亿,131.81亿,18.34%,258.61亿,42.43亿,2.0,,内蒙古鄂尔多斯羊绒集团有限责任公司
2021,129.515,14.2795,9.07,364.73,57.61%,60.91亿,298.58%,13.0,0.3551,2.9738,0.6977,PB；PE,67.61亿,117.18亿,22.46%,239.40亿,44.90亿,0.8,,内蒙古鄂尔多斯羊绒集团有限责任公司
2020,55.119,14.2795,3.86,231.41,1.40%,15.28亿,14.44%,9.55,0.2382,3.6075,0.4042,PB；PE,79.92亿,72.74亿,8.64%,182.50亿,32.60亿,0.4,,内蒙古鄂尔多斯羊绒集团有限责任公司
2019,32.611,10.32,3.16,228.22,-7.44%,13.35亿,40.16%,8.85,0.1429,3.0385,0.3571,PB；PE,83.58亿,63.80亿,6.63%,172.96亿,40.51亿,0.15,,内蒙古鄂尔多斯羊绒集团有限责任公司
2018,26.626,10.32,2.58,246.23,7.82%,9.53亿,82.88%,8.83,0.1081,2.8043,0.2922,PB；PE,92.99亿,53.59亿,6.50%,159.50亿,39.07亿,0.1,,内蒙古鄂尔多斯羊绒集团有限责任公司
2017,,,4.92,221.27,33.37%,5.21亿,96.12%,7.59,,9.84,0.6482,PB；PE,47.00亿,46.57亿,4.67%,138.28亿,31.09亿,0.05,,内蒙古鄂尔多斯羊绒集团有限责任公司
2016,,,3.21,165.91,8.87%,2.66亿,3.12%,7.05,,12.3462,0.4553,PB；PE,42.17亿,43.95亿,3.49%,140.17亿,34.91亿,0.05,,内蒙古鄂尔多斯羊绒集团有限责任公司
2015,,,3.33,152.4,-2.11%,2.58亿,-38.80%,6.85,,13.32,0.4861,PB；PE,20.33亿,41.81亿,3.20%,136.24亿,34.21亿,0.1,,内蒙古鄂尔多斯羊绒集团有限责任公司
2014,,,3.13,155.68,11.52%,4.21亿,-43.26%,6.73,,7.6341,0.4651,PB；PE,18.13亿,40.65亿,5.57%,135.29亿,38.90亿,0.12,,内蒙古鄂尔多斯羊绒集团有限责任公司
2013,,,2.92,139.61,2.97%,7.42亿,18.40%,6.43,,4.0556,0.4541,PB；PE,19.14亿,37.54亿,8.12%,128.09亿,40.90亿,0.1,,内蒙古鄂尔多斯羊绒集团有限责任公司
2012,,,2.89,135.08,-0.91%,6.27亿,-28.49%,5.82,,4.7377,0.4966,PB；PE,16.35亿,31.46亿,6.99%,111.22亿,41.20亿,0.1,,内蒙古鄂尔多斯羊绒集团有限责任公司
2011,,,3.81,136.32,16.14%,8.76亿,3.21%,5.29,,4.4824,0.7202,PB；PE,29.05亿,26.63亿,11.96%,99.18亿,40.85亿,0.1,,内蒙古鄂尔多斯羊绒集团有限责任公司
2010,,,6.22,117.38,44.54%,8.49亿,115.79%,4.54,,7.5854,1.37,PB；PE,28.09亿,19.08亿,12.45%,86.10亿,30.14亿,0.1,,内蒙古鄂尔多斯羊绒集团有限责任公司
