报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,105.595,7.8685,13.42,66.73,66.39%,4780.34万,-18.69%,8.56,1.5824,220.7237,1.5678,PE；PB,89.68亿,26.55亿,0.65%,93.88亿,76.70亿,,20%: 最新年度净利润同比下降,浙江省机电集团有限公司
2026-03-31,105.595,7.8685,13.42,66.73,66.39%,4780.34万,-18.69%,8.56,0.3956,220.7237,1.5678,PE；PB,89.68亿,26.55亿,0.65%,93.88亿,76.70亿,,,浙江省机电集团有限公司
2025,133.757,7.0177,19.06,294.02,32.45%,3.40亿,-26.87%,8.5,0.4549,43.3182,2.2424,PE；PB,93.05亿,26.07亿,1.14%,83.43亿,88.13亿,0.06,,浙江省机电集团有限公司
2024,92.534,7.0208,13.18,221.98,18.54%,4.65亿,12.24%,8.09,0.4169,19.6716,1.6292,PE；PB,68.40亿,23.42亿,2.11%,58.06亿,59.97亿,0.05,,浙江省机电集团有限公司
2023,73.929,7.0208,10.53,187.27,7.72%,4.14亿,-32.84%,7.47,0.3948,17.55,1.4096,PE；PB,53.35亿,19.28亿,2.22%,52.98亿,72.07亿,0.1,,浙江省机电集团有限公司
2022,49.526,3.3899,14.61,173.84,7.57%,6.17亿,5.15%,6.91,0.2849,14.61,2.1143,PE；PB,63.01亿,16.10亿,3.55%,49.60亿,59.16亿,0.25,,浙江省机电集团有限公司
2021,70.021,2.9396,23.82,161.61,39.75%,5.86亿,238.99%,8.03,0.4333,22.4717,2.9664,PE；PB,48.36亿,11.21亿,3.07%,28.98亿,61.63亿,,,浙江省机电集团有限公司
2020,26.339,2.9396,8.96,114.78,129.09%,1.73亿,62.33%,6.06,0.2295,15.1864,1.4785,PE；PB,35.00亿,5.85亿,1.51%,18.43亿,37.47亿,0.15,,浙江省机电集团有限公司
2019,27.897,2.9396,9.49,50.1,51.29%,1.07亿,-11.46%,5.16,0.5568,23.725,1.8391,PE；PB,35.47亿,4.78亿,2.13%,15.27亿,20.48亿,,,浙江省机电集团有限公司
2018,,,,33.12,1.68%,1.20亿,27.62%,4.36,,,,PE；PB,13.40亿,3.71亿,3.63%,9.62亿,7.57亿,,,浙江省机电集团有限公司
2017,,,,32.57,3.93%,9432.29万,-9.47%,3.8,,,,PE；PB,8.40亿,2.62亿,2.89%,8.42亿,8.03亿,,,浙江省机电集团有限公司
2016,,,,31.34,-19.17%,1.04亿,-22.29%,3.68,,,,PE；PB,9.17亿,2.21亿,3.32%,8.17亿,8.92亿,,,浙江省机电集团有限公司
2015,,,,38.77,77.00%,1.34亿,633.65%,3.2,,,,PE；PB,10.79亿,1.26亿,3.45%,7.06亿,11.93亿,,,浙江省机电集团有限公司
2014,,,,21.91,False,1827.40万,False,2.68,,,,PE；PB,14.91亿,2531.30万,0.83%,5.91亿,13.01亿,,,浙江省机电集团有限公司
