报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,21.738,1.5223,14.28,0.166899,-39.76%,-4337.90万,-59.45%,7.76,130.2464,,1.8402,PE；PB,4.15亿,-4.40亿,-261.38%,11.81亿,8824.51万,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,祝国胜
2026-03-31,21.738,1.5223,14.28,0.166899,-39.76%,-4337.90万,-59.45%,7.76,32.5616,,1.8402,PE；PB,4.15亿,-4.40亿,-261.38%,11.81亿,8824.51万,,,祝国胜
2025,28.041,1.5223,18.42,1.37,-57.01%,-2.12亿,-478.13%,8.11,20.4679,,2.2713,PE；PB,4.72亿,-3.96亿,-155.57%,12.34亿,7811.85万,,,祝国胜
2024,25.849,1.5223,16.98,3.18,78.23%,-3662.01万,27.50%,9.56,8.1286,,1.7762,PE；PB,5.56亿,-1.85亿,-11.86%,14.57亿,7939.62万,,,祝国胜
2023,32.623,1.5223,21.43,1.79,-49.67%,-5051.24万,-241.02%,10.03,18.2251,,2.1366,PE；PB,6.03亿,-1.48亿,-28.87%,15.29亿,1.60亿,,,祝国胜
2022,37.144,1.5223,24.4,3.55,15.10%,3582.03万,-54.81%,10.35,10.4631,84.1379,2.3575,PE；PB,6.47亿,-9755.95万,9.75%,15.79亿,1.18亿,,,祝国胜
2021,,,,3.08,10.67%,7926.84万,11.49%,4.95,,,,PE；PB,9493.66万,-1.33亿,26.33%,5.70亿,8471.61万,,,祝国胜
2020,,,,2.79,3.14%,7110.12万,154.93%,4.26,,,,PE；PB,1.28亿,-2.13亿,26.12%,4.89亿,6491.74万,,,祝国胜
2019,,,,2.7,14.84%,2789.01万,160.03%,3.64,,,,PE；PB,1.24亿,-2.84亿,9.53%,4.16亿,6073.67万,,,祝国胜
2018,,,,2.35,5.38%,-4645.78万,-5.21%,0.02,,,,PE；PB,3616.84万,-3.12亿,-19.75%,208.95万,8285.51万,,,祝国胜
2017,,,,2.23,False,-4415.55万,False,0.25,,,,PE；PB,3442.01万,-2.65亿,-19.78%,2366.38万,9487.31万,,,祝国胜
