报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,42.608,3.25,13.11,4.68,22.28%,1.11亿,51.11%,10.67,9.1043,38.5588,1.2287,PE；PB,9.93亿,12.50亿,24.39%,37.95亿,7742.86万,,,陈兴明
2026-03-31,42.608,3.25,13.11,4.68,22.28%,1.11亿,51.11%,10.67,2.2761,38.5588,1.2287,PE；PB,9.93亿,12.50亿,24.39%,37.95亿,7742.86万,,,陈兴明
2025,42.42,2.8,15.15,16.28,7.51%,2.70亿,-22.95%,10.39,2.6057,17.2159,1.4581,PE；PB,8.38亿,11.38亿,16.88%,37.00亿,7022.42万,0.2,,陈兴明
2024,44.128,2.8,15.76,15.15,22.43%,3.50亿,38.95%,9.1,2.9127,12.608,1.7319,PE；PB,4.44亿,9.41亿,23.55%,27.82亿,4872.08万,0.15,,陈兴明
2023,31.82,2.0,15.91,12.37,57.66%,2.52亿,22.28%,7.88,2.5724,17.6778,2.019,PE；PB,4.49亿,6.54亿,21.09%,24.36亿,4954.81万,0.15,,陈兴明
2022,50.44,2.0,25.22,7.85,38.44%,2.06亿,3.60%,10.17,6.4255,31.9241,2.4798,PE；PB,6.79亿,4.51亿,26.28%,20.34亿,3189.11万,0.15,,陈兴明
2021,,,,5.67,46.70%,1.99亿,61.21%,5.8,,,,PE；PB,2.38亿,2.96亿,35.12%,8.71亿,1099.52万,,,陈兴明
2020,,,,3.86,32.36%,1.23亿,42.25%,4.48,,,,PE；PB,1.71亿,1.17亿,31.96%,6.71亿,727.73万,,,陈兴明
2019,,,,2.92,8.57%,8681.35万,90.72%,2.02,,,,PE；PB,8028.47万,-1828.14万,29.74%,2.42亿,529.30万,,,陈兴明
2018,,,,2.69,False,4551.95万,False,1.87,,,,PE；PB,4407.35万,1134.90万,16.93%,2.24亿,564.04万,,,陈兴明
