报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,1435.395,9.7078,147.86,88.88,199.07%,10.93亿,330.29%,10.86,16.1498,130.8496,13.6151,PE；PB,92.83亿,36.32亿,12.30%,105.45亿,49.69亿,,,苏州中坤投资有限公司
2026-03-31,1435.395,9.7078,147.86,88.88,199.07%,10.93亿,330.29%,10.86,4.0375,130.8496,13.6151,PE；PB,92.83亿,36.32亿,12.30%,105.45亿,49.69亿,,,苏州中坤投资有限公司
2025,103.533,1.2417,83.38,216.39,274.95%,26.55亿,1083.05%,9.74,0.4785,28.1689,8.5606,PE；PB,72.25亿,25.38亿,12.27%,94.52亿,51.75亿,,,苏州中坤投资有限公司
2024,49.246,1.2417,39.66,57.71,33.34%,2.24亿,291.79%,0.01,0.8533,152.5385,3966.0,PE；PB,23.72亿,-1.10亿,-27.89%,32.79亿,18.52亿,,,苏州中坤投资有限公司
2023,21.457,1.2417,17.28,2.06,-23.90%,-1.17亿,31.40%,0.61,10.416,,28.3279,PE；PB,1807.88万,-3.10亿,-56.83%,7520.92万,1.58亿,,,苏州中坤投资有限公司
2022,16.564,1.2417,13.34,2.71,-32.79%,-1.71亿,44.81%,1.55,6.1122,,8.6065,PE；PB,2582.84万,-1.93亿,-63.27%,2.10亿,1.59亿,,,苏州中坤投资有限公司
2021,30.074,1.2417,24.22,4.03,-9.71%,-3.09亿,-19183.64%,2.92,7.4625,,8.2945,PE；PB,3312.94万,-2211.24万,-79.97%,3.82亿,2.00亿,,,苏州中坤投资有限公司
2020,20.898,1.2417,16.83,4.46,-23.10%,161.95万,-94.30%,5.4,4.6857,1683.0,3.1167,PE；PB,5278.57万,2.87亿,5.88%,7.36亿,1.94亿,,,苏州中坤投资有限公司
2019,20.01,1.2514,15.99,5.8,-1.80%,2840.69万,-24.50%,5.19,3.45,69.5217,3.0809,PE；PB,7149.67万,2.85亿,8.19%,7.17亿,1.93亿,0.095,,苏州中坤投资有限公司
2018,14.623,0.8938,16.36,5.91,4.04%,3762.58万,-17.75%,4.98,2.4743,54.5333,3.2851,PE；PB,9764.74万,2.69亿,9.32%,6.91亿,1.90亿,0.16,,苏州中坤投资有限公司
2017,,,20.21,5.68,61.68%,4574.72万,16.97%,6.76,,54.6216,2.9896,PE；PB,1.35亿,2.45亿,9.79%,6.64亿,1.08亿,0.13999999999999999,,苏州中坤投资有限公司
2016,,,35.52,3.51,20.79%,3910.89万,6.02%,6.43,,80.7273,5.5241,PE；PB,1.86亿,2.14亿,11.46%,5.98亿,1.01亿,0.095,,苏州中坤投资有限公司
2015,,,48.25,2.91,-5.23%,3688.65万,-24.23%,6.08,,107.2222,7.9359,PE；PB,2.15亿,1.86亿,12.65%,5.36亿,7957.95万,0.1,,苏州中坤投资有限公司
2014,,,,3.07,5.20%,4868.09万,13.43%,4.39,,,,PE；PB,4869.98万,1.60亿,15.83%,2.90亿,6856.97万,,,苏州中坤投资有限公司
2013,,,,2.92,-4.25%,4291.87万,-7.09%,3.79,,,,PE；PB,7187.44万,1.24亿,14.71%,2.50亿,5758.79万,,,苏州中坤投资有限公司
2012,,,,3.05,8.00%,4619.47万,4.60%,3.2,,,,PE；PB,5608.70万,8880.80万,15.16%,2.11亿,4607.68万,,,苏州中坤投资有限公司
2011,,,,2.82,False,4416.48万,False,2.5,,,,PE；PB,4278.50万,4555.92万,15.65%,1.65亿,3575.95万,,,苏州中坤投资有限公司
