报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,29.452,3.6586,8.05,8.4,-0.78%,-2615.48万,-62.89%,1.11,3.5062,,7.2523,PE；PB,6.16亿,-3.48亿,-1.46%,16.15亿,17.70亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,中国水产有限公司
2026-03-31,29.452,3.6586,8.05,8.4,-0.78%,-2615.48万,-62.89%,1.11,0.8765,,7.2523,PE；PB,6.16亿,-3.48亿,-1.46%,16.15亿,17.70亿,,,中国水产有限公司
2025,38.708,3.6586,10.58,43.42,-11.98%,8375.42万,180.52%,1.18,0.8915,46.2211,8.9661,PE；PB,8.28亿,-3.22亿,3.26%,16.40亿,16.00亿,,,中国水产有限公司
2024,27.11,3.6586,7.41,49.33,22.05%,-1.04亿,11.92%,0.99,0.5496,,7.4848,PE；PB,8.92亿,-4.06亿,-1.75%,15.70亿,16.02亿,,,中国水产有限公司
2023,32.525,3.6586,8.89,40.42,1.71%,-1.18亿,-174.94%,1.25,0.8047,,7.112,PE；PB,6.86亿,-3.02亿,0.26%,16.39亿,18.12亿,,,中国水产有限公司
2022,35.109,3.1946,10.99,39.74,29.05%,1.58亿,283.51%,2.51,0.8835,23.9017,4.3785,PE；PB,3.45亿,-2.76亿,1.19%,9.58亿,2.15亿,,,中国水产有限公司
2021,24.662,3.1946,7.72,4.62,3.84%,-8585.96万,44.23%,1.63,5.3381,,4.7362,PE；PB,5747.48万,-2.85亿,-19.22%,5.59亿,1.45亿,,,中国水产有限公司
2020,36.834,3.1946,11.53,4.45,-23.05%,-1.54亿,-784.98%,1.9,8.2773,,6.0684,PE；PB,7238.77万,-2.00亿,-35.25%,6.51亿,2.02亿,,,中国水产有限公司
2019,19.647,3.1946,6.15,5.79,-7.59%,2247.72万,-60.73%,2.39,3.3933,87.358,2.5732,PE；PB,1.07亿,-4554.20万,3.52%,8.12亿,2.12亿,,,中国水产有限公司
2018,16.612,3.1946,5.2,6.26,-16.30%,5724.06万,5.51%,2.32,2.6537,29.0179,2.2414,PE；PB,1.40亿,-6710.89万,8.66%,7.90亿,1.73亿,,,中国水产有限公司
2017,,,8.38,7.48,20.06%,5425.06万,5.96%,2.16,,49.3522,3.8796,PE；PB,2.06亿,-1.16亿,6.70%,6.86亿,1.92亿,,,中国水产有限公司
2016,,,11.3,6.23,2.48%,5119.95万,119.19%,1.97,,70.4928,5.736,PE；PB,2.20亿,-1.68亿,5.27%,7.54亿,2.08亿,,,中国水产有限公司
2015,,,13.6,5.22,37.69%,-2.67亿,-1367.41%,1.75,,,7.7714,PE；PB,1.61亿,-1.24亿,-73.56%,5.22亿,1.52亿,0.04,,中国水产有限公司
2014,,,9.25,3.79,27.90%,2104.83万,-61.24%,2.64,,140.3642,3.5038,PE；PB,2.97亿,1.56亿,5.15%,8.43亿,1.39亿,0.05500000000000001,,中国水产有限公司
2013,,,6.5,2.96,-41.22%,5430.68万,0.91%,2.62,,38.2353,2.4809,PE；PB,3.02亿,1.55亿,17.66%,8.39亿,1.42亿,0.06,,中国水产有限公司
2012,,,7.74,5.04,43.32%,5381.74万,-12.91%,2.38,,45.5294,3.2521,PE；PB,2.36亿,1.24亿,12.61%,8.15亿,2.78亿,0.05,,中国水产有限公司
2011,,,5.72,3.52,-3.55%,6179.25万,23.50%,2.25,,30.1053,2.5422,PE；PB,3.07亿,4625.71万,17.30%,7.28亿,2.72亿,0.05,,中国水产有限公司
2010,,,9.34,3.64,3.86%,5003.32万,92.82%,2.12,,58.375,4.4057,PE；PB,2.98亿,866.19万,13.71%,6.87亿,1.59亿,0.03,,中国水产有限公司
