报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,36.595,6.1401,5.96,4.86,-11.27%,-1675.28万,-58.19%,3.92,7.5298,,1.5204,PE；PB,16.25亿,8.74亿,-4.11%,32.03亿,9.00亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,国投种业科技有限公司
2026-03-31,36.595,6.1401,5.96,4.86,-11.27%,-1675.28万,-58.19%,3.92,1.8825,,1.5204,PE；PB,16.25亿,8.74亿,-4.11%,32.03亿,9.00亿,,,国投种业科技有限公司
2025,40.647,6.1401,6.62,29.03,-0.79%,6602.10万,-5.47%,5.12,1.4002,61.5814,1.293,PE；PB,16.71亿,8.91亿,2.11%,32.23亿,9.12亿,0.02,,国投种业科技有限公司
2024,43.165,6.1401,7.03,29.26,-6.03%,6984.17万,73.67%,3.27,1.4752,61.8294,2.1498,PE；PB,2.99亿,8.39亿,2.08%,20.97亿,9.89亿,0.02,,国投种业科技有限公司
2023,46.788,6.1401,7.62,31.14,3.61%,4021.41万,-31.62%,3.18,1.5025,116.3359,2.3962,PE；PB,3.76亿,7.83亿,1.24%,20.48亿,7.16亿,0.02,,国投种业科技有限公司
2022,54.831,6.1401,8.93,30.05,14.83%,5881.19万,-67.86%,3.13,1.8247,93.215,2.853,PE；PB,3.59亿,7.57亿,1.83%,20.24亿,7.01亿,0.02,,国投种业科技有限公司
2021,42.104,4.3858,9.6,26.17,6.54%,1.83亿,263.05%,3.06,1.6089,32.2148,3.1373,PE；PB,2.17亿,7.15亿,7.12%,19.42亿,7.81亿,0.02,,国投种业科技有限公司
2020,53.858,4.3858,12.28,24.57,2.19%,5040.48万,-11.92%,3.91,2.192,149.5737,3.1407,PE；PB,2.96亿,5.57亿,2.31%,17.74亿,7.37亿,0.02,,国投种业科技有限公司
2019,17.813,2.9888,5.96,24.04,24.74%,5722.89万,7.59%,3.87,0.741,44.6442,1.5401,PE；PB,1.72亿,5.28亿,2.64%,17.50亿,7.98亿,0.02,,国投种业科技有限公司
2018,7.412,2.9888,2.48,19.27,33.21%,5318.96万,356.27%,4.79,0.3846,13.9326,0.5177,PE；PB,1.95亿,4.78亿,2.98%,16.24亿,7.51亿,,,国投种业科技有限公司
2017,,,3.72,14.47,18.81%,1165.76万,-45.48%,4.47,,95.3846,0.8322,PE；PB,9050.82万,4.25亿,1.01%,13.79亿,7.77亿,0.02,,国投种业科技有限公司
2016,,,6.29,12.18,9.44%,2138.38万,-29.74%,4.64,,87.972,1.3556,PE；PB,1.73亿,4.20亿,1.82%,13.90亿,6.80亿,0.02,,国投种业科技有限公司
2015,,,7.08,11.13,-19.30%,3043.44万,-50.08%,4.56,,70.8,1.5526,PE；PB,2.46亿,4.09亿,2.74%,13.62亿,5.18亿,0.03,,国投种业科技有限公司
2014,,,5.55,13.79,-18.60%,6096.84万,9.32%,4.5,,27.2059,1.2333,PE；PB,3.12亿,3.90亿,4.43%,13.37亿,5.01亿,0.03,,国投种业科技有限公司
2013,,,4.97,16.94,-8.10%,5576.84万,-18.47%,4.32,,26.6345,1.1505,PE；PB,3.53亿,3.48亿,3.33%,12.99亿,5.96亿,0.05,,国投种业科技有限公司
2012,,,5.74,18.43,13.80%,6840.32万,24.91%,4.03,,25.0765,1.4243,PE；PB,3.61亿,3.15亿,3.71%,12.13亿,6.88亿,0.03,,国投种业科技有限公司
2011,,,7.23,16.2,7.66%,5476.13万,-39.21%,3.82,,39.4651,1.8927,PE；PB,4.04亿,2.63亿,3.37%,11.53亿,6.69亿,0.05,,国投种业科技有限公司
2010,,,10.46,15.04,43.78%,9008.24万,33.55%,3.7,,31.3549,2.827,PE；PB,6.12亿,2.33亿,5.98%,11.11亿,5.45亿,0.0,,国投种业科技有限公司
