报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,139.753,43.0008,3.25,71.91,4.74%,-1.75亿,-230.19%,1.73,1.9434,,1.8786,PE；PB,40.75亿,14.79亿,-2.85%,92.45亿,45.56亿,,20%: 最新年度净利润同比下降,邵根伙
2026-03-31,139.753,43.0008,3.25,71.91,4.74%,-1.75亿,-230.19%,1.73,0.4859,,1.8786,PE；PB,40.75亿,14.79亿,-2.85%,92.45亿,45.56亿,,,邵根伙
2025,172.003,43.0008,4.0,291.19,1.22%,-6.42亿,-285.53%,1.78,0.5907,,2.2472,PE；PB,46.46亿,16.54亿,-1.68%,96.87亿,47.05亿,0.03,,邵根伙
2024,177.851,41.3608,4.3,287.67,-13.85%,3.46亿,115.91%,1.99,0.6182,53.75,2.1608,PE；PB,41.39亿,24.05亿,2.49%,106.49亿,45.69亿,0.057999999999999996,,邵根伙
2023,241.819,41.4074,5.84,333.9,3.07%,-21.74亿,-4355.85%,1.95,0.7242,,2.9949,PE；PB,46.88亿,23.53亿,-7.71%,100.39亿,40.06亿,0.1,,邵根伙
2022,356.15,41.4128,8.6,323.97,3.41%,5108.00万,111.60%,2.6,1.0993,860.0,3.3077,PE；PB,58.20亿,49.36亿,0.97%,130.21亿,48.03亿,,,邵根伙
2021,425.406,41.9533,10.14,313.28,37.32%,-4.40亿,-122.52%,2.59,1.3579,,3.9151,PE；PB,58.02亿,49.06亿,-2.99%,127.06亿,33.10亿,0.05,,邵根伙
2020,389.327,41.9533,9.28,228.14,37.62%,19.56亿,281.02%,2.63,1.7065,19.3333,3.5285,PE；PB,43.18亿,56.54亿,11.28%,130.37亿,35.79亿,0.22999999999999998,,邵根伙
2019,197.723,42.4299,4.66,165.78,-14.11%,5.13亿,1.26%,2.4,1.1927,38.8333,1.9417,PE；PB,27.30亿,47.06亿,3.75%,114.63亿,22.98亿,0.1326958,,邵根伙
2018,122.198,42.4299,2.88,193.02,2.99%,5.07亿,-59.93%,2.3,0.6331,24.0,1.2522,PE；PB,22.83亿,45.21亿,2.52%,107.14亿,22.98亿,0.08,,邵根伙
2017,,,5.38,187.42,11.29%,12.65亿,43.34%,2.41,,17.3548,2.2324,PE；PB,37.88亿,47.04亿,7.03%,117.67亿,27.22亿,0.06,,邵根伙
2016,,,6.24,168.41,4.61%,8.83亿,25.11%,2.26,,28.3636,2.7611,PE；PB,20.02亿,37.42亿,5.56%,100.28亿,20.46亿,0.08,,邵根伙
2015,,,7.1,160.98,-12.72%,7.06亿,-11.33%,3.15,,37.3684,2.254,PE；PB,21.20亿,31.41亿,4.40%,92.59亿,16.63亿,0.1,,邵根伙
2014,,,5.18,184.45,10.71%,7.96亿,3.45%,3.53,,16.1875,1.4674,PE；PB,26.14亿,26.46亿,4.40%,62.97亿,19.17亿,0.1,,邵根伙
2013,,,6.26,166.61,56.60%,7.69亿,13.93%,3.07,,13.0417,2.0391,PE；PB,15.60亿,20.78亿,4.70%,52.92亿,19.42亿,0.1798148,,邵根伙
2012,,,4.11,106.4,35.78%,6.75亿,34.01%,5.07,,9.7857,0.8107,PE；PB,17.63亿,15.01亿,6.65%,42.83亿,11.83亿,0.3,,邵根伙
2011,,,3.07,78.36,49.30%,5.04亿,61.86%,8.68,,4.873,0.3537,PE；PB,21.50亿,9.78亿,6.74%,35.90亿,9.61亿,0.25,,邵根伙
2010,,,3.78,52.48,32.02%,3.11亿,11.65%,7.69,,4.6098,0.4915,PE；PB,20.93亿,6.01亿,5.98%,31.82亿,8.18亿,0.2,,邵根伙
