报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,31.215,7.6134,4.1,1.76,-0.77%,6138.71万,4.31%,2.84,17.7358,51.25,1.4437,PS；PE,2.82亿,9.00亿,34.87%,21.60亿,3395.71万,0.1,20%: 最新年度营业收入下滑,浙江元明控股有限公司
2026-03-31,31.215,7.6134,4.1,1.76,-0.77%,6138.71万,4.31%,2.84,4.4339,51.25,1.4437,PS；PE,2.82亿,9.00亿,34.87%,21.60亿,3395.71万,0.1,,浙江元明控股有限公司
2025,38.295,7.6134,5.03,6.34,-4.84%,1.64亿,126.02%,2.75,6.0402,22.8636,1.8291,PS；PE,3.90亿,8.39亿,25.22%,20.93亿,3007.93万,0.015,,浙江元明控股有限公司
2024,36.849,7.6134,4.84,6.66,-24.35%,7255.25万,-12.21%,2.54,5.5329,48.4,1.9055,PS；PE,3.16亿,7.07亿,6.98%,19.14亿,5599.82万,0.04,,浙江元明控股有限公司
2023,38.981,7.6134,5.12,8.8,16.39%,8264.28万,-4.30%,2.55,4.4297,46.5455,2.0078,PS；PE,4.91亿,6.68亿,9.42%,19.50亿,6392.58万,,,浙江元明控股有限公司
2022,53.601,7.7346,6.93,7.56,17.70%,8635.48万,-44.22%,2.51,7.0901,63.0,2.761,PS；PE,3.00亿,5.96亿,10.95%,19.18亿,1.95亿,0.06999999999999999,,浙江元明控股有限公司
2021,44.861,7.7346,5.8,6.43,7.23%,1.55亿,78.65%,2.38,6.9768,27.619,2.437,PS；PE,1.47亿,5.85亿,23.94%,18.42亿,1.70亿,,,浙江元明控股有限公司
2020,47.336,7.7346,6.12,5.99,-68.16%,8666.15万,-64.81%,2.18,7.9025,54.6429,2.8073,PS；PE,5.98亿,4.44亿,14.46%,16.85亿,1.65亿,,,浙江元明控股有限公司
2019,36.884,7.831,4.71,18.83,36.17%,2.46亿,-84.46%,2.07,1.9588,14.7649,2.2754,PS；PE,8.38亿,3.72亿,13.08%,15.98亿,14.79亿,1.90233,,浙江元明控股有限公司
2018,34.535,7.831,4.41,13.83,1.18%,15.84亿,1004.41%,3.86,2.4971,2.1799,1.1425,PS；PE,21.56亿,16.38亿,114.59%,30.25亿,17.03亿,0.5,,浙江元明控股有限公司
2017,,,5.65,13.66,-0.24%,1.43亿,-21.23%,2.34,,30.8743,2.4145,PS；PE,5.74亿,5.88亿,10.50%,18.33亿,14.11亿,0.06999999999999999,,浙江元明控股有限公司
2016,,,6.77,13.7,-8.40%,1.82亿,115.56%,3.37,,29.0558,2.0089,PS；PE,5.92亿,4.74亿,6.08%,17.12亿,10.28亿,,,浙江元明控股有限公司
2015,,,7.96,11.21,-7.75%,8448.49万,-18.70%,3.2,,54.1497,2.4875,PS；PE,5.09亿,3.60亿,7.54%,11.81亿,6.14亿,,,浙江元明控股有限公司
2014,,,5.04,12.15,-14.93%,1.04亿,-5.91%,2.97,,17.8723,1.697,PS；PE,5.68亿,2.80亿,8.55%,10.97亿,4.19亿,0.1,,浙江元明控股有限公司
2013,,,4.22,14.28,3.29%,1.10亿,25.09%,2.79,,14.1137,1.5125,PS；PE,5.50亿,2.20亿,7.73%,10.30亿,2.72亿,0.12,,浙江元明控股有限公司
2012,,,4.01,13.83,11.10%,8829.19万,87.79%,1.81,,16.7782,2.2155,PS；PE,6.62亿,1.61亿,4.52%,9.72亿,2.27亿,,,浙江元明控股有限公司
2011,,,4.05,11.88,29.02%,4701.51万,23.87%,1.58,,22.6257,2.5633,PS；PE,3.80亿,7884.21万,3.96%,4.16亿,2.05亿,,,浙江元明控股有限公司
2010,,,6.22,9.21,26.19%,3795.59万,60.99%,1.4,,43.1944,4.4429,PS；PE,2.41亿,3677.04万,4.13%,3.69亿,1.62亿,,,浙江元明控股有限公司
