报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,140.966,4.0253,35.02,9.14,15.24%,2.01亿,28.68%,8.29,15.423,70.04,4.2244,PS；PE,13.50亿,21.90亿,21.96%,33.36亿,5.96亿,0.8300000000000001,,王强翔
2026-03-31,140.966,4.0253,35.02,9.14,15.24%,2.01亿,28.68%,8.29,3.8557,70.04,4.2244,PS；PE,13.50亿,21.90亿,21.96%,33.36亿,5.96亿,0.8300000000000001,,王强翔
2025,140.052,4.0164,34.87,32.91,11.49%,6.68亿,30.60%,7.84,4.2556,20.8802,4.4477,PS；PE,15.56亿,19.89亿,20.29%,31.55亿,5.59亿,0.64,,王强翔
2024,80.458,4.0009,20.11,29.52,19.92%,5.11亿,18.56%,6.87,2.7255,15.7109,2.9272,PS；PE,11.23亿,15.79亿,17.32%,27.59亿,5.64亿,0.54,,王强翔
2023,75.841,4.017,18.88,24.61,-0.38%,4.31亿,-3.54%,6.23,3.0817,17.4815,3.0305,PS；PE,11.89亿,13.15亿,17.52%,24.92亿,5.07亿,0.5599999999999999,,王强翔
2022,85.177,4.0254,21.16,24.71,7.35%,4.47亿,17.55%,5.7,3.4471,18.8929,3.7123,PS；PE,10.04亿,11.52亿,18.09%,22.89亿,4.77亿,0.47287,,王强翔
2021,126.789,4.0009,31.69,23.02,24.39%,3.80亿,-7.45%,4.97,5.5078,33.3579,6.3763,PS；PE,5.29亿,9.32亿,16.52%,19.99亿,5.58亿,0.5,,王强翔
2020,110.185,4.0009,27.54,18.5,19.10%,4.11亿,44.38%,4.54,5.9559,24.8108,6.0661,PS；PE,4.86亿,7.72亿,22.21%,18.18亿,3.25亿,,,王强翔
2019,,,,15.54,11.15%,2.85亿,24.66%,2.55,,,,PS；PE,4333.51万,4.42亿,18.32%,9.18亿,2.55亿,,,王强翔
2018,,,,13.98,12.77%,2.28亿,-4.87%,1.9,,,,PS；PE,7297.21万,2.34亿,16.33%,6.82亿,2.02亿,,,王强翔
2017,,,,12.39,14.13%,2.40亿,5.14%,4.15,,,,PS；PE,4079.88万,2.64亿,19.36%,4.15亿,1.81亿,,,王强翔
2016,,,,10.86,False,2.28亿,False,6.52,,,,PS；PE,7064.02万,5.02亿,21.02%,6.52亿,1.32亿,,,王强翔
2013,,,,6.91,4.70%,5613.83万,11.98%,0.0,,,,PS；PE,6171.54万,1.41亿,8.12%,3.58亿,8180.13万,,,王强翔
2012,,,,6.6,45.09%,5013.11万,-86.55%,0.0,,,,PS；PE,1.24亿,8995.21万,7.59%,3.14亿,7745.73万,,,王强翔
2011,,,,4.55,37.15%,3.73亿,658.91%,0.0,,,,PS；PE,3764.77万,6946.35万,15.67%,2.89亿,6138.47万,,,王强翔
2010,,,,3.32,20.46%,4910.82万,36.03%,0.0,,,,PS；PE,3610.30万,6530.50万,14.80%,2.78亿,4919.85万,,,王强翔
