报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,34.596,5.474,6.32,7.68,-2.58%,-9673.69万,-39.18%,11.98,4.5047,,0.5275,PS；PE,27.31亿,54.38亿,-13.72%,67.00亿,19.09亿,0.19,40%: 最新年度营业收入下滑；最新年度净利润同比下降,大亚科技集团有限公司
2026-03-31,34.596,5.474,6.32,7.68,-2.58%,-9673.69万,-39.18%,11.98,1.1262,,0.5275,PS；PE,27.31亿,54.38亿,-13.72%,67.00亿,19.09亿,0.19,,大亚科技集团有限公司
2025,39.632,5.474,7.24,45.75,-14.49%,1333.70万,-90.41%,12.16,0.8663,362.0,0.5954,PS；PE,34.23亿,55.35亿,-0.15%,68.08亿,16.46亿,0.19,,大亚科技集团有限公司
2024,40.781,5.474,7.45,53.5,-18.10%,1.39亿,-58.22%,12.34,0.7623,29.8,0.6037,PS；PE,33.64亿,56.25亿,2.53%,68.82亿,17.58亿,0.19,,大亚科技集团有限公司
2023,40.343,5.474,7.37,65.32,-11.29%,3.33亿,-20.84%,12.25,0.6176,12.082,0.6016,PS；PE,29.20亿,55.90亿,5.24%,68.67亿,19.34亿,0.16,,大亚科技集团有限公司
2022,42.15,5.474,7.7,73.63,-15.86%,4.20亿,-29.38%,11.8,0.5725,10.0,0.6525,PS；PE,26.47亿,53.45亿,5.81%,66.22亿,23.02亿,0.16,,大亚科技集团有限公司
2021,65.031,5.474,11.88,87.51,20.46%,5.95亿,-4.86%,11.17,0.7431,10.8991,1.0636,PS；PE,21.67亿,50.12亿,7.04%,63.33亿,22.58亿,0.16,,大亚科技集团有限公司
2020,67.714,5.5367,12.23,72.64,-0.46%,6.26亿,-13.07%,10.25,0.9322,10.7281,1.1932,PS；PE,21.87亿,45.04亿,8.74%,57.96亿,21.57亿,0.13,,大亚科技集团有限公司
2019,67.364,5.5398,12.16,72.98,0.51%,7.20亿,-0.72%,9.15,0.923,9.3538,1.329,PS；PE,17.65亿,39.47亿,10.10%,52.62亿,20.83亿,0.13,,大亚科技集团有限公司
2018,49.308,5.5527,8.88,72.61,3.02%,7.25亿,9.95%,7.82,0.6791,6.7786,1.1355,PS；PE,16.93亿,32.99亿,10.53%,44.98亿,17.50亿,0.12,,大亚科技集团有限公司
2017,,,19.59,70.48,7.91%,6.59亿,21.82%,6.29,,16.0574,3.1145,PS；PE,15.66亿,26.41亿,10.46%,36.70亿,16.38亿,0.12,,大亚科技集团有限公司
2016,,,16.26,65.31,-14.92%,5.41亿,70.22%,5.47,,15.9412,2.9726,PS；PE,11.71亿,20.45亿,8.18%,30.28亿,17.37亿,0.05,,大亚科技集团有限公司
2015,,,14.03,76.77,-9.04%,3.18亿,94.37%,4.35,,23.3833,3.2253,PS；PE,16.30亿,15.31亿,5.09%,24.23亿,18.18亿,0.03,,大亚科技集团有限公司
2014,,,6.04,84.4,3.05%,1.64亿,25.40%,4.95,,19.4839,1.2202,PS；PE,12.21亿,15.27亿,3.25%,30.81亿,23.90亿,0.05,,大亚科技集团有限公司
2013,,,4.18,81.9,-1.48%,1.30亿,5.27%,4.75,,16.72,0.88,PS；PE,16.15亿,14.31亿,3.18%,31.45亿,23.11亿,0.02,,大亚科技集团有限公司
2012,,,3.97,83.13,13.67%,1.24亿,-11.58%,4.48,,17.2609,0.8862,PS；PE,13.49亿,13.28亿,2.93%,29.60亿,22.59亿,0.02,,大亚科技集团有限公司
2011,,,4.11,73.13,5.66%,1.40亿,-25.88%,4.27,,15.2222,0.9625,PS；PE,10.99亿,12.40亿,2.95%,28.55亿,23.70亿,0.1,,大亚科技集团有限公司
2010,,,7.06,69.21,7.68%,1.89亿,-8.04%,4.11,,19.6111,1.7178,PS；PE,13.05亿,11.66亿,4.72%,27.82亿,18.90亿,,,大亚科技集团有限公司
