报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,61.511,9.6716,6.36,9.78,-6.86%,-6426.22万,12.13%,4.83,6.2895,,1.3168,PS；PE,6.79亿,16.06亿,-6.66%,46.70亿,10.50亿,0.04,20%: 最新年度营业收入下滑,佛山市乐华恒业实业投资有限公司
2026-03-31,61.511,9.6716,6.36,9.78,-6.86%,-6426.22万,12.13%,4.83,1.5724,,1.3168,PS；PE,6.79亿,16.06亿,-6.66%,46.70亿,10.50亿,0.04,,佛山市乐华恒业实业投资有限公司
2025,85.431,9.686,8.82,64.74,-9.21%,4578.42万,-31.43%,4.9,1.3196,176.4,1.8,PS；PE,9.29亿,16.70亿,0.66%,47.34亿,10.58亿,0.1323715,,佛山市乐华恒业实业投资有限公司
2024,76.834,9.7012,7.92,71.31,-6.76%,6676.66万,-84.28%,5.03,1.0775,113.1429,1.5746,PS；PE,15.47亿,17.58亿,0.88%,48.71亿,12.13亿,0.1318916,,佛山市乐华恒业实业投资有限公司
2023,110.466,9.6561,11.44,76.48,1.79%,4.25亿,-28.43%,5.16,1.4444,26.0,2.2171,PS；PE,19.70亿,18.27亿,5.54%,50.07亿,12.74亿,0.184,,佛山市乐华恒业实业投资有限公司
2022,140.11,9.6561,14.51,75.13,-10.27%,5.93亿,2.80%,4.91,1.8649,21.6567,2.9552,PS；PE,19.00亿,16.17亿,7.88%,47.43亿,13.79亿,,,佛山市乐华恒业实业投资有限公司
2021,,,,83.73,28.78%,5.77亿,-1.93%,3.42,,,,PS；PE,15.62亿,10.42亿,6.88%,29.75亿,13.89亿,,,佛山市乐华恒业实业投资有限公司
2020,,,,65.02,-2.34%,5.89亿,5.80%,2.73,,,,PS；PE,14.49亿,5.10亿,9.03%,23.77亿,11.27亿,,,佛山市乐华恒业实业投资有限公司
2019,,,,66.58,-2.24%,5.56亿,182.23%,1.95,,,,PS；PE,10.01亿,3.96亿,9.33%,16.03亿,13.59亿,,,佛山市乐华恒业实业投资有限公司
2018,,,,68.1,False,1.97亿,False,1.11,,,,PS；PE,10.72亿,3514.03万,4.51%,11.64亿,13.85亿,,,佛山市乐华恒业实业投资有限公司
