报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,45.302,2.0517,22.08,1.18,-42.30%,-1854.19万,-1959.32%,2.68,38.3915,,8.2388,PS；PE,1.89亿,3094.68万,-15.67%,5.54亿,1.11亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,林新达
2026-03-31,45.302,2.0517,22.08,1.18,-42.30%,-1854.19万,-1959.32%,2.68,9.5979,,8.2388,PS；PE,1.89亿,3094.68万,-15.67%,5.54亿,1.11亿,,,林新达
2025,24.764,2.0517,12.07,8.47,-17.51%,891.06万,105.09%,2.77,2.9237,301.75,4.3574,PS；PE,2.80亿,4948.87万,1.06%,5.72亿,1.13亿,,,林新达
2024,12.659,2.0583,6.15,10.27,-20.06%,-1.75亿,-982.54%,2.67,1.2326,,2.3034,PS；PE,2.83亿,4057.81万,-17.07%,5.50亿,2.11亿,0.03,,林新达
2023,19.026,2.0636,9.22,12.84,19.65%,1985.33万,-19.49%,3.54,1.4818,92.2,2.6045,PS；PE,4.49亿,2.22亿,1.35%,7.32亿,2.43亿,0.1,,林新达
2022,14.483,2.069,7.0,10.73,-17.32%,2465.79万,129.07%,3.52,1.3498,58.3333,1.9886,PS；PE,2.77亿,2.22亿,1.48%,7.26亿,2.10亿,,,林新达
2021,19.532,2.0517,9.52,12.98,48.82%,-8482.84万,-490.18%,3.39,1.5048,,2.8083,PS；PE,3.41亿,2.01亿,-6.69%,7.07亿,2.05亿,0.1,,林新达
2020,18.547,2.0517,9.04,8.72,-6.17%,2174.10万,-72.09%,3.93,2.1269,82.1818,2.3003,PS；PE,4.37亿,2.98亿,2.49%,8.06亿,1.65亿,0.08,,林新达
2019,13.769,1.1398,12.08,9.3,11.93%,7788.74万,1.80%,3.85,1.4805,31.7895,3.1377,PS；PE,3.96亿,2.95亿,8.37%,7.90亿,1.44亿,0.22000000000000003,,林新达
2018,13.643,1.1398,11.97,8.31,2.86%,7651.27万,2.96%,6.49,1.6418,26.0217,1.8444,PS；PE,1.97亿,2.50亿,9.21%,7.40亿,1.47亿,,,林新达
2017,,,,8.08,11.41%,7431.12万,83.86%,4.08,,,,PS；PE,1.51亿,1.81亿,9.20%,3.49亿,9362.46万,,,林新达
2016,,,,7.25,25.91%,4041.62万,114.11%,3.3,,,,PS；PE,9858.84万,1.21亿,5.58%,2.82亿,9552.38万,,,林新达
2015,,,,5.76,21.09%,1887.62万,342.47%,0.0,,,,PS；PE,8087.97万,8410.77万,3.28%,2.31亿,1.10亿,,,林新达
2014,,,,4.75,22.15%,426.61万,-38.38%,2.52,,,,PS；PE,7904.57万,6637.07万,0.90%,2.12亿,1.23亿,,,林新达
2013,,,,3.89,False,692.30万,False,2.47,,,,PS；PE,6898.46万,6402.21万,1.78%,2.07亿,9441.33万,,,林新达
