报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,147.668,4.356,33.9,10.0,-13.58%,1.89亿,4.22%,8.07,14.7668,78.8372,4.2007,PE；PB,20.40亿,21.71亿,18.86%,35.15亿,3.16亿,0.5,20%: 最新年度营业收入下滑,上海飞科投资有限公司
2026-03-31,147.668,4.356,33.9,10.0,-13.58%,1.89亿,4.22%,8.07,3.6917,78.8372,4.2007,PE；PB,20.40亿,21.71亿,18.86%,35.15亿,3.16亿,0.5,,上海飞科投资有限公司
2025,185.914,4.356,42.68,38.61,-6.90%,5.12亿,11.84%,7.64,4.8152,36.1695,5.5864,PE；PB,17.74亿,19.82亿,13.26%,33.27亿,4.32亿,0.5,,上海飞科投资有限公司
2024,175.982,4.356,40.4,41.47,-18.03%,4.58亿,-55.10%,6.96,4.2436,38.4762,5.8046,PE；PB,11.43亿,16.88亿,11.04%,30.32亿,6.36亿,2.3,,上海飞科投资有限公司
2023,205.037,4.356,47.07,50.6,9.35%,10.20亿,23.90%,8.21,4.0521,20.1154,5.7333,PE；PB,18.47亿,22.32亿,20.15%,35.76亿,4.73亿,2.0,,上海飞科投资有限公司
2022,265.106,4.356,60.86,46.27,15.53%,8.23亿,28.45%,7.87,5.7295,32.2011,7.7332,PE；PB,15.18亿,20.83亿,17.78%,34.28亿,6.52亿,1.0,,上海飞科投资有限公司
2021,168.359,4.356,38.65,40.05,12.26%,6.41亿,0.38%,6.98,4.2037,26.2925,5.5372,PE；PB,12.44亿,16.96亿,15.94%,30.41亿,6.36亿,1.0,,上海飞科投资有限公司
2020,177.768,4.356,40.81,35.68,-5.09%,6.38亿,-6.93%,6.5,4.9823,27.7619,6.2785,PE；PB,11.02亿,14.91亿,17.85%,28.33亿,4.99亿,1.0,,上海飞科投资有限公司
2019,140.045,4.356,32.15,37.59,-5.46%,6.86亿,-18.83%,6.04,3.7256,20.4777,5.3228,PE；PB,9.57亿,12.88亿,18.18%,26.30亿,6.93亿,1.5,,上海飞科投资有限公司
2018,136.212,4.356,31.27,39.77,3.20%,8.45亿,1.14%,5.97,3.425,16.1186,5.2379,PE；PB,9.73亿,12.60亿,21.22%,26.03亿,5.63亿,1.5,,上海飞科投资有限公司
2017,,,60.39,38.53,14.55%,8.35亿,36.22%,5.53,,31.4531,10.9204,PE；PB,6.18亿,10.69亿,21.68%,24.10亿,3.31亿,1.0,,上海飞科投资有限公司
2016,,,36.66,33.64,20.89%,6.13亿,22.23%,4.62,,25.1096,7.9351,PE；PB,8.72亿,6.99亿,18.23%,20.10亿,3.70亿,1.0,,上海飞科投资有限公司
2015,,,,27.83,15.90%,5.02亿,35.33%,2.82,,,,PE；PB,8931.42万,5.80亿,18.03%,11.04亿,3.69亿,,,上海飞科投资有限公司
2014,,,,24.01,15.85%,3.71亿,27.58%,2.1,,,,PE；PB,3.16亿,3.45亿,15.44%,8.22亿,2.67亿,,,上海飞科投资有限公司
2013,,,,20.72,22.50%,2.91亿,49.11%,1.91,,,,PE；PB,3.40亿,2.76亿,14.02%,6.84亿,2.88亿,,,上海飞科投资有限公司
2012,,,,16.92,13.69%,1.95亿,35.29%,1.1,,,,PE；PB,2.52亿,1269.63万,11.52%,3.93亿,1.58亿,,,上海飞科投资有限公司
2011,,,,14.88,False,1.44亿,False,5.6,,,,PE；PB,6656.40万,1.21亿,9.68%,1.68亿,2.54亿,,,上海飞科投资有限公司
