报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,187.948,21.1178,8.9,29.98,-36.33%,8691.48万,-89.53%,3.61,6.2691,216.0194,2.4654,PS；PE,41.60亿,-60.13亿,2.91%,77.12亿,17.49亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,北京儒意投资有限公司
2026-03-31,187.948,21.1178,8.9,29.98,-36.33%,8691.48万,-89.53%,3.61,1.5673,216.0194,2.4654,PS；PE,41.60亿,-60.13亿,2.91%,77.12亿,17.49亿,,,北京儒意投资有限公司
2025,246.705,21.7937,11.32,126.47,2.30%,5.14亿,154.68%,3.55,1.9507,46.5652,3.1887,PS；PE,48.76亿,-61.02亿,4.02%,75.96亿,17.22亿,,,北京儒意投资有限公司
2024,264.576,21.7937,12.14,123.62,-15.44%,-9.40亿,-203.05%,3.16,2.1402,,3.8418,PS；PE,36.23亿,-64.69亿,-7.77%,70.13亿,14.84亿,,,北京儒意投资有限公司
2023,283.754,21.7937,13.02,146.2,50.79%,9.12亿,147.44%,3.68,1.9409,31.1037,3.538,PS；PE,31.58亿,-55.25亿,6.38%,81.75亿,14.94亿,,,北京儒意投资有限公司
2022,312.302,22.3073,14.0,96.95,-22.38%,-19.23亿,-1908.47%,3.26,3.2213,,4.2945,PS；PE,31.50亿,-64.37亿,-20.20%,72.17亿,17.25亿,,,北京儒意投资有限公司
2021,345.317,22.3073,15.48,124.9,98.40%,1.06亿,101.59%,4.0,2.7647,324.5283,3.87,PS；PE,40.27亿,-45.14亿,0.93%,90.76亿,16.30亿,,,北京儒意投资有限公司
2020,375.78,20.7843,18.08,62.95,-59.21%,-66.69亿,-41.03%,4.55,5.9695,,3.9736,PS；PE,49.79亿,-35.72亿,-108.67%,102.82亿,17.67亿,,,北京儒意投资有限公司
2019,319.701,17.6144,18.15,154.35,-5.23%,-47.29亿,-324.87%,6.66,2.0713,,2.7252,PS；PE,24.63亿,30.95亿,-30.59%,141.38亿,21.54亿,,,北京儒意投资有限公司
2018,256.348,11.7429,21.83,162.87,6.49%,21.03亿,38.74%,7.14,1.5739,21.5775,3.0574,PS；PE,22.35亿,78.51亿,9.17%,190.42亿,12.54亿,0.2,,北京儒意投资有限公司
2017,,,34.56,132.29,18.02%,15.16亿,10.92%,9.94,,40.1627,3.4769,PS；PE,28.51亿,51.39亿,11.46%,117.09亿,1.72亿,0.2,,北京儒意投资有限公司
2016,,,35.78,112.09,40.10%,13.66亿,15.23%,8.85,,30.7494,4.0429,PS；PE,24.74亿,39.96亿,12.20%,103.92亿,1.59亿,0.2,,北京儒意投资有限公司
2015,,,79.2,80.01,49.85%,11.86亿,48.05%,7.76,,74.1365,10.2062,PS；PE,43.12亿,29.65亿,14.85%,91.15亿,8204.73万,0.8,,北京儒意投资有限公司
2014,,,,53.39,32.73%,8.01亿,32.93%,6.0,,,,PS；PE,17.46亿,23.08亿,15.03%,30.03亿,3948.92万,,,北京儒意投资有限公司
2013,,,,40.23,32.71%,6.03亿,55.18%,4.39,,,,PS；PE,11.75亿,15.77亿,15.03%,22.03亿,3165.02万,,,北京儒意投资有限公司
2012,,,,30.31,37.24%,3.88亿,27.20%,3.19,,,,PS；PE,6.95亿,10.18亿,12.87%,16.00亿,1926.99万,,,北京儒意投资有限公司
2011,,,,22.09,False,3.05亿,False,2.41,,,,PS；PE,3.39亿,6.52亿,13.92%,12.12亿,1536.76万,,,北京儒意投资有限公司
