报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,74.412,7.5853,9.81,21.03,34.54%,1729.30万,20.10%,2.33,3.5384,430.2632,4.2103,PS；PE,1.84亿,-3.09亿,0.96%,18.80亿,3.95亿,,,冯毅
2026-03-31,74.412,7.5853,9.81,21.03,34.54%,1729.30万,20.10%,2.33,0.8846,430.2632,4.2103,PS；PE,1.84亿,-3.09亿,0.96%,18.80亿,3.95亿,,,冯毅
2025,65.006,7.5853,8.57,75.71,3.94%,1.14亿,74.39%,2.3,0.8586,57.2096,3.7261,PS；PE,2.21亿,-3.32亿,1.67%,18.52亿,3.59亿,,,冯毅
2024,68.758,7.5393,9.12,72.84,-16.30%,6517.02万,378.61%,2.15,0.944,106.0465,4.2419,PS；PE,1.93亿,-4.46亿,1.09%,17.24亿,3.64亿,,,冯毅
2023,52.506,7.5331,6.97,87.03,-9.65%,1361.67万,-86.76%,2.18,0.6033,385.0829,3.1972,PS；PE,1.87亿,-5.11亿,0.20%,16.50亿,2.70亿,,,冯毅
2022,27.895,7.4987,3.72,96.33,-9.47%,1.03亿,-17.47%,2.16,0.2896,26.937,1.7222,PS；PE,1.12亿,-5.24亿,1.15%,16.28亿,3.19亿,,,冯毅
2021,37.06,7.502,4.94,106.42,-0.31%,1.25亿,1.72%,1.97,0.3482,29.179,2.5076,PS；PE,2.47亿,-6.27亿,1.29%,14.77亿,2.95亿,,,冯毅
2020,38.648,7.49,5.16,106.75,23.07%,1.23亿,60.81%,1.69,0.362,30.7143,3.0533,PS；PE,2.90亿,-7.52亿,1.17%,13.06亿,2.68亿,,,冯毅
2019,22.737,7.2643,3.13,86.74,8.86%,7618.62万,108.41%,1.43,0.2621,29.8379,2.1888,PS；PE,1.75亿,-8.74亿,0.89%,11.40亿,2.12亿,,,冯毅
2018,24.19,7.2643,3.33,79.68,15.88%,-9.06亿,-192.40%,1.36,0.3036,,2.4485,PS；PE,2.16亿,-9.50亿,-11.36%,10.53亿,2.50亿,,,冯毅
2017,,,5.5,68.76,29.99%,-3.10亿,-317.62%,2.6,,,2.1154,PS；PE,2.91亿,-4447.03万,-4.79%,19.62亿,2.23亿,0.05,,冯毅
2016,,,11.63,52.9,208.60%,1.42亿,205.74%,7.61,,59.3367,1.5283,PS；PE,2.28亿,2.80亿,2.70%,23.04亿,2.48亿,0.02,,冯毅
2015,,,17.28,17.14,89.34%,4655.67万,2898.58%,7.07,,80.1484,2.4441,PS；PE,1.13亿,1.43亿,2.51%,21.35亿,1.89亿,0.02,,冯毅
2014,,,7.07,9.05,37.95%,155.26万,-89.22%,3.23,,918.1818,2.1889,PS；PE,6427.59万,1.01亿,0.39%,7.28亿,2.05亿,0.1,,冯毅
2013,,,2.26,6.56,83.41%,1440.41万,0.83%,6.43,,31.5202,0.3515,PS；PE,1.40亿,1.10亿,2.39%,7.07亿,1.73亿,0.1,,冯毅
2012,,,1.75,3.58,1.58%,1428.53万,-24.96%,6.37,,12.5,0.2747,PS；PE,2.47亿,1.07亿,4.04%,6.47亿,1.20亿,0.15,,冯毅
2011,,,2.03,3.52,30.99%,1903.70万,-25.98%,9.49,,10.6842,0.2139,PS；PE,3.28亿,1.03亿,5.57%,6.40亿,7988.85万,0.3,,冯毅
2010,,,3.4,2.69,14.73%,2571.73万,-29.45%,9.51,,8.2927,0.3575,PS；PE,4.32亿,1.05亿,9.55%,6.38亿,6733.83万,,,冯毅
