报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-08,190.124,4.7189,40.29,10.42,12.13%,-6353.91万,-213.58%,7.75,18.2461,,5.1987,PS；PE,33.36亿,13.38亿,-6.06%,36.74亿,63.26万,0.034999999999999996,20%: 最新年度净利润同比下降,邹小武
2026-03-31,190.124,4.7189,40.29,10.42,12.13%,-6353.91万,-213.58%,7.75,4.5615,,5.1987,PS；PE,33.36亿,13.38亿,-6.06%,36.74亿,63.26万,0.034999999999999996,,邹小武
2025,146.947,4.7189,31.14,38.3,50.39%,1.58亿,-31.80%,7.86,3.8367,91.5882,3.9618,PS；PE,32.77亿,14.02亿,4.05%,37.26亿,65.38万,0.11599999999999999,,邹小武
2024,101.928,4.7189,21.6,25.47,18.83%,2.32亿,6.81%,7.56,4.0019,44.0816,2.8571,PS；PE,29.95亿,13.04亿,9.02%,35.84亿,76.88万,0.135,,邹小武
2023,70.925,4.7189,15.03,21.43,-7.04%,2.17亿,-17.20%,7.19,3.3096,32.6739,2.0904,PS；PE,22.47亿,11.41亿,9.98%,34.03亿,False,0.06,,邹小武
2022,66.914,4.7189,14.18,23.06,-32.68%,2.62亿,1.38%,6.75,2.9017,22.871,2.1007,PS；PE,21.59亿,9.59亿,11.37%,31.85亿,False,,,邹小武
2021,,,,34.25,38.19%,2.59亿,10.16%,4.27,,,,PS；PE,12.36亿,6.98亿,7.55%,16.92亿,False,,,邹小武
2020,,,,24.78,-0.59%,2.35亿,-2.51%,3.63,,,,PS；PE,9.85亿,4.40亿,9.47%,14.38亿,False,,,邹小武
2019,,,,24.93,26.00%,2.41亿,25.01%,3.11,,,,PS；PE,7.81亿,2.07亿,9.66%,12.35亿,False,,,邹小武
2018,,,,19.79,9.97%,1.93亿,-26.07%,2.84,,,,PS；PE,5.63亿,1.34亿,9.67%,11.27亿,False,,,邹小武
2017,,,,17.99,11.66%,2.60亿,63.12%,2.51,,,,PS；PE,6.02亿,758.91万,14.72%,9.97亿,False,,,邹小武
2016,,,,16.11,1164.44%,1.60亿,586.90%,17.37,,,,PS；PE,9.53亿,1.85亿,9.84%,11.61亿,False,,,邹小武
2015,,,,1.27,626.12%,2324.94万,1569.24%,2.77,,,,PS；PE,1.34亿,2624.10万,18.24%,1.76亿,1504.18万,,,邹小武
2014,,,,0.17551,5.50%,139.28万,-13.72%,1.53,,,,PS；PE,156.83万,299.17万,7.94%,1071.05万,1715.10万,,,邹小武
2013,,,,0.166357,-2.28%,161.43万,27.14%,1.33,,,,PS；PE,112.02万,173.81万,9.70%,931.77万,1580.39万,,,邹小武
2012,,,,0.170234,-14.93%,126.97万,4.40%,1.1,,,,PS；PE,324.83万,28.52万,7.46%,770.34万,973.59万,,,邹小武
2011,,,,0.200103,72.81%,121.62万,3139.38%,1.41,,,,PS；PE,357.78万,129.03万,6.08%,493.37万,678.09万,,,邹小武
2010,,,,0.115797,False,3.75万,False,1.06,,,,PS；PE,298.93万,19.57万,0.32%,371.75万,373.44万,,,邹小武
