报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,157.523,50.0072,3.15,17.35,-8.18%,6331.84万,-39.28%,4.55,9.0791,248.0315,0.6923,PS；PE,43.53亿,35.93亿,4.79%,237.54亿,21.57亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,江苏省文化科技控股集团有限公司
2026-03-31,157.523,50.0072,3.15,17.35,-8.18%,6331.84万,-39.28%,4.55,2.2698,248.0315,0.6923,PS；PE,43.53亿,35.93亿,4.79%,237.54亿,21.57亿,,,江苏省文化科技控股集团有限公司
2025,172.025,50.0072,3.44,79.88,0.11%,2.58亿,-29.29%,4.53,2.1535,68.8,0.7594,PS；PE,47.74亿,35.29亿,3.94%,236.50亿,18.38亿,0.022,,江苏省文化科技控股集团有限公司
2024,166.524,50.0072,3.33,79.8,5.04%,3.65亿,7.46%,4.5,2.0868,47.5714,0.74,PS；PE,60.55亿,34.47亿,5.40%,234.44亿,17.83亿,0.020999999999999998,,江苏省文化科技控股集团有限公司
2023,155.022,50.0072,3.1,75.97,1.22%,3.40亿,4.24%,4.45,2.0406,44.2857,0.6966,PS；PE,57.27亿,32.98亿,5.62%,231.26亿,14.86亿,0.02,,江苏省文化科技控股集团有限公司
2022,145.521,50.0072,2.91,75.06,0.63%,3.26亿,3.54%,4.4,1.9387,41.5714,0.6614,PS；PE,54.14亿,30.90亿,5.42%,228.22亿,16.55亿,0.02,,江苏省文化科技控股集团有限公司
2021,160.523,50.0072,3.21,74.59,1.55%,3.15亿,86.88%,4.36,2.1521,53.5,0.7362,PS；PE,49.93亿,28.68亿,5.09%,225.68亿,12.32亿,0.03,,江苏省文化科技控股集团有限公司
2020,159.523,50.0072,3.19,73.45,-3.99%,1.69亿,-49.08%,4.33,2.1719,106.3333,0.7367,PS；PE,44.62亿,27.04亿,2.92%,223.63亿,10.45亿,0.03,,江苏省文化科技控股集团有限公司
2019,187.851,49.3046,3.81,76.5,-2.98%,3.31亿,-46.97%,4.32,2.4556,54.4286,0.8819,PS；PE,31.97亿,27.40亿,4.90%,223.33亿,8.50亿,0.1,,江苏省文化科技控股集团有限公司
2018,149.943,38.8453,3.86,78.85,-2.60%,6.24亿,-20.30%,4.36,1.9016,27.5714,0.8853,PS；PE,56.62亿,29.31亿,10.16%,222.18亿,9.73亿,,,江苏省文化科技控股集团有限公司
2017,,,7.66,80.95,49.31%,7.83亿,-10.36%,3.44,,38.3,2.2267,PS；PE,62.76亿,23.52亿,13.63%,219.78亿,9.80亿,0.1,,江苏省文化科技控股集团有限公司
2016,,,10.48,54.22,16.31%,8.74亿,12.89%,3.34,,45.5652,3.1377,PS；PE,70.39亿,20.25亿,19.70%,217.33亿,9.22亿,0.0,,江苏省文化科技控股集团有限公司
2015,,,14.67,46.61,5.89%,7.74亿,-0.47%,4.05,,69.8571,3.6222,PS；PE,52.29亿,12.31亿,18.27%,127.70亿,3.12亿,0.16,,江苏省文化科技控股集团有限公司
2014,,,,44.02,11.86%,7.78亿,12.60%,3.63,,,,PS；PE,22.23亿,10.08亿,19.29%,93.23亿,2.48亿,,,江苏省文化科技控股集团有限公司
2013,,,,39.36,15.21%,6.91亿,17.30%,3.48,,,,PS；PE,19.02亿,7.64亿,18.53%,89.11亿,2.45亿,,,江苏省文化科技控股集团有限公司
2012,,,,34.16,15.08%,5.89亿,17.53%,3.35,,,,PS；PE,18.10亿,5.52亿,18.02%,84.33亿,1.94亿,,,江苏省文化科技控股集团有限公司
2011,,,,29.68,17.53%,5.01亿,17.40%,3.3,,,,PS；PE,10.66亿,5.25亿,17.67%,78.43亿,2.02亿,,,江苏省文化科技控股集团有限公司
2010,,,,25.26,13.57%,4.27亿,11.28%,0.0,,,,PS；PE,9.29亿,4.24亿,17.58%,76.09亿,1.88亿,,,江苏省文化科技控股集团有限公司
