报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,311.662,18.7072,16.66,30.84,6.35%,1.99亿,-47.37%,12.6,10.1058,151.4545,1.3222,PS；PE,25.42亿,124.57亿,6.47%,236.19亿,14.44亿,,20%: 最新年度净利润同比下降,芒果传媒有限公司
2026-03-31,311.662,18.7072,16.66,30.84,6.35%,1.99亿,-47.37%,12.6,2.5264,151.4545,1.3222,PS；PE,25.42亿,124.57亿,6.47%,236.19亿,14.44亿,,,芒果传媒有限公司
2025,456.83,18.7072,24.42,138.13,-1.89%,12.27亿,-10.06%,12.49,3.3072,37.0,1.9552,PS；PE,26.94亿,122.57亿,8.85%,234.19亿,13.20亿,0.22000000000000003,,芒果传媒有限公司
2024,497.799,18.7072,26.61,140.8,-3.75%,13.64亿,-61.63%,12.02,3.5355,36.4521,2.2138,PS；PE,55.08亿,114.59亿,9.54%,225.30亿,13.32亿,0.18,,芒果传媒有限公司
2023,462.255,18.7072,24.71,146.28,4.66%,35.56亿,90.73%,11.49,3.1601,13.0053,2.1506,PS；PE,129.34亿,106.30亿,23.73%,213.64亿,17.17亿,0.13,,芒果传媒有限公司
2022,548.682,18.7072,29.33,139.77,-10.76%,18.64亿,-11.82%,10.08,3.9256,29.33,2.9097,PS；PE,130.65亿,73.71亿,12.89%,189.70亿,16.09亿,0.13,,芒果传媒有限公司
2021,991.138,17.8038,55.67,153.56,9.64%,21.14亿,6.66%,9.07,6.4544,47.5812,6.1378,PS；PE,103.84亿,57.46亿,13.77%,169.97亿,16.90亿,0.13,,芒果传媒有限公司
2020,1253.744,17.8038,70.42,140.06,12.04%,19.82亿,71.42%,5.95,8.9515,63.4414,11.8353,PS；PE,53.36亿,38.82亿,14.13%,106.21亿,16.60亿,0.1,,芒果传媒有限公司
2019,335.617,9.9002,33.9,125.01,29.40%,11.56亿,33.59%,4.93,2.6847,51.3636,6.8763,PS；PE,50.64亿,20.80亿,9.26%,88.20亿,19.16亿,0.0,,芒果传媒有限公司
2018,84.651,4.01,21.11,96.61,16.80%,8.66亿,21.03%,5.7,0.8762,39.0926,3.7035,PS；PE,25.26亿,9.23亿,9.60%,56.74亿,22.15亿,0.05,,芒果传媒有限公司
2017,,,17.01,82.71,-7.32%,7.15亿,974.96%,4.19,,21.5316,4.0597,PS；PE,21.60亿,8037.62万,2.14%,47.65亿,13.30亿,0.045,,芒果传媒有限公司
2016,,,13.06,32.19,15.07%,6652.81万,-30.04%,4.04,,76.8235,3.2327,PS；PE,10.25亿,4.70亿,1.98%,16.64亿,1.02亿,0.062,,芒果传媒有限公司
2015,,,22.45,27.98,2.18%,9509.59万,-38.29%,3.94,,89.8,5.698,PS；PE,13.25亿,4.35亿,3.32%,16.25亿,2.33亿,0.11000000000000001,,芒果传媒有限公司
2014,,,,27.38,-13.08%,1.54亿,-16.64%,2.91,,,,PS；PE,9.97亿,3.97亿,5.63%,9.62亿,5767.37万,,,芒果传媒有限公司
2013,,,,31.5,10.32%,1.85亿,30.81%,2.59,,,,PS；PE,10.21亿,3.09亿,5.87%,8.58亿,6186.53万,,,芒果传媒有限公司
2012,,,,28.55,16.35%,1.41亿,30.79%,2.2,,,,PS；PE,8.63亿,1.96亿,4.95%,7.27亿,6146.87万,,,芒果传媒有限公司
2011,,,,24.54,False,1.08亿,False,1.77,,,,PS；PE,6.70亿,7698.76万,4.40%,5.86亿,5112.74万,,,芒果传媒有限公司
