报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,142.251,6.8357,20.81,2.85,-50.77%,8049.15万,9.56%,3.85,49.9126,173.4167,5.4052,PS；PE,8.64亿,17.48亿,30.95%,26.97亿,536.18万,,20%: 最新年度营业收入下滑,华勇
2026-03-31,142.251,6.8357,20.81,2.85,-50.77%,8049.15万,9.56%,3.85,12.4782,173.4167,5.4052,PS；PE,8.64亿,17.48亿,30.95%,26.97亿,536.18万,,,华勇
2025,140.524,6.9429,20.24,17.44,-5.18%,4.18亿,65.80%,3.74,8.0576,32.6452,5.4118,PS；PE,8.20亿,16.67亿,25.81%,26.14亿,633.67万,0.09,,华勇
2024,116.155,6.9429,16.73,18.4,28.37%,2.52亿,48.60%,3.21,6.3128,45.2162,5.2118,PS；PE,9.63亿,13.55亿,15.36%,22.83亿,2821.26万,0.0803217,,华勇
2023,96.02,6.9429,13.83,14.33,27.52%,1.70亿,141.76%,2.91,6.7006,55.32,4.7526,PS；PE,13.94亿,11.96亿,13.44%,20.91亿,419.74万,0.06999999999999999,,华勇
2022,71.165,6.9429,10.25,11.24,-1.60%,-4.06亿,-763.46%,2.73,6.3314,,3.7546,PS；PE,12.40亿,10.85亿,-34.12%,19.39亿,544.48万,0.070353,,华勇
2021,110.809,6.9429,15.96,11.42,9.37%,6117.36万,-32.70%,3.51,9.7031,177.3333,4.547,PS；PE,13.14亿,15.39亿,7.18%,24.85亿,757.18万,0.08,,华勇
2020,115.808,6.9429,16.68,10.44,-33.59%,9089.38万,6.62%,3.51,11.0927,128.3077,4.7521,PS；PE,9.04亿,15.87亿,11.05%,25.31亿,1315.15万,0.19,,华勇
2019,172.045,6.9429,24.78,15.72,-20.78%,8524.89万,-73.50%,3.68,10.9443,190.6154,6.7337,PS；PE,16.94亿,16.34亿,8.64%,26.64亿,3319.43万,,,华勇
2018,85.089,6.9404,12.26,19.85,9.31%,3.22亿,-37.22%,4.24,4.2866,26.6522,2.8915,PS；PE,16.33亿,15.31亿,21.70%,30.98亿,2188.58万,0.1999274,,华勇
2017,,,17.43,18.16,6.70%,5.12亿,-1.66%,4.32,,23.5541,4.0347,PS；PE,17.38亿,13.79亿,33.84%,31.93亿,3489.29万,0.1189395,,华勇
2016,,,25.52,17.02,66.49%,5.21亿,82.43%,3.59,,33.5789,7.1086,PS；PE,11.74亿,9.73亿,35.97%,25.74亿,5547.95万,0.2426289,,华勇
2015,,,42.42,10.22,57.49%,2.86亿,82.10%,4.98,,98.6512,8.5181,PS；PE,7.45亿,5.62亿,30.40%,14.91亿,743.04万,0.099517,,华勇
2014,,,8.42,6.49,87.08%,1.57亿,53.01%,3.54,,15.5926,2.3785,PS；PE,2.89亿,3.19亿,24.71%,10.36亿,688.83万,0.25,,华勇
2013,,,9.69,3.47,26.71%,1.02亿,11.24%,6.65,,12.4231,1.4571,PS；PE,7.01亿,2.06亿,29.54%,8.78亿,301.49万,0.25,,华勇
2012,,,4.85,2.74,58.55%,9214.08万,44.67%,6.12,,6.9286,0.7925,PS；PE,6.81亿,1.46亿,33.65%,8.08亿,2.60万,0.2,,华勇
2011,,,4.59,1.73,22.65%,6369.01万,40.24%,5.63,,9.5625,0.8153,PS；PE,6.95亿,8986.62万,36.88%,7.43亿,False,0.25,,华勇
2010,,,5.84,1.41,68.18%,4541.62万,44.85%,11.56,,14.2439,0.5052,PS；PE,6.50亿,4739.75万,32.26%,6.94亿,False,,,华勇
