报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,38.202,3.8549,9.91,0.659673,-4.64%,-1336.24万,-16.33%,0.19,57.9105,,52.1579,PE；PB,2469.08万,-12.61亿,-26.97%,-2161.15万,9028.81万,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,周口中控投资有限公司
2026-03-31,38.202,3.8549,9.91,0.659673,-4.64%,-1336.24万,-16.33%,0.19,14.4776,,52.1579,PE；PB,2469.08万,-12.61亿,-26.97%,-2161.15万,9028.81万,,,周口中控投资有限公司
2025,31.687,3.8549,8.22,3.85,-17.44%,-1.07亿,1.65%,0.23,8.2304,,35.7391,PE；PB,1842.83万,-12.47亿,-37.04%,-380.75万,7899.21万,,,周口中控投资有限公司
2024,51.193,3.8549,13.28,4.66,-9.54%,-1.09亿,31.87%,0.5,10.9856,,26.56,PE；PB,4417.85万,-11.40亿,-31.47%,1.37亿,6978.96万,,,周口中控投资有限公司
2023,33.229,3.8549,8.62,5.15,-48.85%,-1.60亿,-93.11%,0.7,6.4522,,12.3143,PE；PB,2562.97万,-10.31亿,-39.42%,3.32亿,2.05亿,,,周口中控投资有限公司
2022,27.023,3.8549,7.01,10.07,-11.81%,-8293.58万,80.66%,1.04,2.6835,,6.7404,PE；PB,6788.64万,-8.71亿,-11.00%,5.03亿,2.08亿,,,周口中控投资有限公司
2021,25.789,3.8549,6.69,11.42,-37.95%,-4.29亿,-3363.32%,1.29,2.2582,,5.186,PE；PB,1.10亿,-7.88亿,-36.89%,6.31亿,3.15亿,,,周口中控投资有限公司
2020,23.129,3.8549,6.0,18.4,23.63%,1314.34万,165.31%,2.52,1.257,173.913,2.381,PE；PB,2.79亿,-3.59亿,2.14%,11.45亿,3.26亿,,,周口中控投资有限公司
2019,25.635,3.8549,6.65,14.76,87.64%,-2012.57万,95.31%,2.46,1.7368,,2.7033,PE；PB,3.22亿,-3.72亿,-0.68%,10.83亿,1.85亿,,,周口中控投资有限公司
2018,20.701,3.8549,5.37,7.86,-39.92%,-4.29亿,-1119.65%,2.52,2.6337,,2.131,PE；PB,2.31亿,-3.52亿,-55.01%,9.76亿,8.04亿,,,周口中控投资有限公司
2017,,,7.43,13.09,38.08%,4210.86万,137.27%,3.63,,67.5455,2.0468,PE；PB,3.71亿,7749.63万,2.57%,14.08亿,2.89亿,,,周口中控投资有限公司
2016,,,16.65,9.48,37.76%,-1.13亿,-264.06%,3.1,,,5.371,PE；PB,4.86亿,3538.77万,-12.02%,11.76亿,3.36亿,0.06,,周口中控投资有限公司
2015,,,21.48,6.88,51.41%,6887.32万,17.43%,2.25,,102.2857,9.5467,PE；PB,1.32亿,1.71亿,10.33%,7.54亿,1.47亿,0.1,,周口中控投资有限公司
2014,,,10.91,4.55,4.74%,5865.25万,18.40%,3.1,,54.55,3.5194,PE；PB,6002.22万,1.21亿,13.44%,4.72亿,9914.51万,0.2,,周口中控投资有限公司
2013,,,7.7,4.34,44.76%,4953.75万,521.18%,4.53,,23.3333,1.6998,PE；PB,7072.58万,8647.03万,11.41%,4.29亿,7531.98万,0.04,,周口中控投资有限公司
2012,,,2.85,3.0,4.88%,797.47万,-71.48%,4.04,,35.625,0.7054,PE；PB,1.01亿,4569.72万,2.40%,3.84亿,7681.65万,0.1,,周口中控投资有限公司
2011,,,3.78,2.86,67.49%,2796.32万,31.26%,7.14,,12.6,0.5294,PE；PB,8389.33万,4385.94万,9.65%,3.81亿,1.02亿,0.4,,周口中控投资有限公司
2010,,,6.38,1.71,29.19%,2130.34万,-5.92%,6.85,,15.1905,0.9314,PE；PB,2.06亿,3955.21万,12.40%,3.56亿,4719.15万,,,周口中控投资有限公司
