报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,27.975,5.3388,5.24,5.82,123.78%,4626.51万,543.27%,1.24,4.8067,58.2222,4.2258,PE；PB,4.18亿,-18.09亿,8.56%,7.91亿,2.72亿,,,广州环保投资集团有限公司
2026-03-31,27.975,5.3388,5.24,5.82,123.78%,4626.51万,543.27%,1.24,1.2017,58.2222,4.2258,PE；PB,4.18亿,-18.09亿,8.56%,7.91亿,2.72亿,,,广州环保投资集团有限公司
2025,24.505,5.3388,4.59,20.09,26.26%,-7.01亿,18.99%,1.16,1.2198,,3.9569,PE；PB,4.07亿,-18.55亿,-36.20%,7.44亿,4.52亿,,,广州环保投资集团有限公司
2024,21.962,5.0487,4.35,15.92,-20.56%,-8.65亿,-300.66%,2.46,1.3795,,1.7683,PE；PB,2.14亿,-11.54亿,-55.56%,14.71亿,4.30亿,,,广州环保投资集团有限公司
2023,30.242,5.0487,5.99,20.03,-9.91%,-2.16亿,51.76%,4.07,1.5098,,1.4717,PE；PB,3.89亿,-2.89亿,-11.19%,22.32亿,4.79亿,,,广州环保投资集团有限公司
2022,29.333,5.0487,5.81,22.24,-16.29%,-4.48亿,13.07%,4.26,1.3189,,1.3638,PE；PB,8.55亿,-7028.23万,-20.10%,25.48亿,2.65亿,,,广州环保投资集团有限公司
2021,36.473,4.0571,8.99,26.57,-26.40%,-5.15亿,-363.96%,5.14,1.3727,,1.749,PE；PB,13.95亿,3.78亿,-19.90%,29.92亿,2.72亿,0.05,,广州环保投资集团有限公司
2020,42.452,3.5584,11.93,36.09,11.28%,1.95亿,-30.95%,5.87,1.1763,22.9423,2.0324,PE；PB,16.68亿,9.13亿,5.32%,27.77亿,3.22亿,0.1,,广州环保投资集团有限公司
2019,36.685,3.5582,10.31,32.44,19.07%,2.82亿,20.30%,4.67,1.1309,13.0506,2.2077,PE；PB,12.19亿,7.63亿,8.58%,19.98亿,2.44亿,0.0679965,,广州环保投资集团有限公司
2018,34.539,3.5607,9.7,27.24,85.49%,2.35亿,60.04%,4.3,1.268,14.697,2.2558,PE；PB,7.33亿,5.28亿,8.50%,17.27亿,1.51亿,0.041999999999999996,,广州环保投资集团有限公司
2017,,,16.67,14.69,77.15%,1.47亿,134.06%,3.26,,40.6585,5.1135,PE；PB,4.58亿,3.28亿,9.87%,12.94亿,1.21亿,0.0600535,,广州环保投资集团有限公司
2016,,,15.88,8.29,64.26%,6267.89万,45.79%,7.0,,79.4,2.2686,PE；PB,5.18亿,2.01亿,7.39%,10.19亿,5262.30万,0.06,,广州环保投资集团有限公司
2015,,,17.53,5.05,80.04%,4299.20万,37.52%,2.9,,49.5058,6.0448,PE；PB,1.71亿,1.50亿,8.50%,3.69亿,8139.55万,0.06,,广州环保投资集团有限公司
2014,,,,2.8,35.89%,3126.23万,11.63%,4.4,,,,PE；PB,1.02亿,1.15亿,11.15%,2.04亿,5695.67万,,,广州环保投资集团有限公司
2013,,,,2.06,-7.06%,2800.60万,-16.75%,3.83,,,,PE；PB,8776.92万,9080.56万,13.58%,1.78亿,4317.49万,,,广州环保投资集团有限公司
2012,,,,2.22,12.67%,3363.90万,8.71%,3.32,,,,PE；PB,4518.18万,7037.73万,15.16%,1.55亿,2487.93万,,,广州环保投资集团有限公司
2011,,,,1.97,False,3094.49万,False,2.7,,,,PE；PB,3706.72万,4458.07万,15.71%,1.26亿,2444.16万,,,广州环保投资集团有限公司
