报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-08,37.407,1.4132,26.47,2.32,-31.39%,1360.43万,65.32%,5.7,16.1237,274.8702,4.6439,PE；PB,1.68亿,3.77亿,5.60%,8.29亿,8271.08万,,20%: 最新年度营业收入下滑,唐伟忠
2026-03-31,37.407,1.4132,26.47,2.32,-31.39%,1360.43万,65.32%,5.7,4.0309,274.8702,4.6439,PE；PB,1.68亿,3.77亿,5.60%,8.29亿,8271.08万,,,唐伟忠
2025,28.668,1.0892,26.32,13.74,-2.67%,-3188.51万,-123.20%,5.58,2.0865,,4.7168,PE；PB,2.87亿,3.63亿,-1.61%,8.12亿,3281.39万,0.3,,唐伟忠
2024,19.589,0.84,23.32,14.12,0.99%,1.37亿,147.75%,8.03,1.3873,23.7959,2.9041,PE；PB,3.10亿,4.70亿,9.08%,10.17亿,4831.84万,0.25,,唐伟忠
2023,14.927,0.84,17.77,9.38,17.18%,5546.77万,0.38%,9.82,1.5914,34.8431,1.8096,PE；PB,1.47亿,3.29亿,5.99%,8.27亿,2389.64万,0.2,,唐伟忠
2022,11.995,0.84,14.28,8.0,51.67%,5525.70万,7.09%,9.36,1.4994,21.6364,1.5256,PE；PB,1.05亿,2.93亿,6.91%,7.86亿,2665.98万,0.12,,唐伟忠
2021,14.885,0.84,17.72,5.27,10.32%,5159.86万,-34.82%,8.82,2.8245,23.3158,2.0091,PE；PB,1.39亿,2.53亿,9.78%,7.41亿,3022.40万,,,唐伟忠
2020,,,,4.78,6.80%,7916.68万,27.87%,7.15,,,,PE；PB,4093.93万,2.05亿,16.56%,4.50亿,1004.28万,,,唐伟忠
2019,,,,4.48,36.40%,6191.19万,-5.02%,5.86,,,,PE；PB,8532.58万,1.29亿,13.83%,3.69亿,695.02万,,,唐伟忠
2018,,,,3.28,35.47%,6518.50万,71.88%,4.09,,,,PE；PB,7781.82万,7008.41万,19.86%,2.45亿,492.62万,,,唐伟忠
2017,,,,2.42,18.61%,3792.48万,70.61%,3.03,,,,PE；PB,4384.90万,714.06万,15.65%,1.78亿,409.78万,,,唐伟忠
2016,,,,2.04,False,2222.92万,False,26.88,,,,PE；PB,1630.47万,7058.98万,10.87%,9297.45万,396.10万,,,唐伟忠
