报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,47.695,14.1527,3.37,16.8,-11.79%,2156.99万,121.35%,3.88,2.839,221.7105,0.8686,PE；PB,12.58亿,22.88亿,1.00%,68.62亿,14.99亿,,20%: 最新年度营业收入下滑,四川省生态环保产业集团有限责任公司
2026-03-31,47.695,14.1527,3.37,16.8,-11.79%,2156.99万,121.35%,3.88,0.7097,221.7105,0.8686,PE；PB,12.58亿,22.88亿,1.00%,68.62亿,14.99亿,,,四川省生态环保产业集团有限责任公司
2025,53.272,14.2439,3.74,91.12,4.33%,-4.21亿,-12.34%,3.87,0.5846,,0.9664,PE；PB,13.48亿,22.66亿,-4.14%,68.78亿,14.36亿,,,四川省生态环保产业集团有限责任公司
2024,57.093,14.3449,3.98,87.34,1.18%,-3.75亿,-394.08%,4.15,0.6537,,0.959,PE；PB,9.33亿,26.90亿,-3.81%,75.05亿,17.44亿,0.10067299999999998,,四川省生态环保产业集团有限责任公司
2023,68.999,14.3449,4.81,86.14,7.25%,1.27亿,-71.55%,4.47,0.801,53.9238,1.0761,PE；PB,12.60亿,32.01亿,2.76%,78.34亿,13.85亿,0.1,,四川省生态环保产业集团有限责任公司
2022,74.538,14.0372,5.31,80.32,16.75%,4.48亿,-21.22%,4.47,0.928,16.651,1.1879,PE；PB,15.79亿,32.31亿,6.86%,76.24亿,17.15亿,0.1,,四川省生态环保产业集团有限责任公司
2021,73.959,10.8127,6.84,68.8,46.34%,5.68亿,66.70%,4.34,1.075,15.9255,1.576,PE；PB,17.22亿,29.39亿,9.12%,68.96亿,12.07亿,0.1,,四川省生态环保产业集团有限责任公司
2020,53.631,10.8127,4.96,47.01,22.15%,3.41亿,-10.27%,4.32,1.1408,15.736,1.1481,PE；PB,5.42亿,25.83亿,5.16%,67.30亿,10.61亿,0.15,,四川省生态环保产业集团有限责任公司
2019,62.606,10.8127,5.79,33.75,-17.43%,3.80亿,-27.63%,4.53,1.855,16.4816,1.2781,PE；PB,4.26亿,26.20亿,11.18%,50.99亿,10.67亿,0.1,,四川省生态环保产业集团有限责任公司
2018,69.181,10.8096,6.4,40.88,-0.16%,5.25亿,-19.45%,4.3,1.6923,13.1823,1.4884,PE；PB,3.81亿,23.79亿,13.85%,48.17亿,13.96亿,0.1,,四川省生态环保产业集团有限责任公司
2017,,,19.98,40.94,20.63%,6.52亿,-12.44%,3.92,,32.9051,5.0969,PE；PB,10.36亿,20.12亿,16.45%,46.44亿,15.88亿,0.1,,四川省生态环保产业集团有限责任公司
2016,,,15.28,33.94,49.66%,7.44亿,46.69%,3.38,,21.8786,4.5207,PE；PB,12.63亿,15.32亿,22.18%,40.07亿,9.78亿,0.1,,四川省生态环保产业集团有限责任公司
2015,,,19.5,22.68,77.62%,5.07亿,87.49%,2.71,,41.4894,7.1956,PE；PB,5.20亿,9.74亿,22.82%,30.28亿,5.59亿,0.2,,四川省生态环保产业集团有限责任公司
2014,,,11.99,12.77,66.90%,2.71亿,50.30%,4.54,,47.96,2.641,PE；PB,4.76亿,6.27亿,21.65%,26.04亿,1.45亿,0.15,,四川省生态环保产业集团有限责任公司
2013,,,9.52,7.65,99.60%,1.80亿,72.23%,4.19,,28.0,2.2721,PE；PB,7.29亿,4.65亿,23.37%,23.66亿,1.21亿,0.2,,四川省生态环保产业集团有限责任公司
2012,,,4.23,3.83,-14.46%,1.05亿,1.76%,7.13,,21.5596,0.5933,PE；PB,10.74亿,3.61亿,26.92%,21.81亿,8331.84万,0.15,,四川省生态环保产业集团有限责任公司
2011,,,5.2,4.48,39.70%,1.03亿,57.91%,6.92,,11.8182,0.7514,PE；PB,12.98亿,3.11亿,22.93%,20.49亿,8552.12万,0.0,,四川省生态环保产业集团有限责任公司
2010,,,,3.21,-3.16%,6504.67万,116.27%,3.33,,,,PE；PB,8788.25万,2.28亿,20.28%,3.66亿,5688.25万,,,四川省生态环保产业集团有限责任公司
