报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-08,23.142,0.6857,33.75,0.702597,8.07%,573.81万,-48.94%,10.81,32.9378,421.875,3.1221,PE；PB,2954.91万,-1536.91万,8.16%,7.40亿,1.23亿,,20%: 最新年度净利润同比下降,葛敬
2026-03-31,23.142,0.6857,33.75,0.702597,8.07%,573.81万,-48.94%,10.81,8.2345,421.875,3.1221,PE；PB,2954.91万,-1536.91万,8.16%,7.40亿,1.23亿,,,葛敬
2025,17.389,0.6857,25.36,2.76,44.43%,-3770.06万,71.24%,10.72,6.3004,,2.3657,PE；PB,4893.04万,-2110.72万,-13.85%,7.34亿,1.18亿,,,葛敬
2024,13.899,0.6857,20.27,1.91,-36.61%,-1.31亿,-775.60%,11.27,7.277,,1.7986,PE；PB,1.89亿,1659.34万,-68.66%,7.73亿,9843.88万,0.23900000000000002,,葛敬
2023,30.383,0.6857,44.31,3.02,-31.30%,1940.25万,-77.53%,13.42,10.0606,130.3235,3.3018,PE；PB,4.63亿,1.64亿,6.32%,9.20亿,4426.50万,,,葛敬
2022,,,,4.39,-8.55%,8633.30万,-6.14%,5.29,,,,PE；PB,4258.44万,1.49亿,19.64%,2.72亿,3043.54万,,,葛敬
2021,,,,4.8,49.58%,9198.05万,29.85%,3.61,,,,PE；PB,3298.93万,6942.53万,19.12%,1.86亿,9847.60万,,,葛敬
2020,,,,3.21,3.28%,7083.65万,101.61%,2.25,,,,PE；PB,3155.58万,-1527.60万,21.80%,1.30亿,1.22亿,,,葛敬
2019,,,,3.11,13.02%,3513.50万,0.13%,0.69,,,,PE；PB,2875.21万,-8530.11万,10.91%,5855.18万,8548.03万,,,葛敬
2018,,,,2.75,-2.09%,3509.06万,-23.31%,-0.02,,,,PE；PB,3055.82万,-1.20亿,12.49%,2462.55万,6254.26万,,,葛敬
2017,,,,2.81,56.53%,4575.60万,131.61%,4.34,,,,PE；PB,7267.52万,8873.21万,16.08%,2.17亿,3968.44万,,,葛敬
2016,,,,1.8,-1.06%,1975.54万,26.27%,3.68,,,,PE；PB,8274.85万,4756.17万,10.26%,2.11亿,1355.41万,,,葛敬
2015,,,,1.81,5.11%,1564.49万,115.05%,2.85,,,,PE；PB,1294.65万,2784.08万,8.62%,1.42亿,1156.37万,,,葛敬
2014,,,,1.73,38.04%,727.49万,221.47%,2.53,,,,PE；PB,950.97万,1219.59万,4.21%,1.27亿,5297.77万,,,葛敬
2013,,,,1.25,False,-598.89万,False,2.39,,,,PE；PB,260.19万,492.10万,-4.94%,1.19亿,9782.81万,,,葛敬
