报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,299.201,3.0259,98.88,6.34,-4.48%,2.98亿,-32.79%,26.01,47.1926,99.8788,3.8016,PE；PB,39.44亿,44.58亿,47.50%,84.55亿,9685.17万,0.8,40%: 最新年度营业收入下滑；最新年度净利润同比下降,简军
2026-03-31,299.201,3.0259,98.88,6.34,-4.48%,2.98亿,-32.79%,26.01,11.7981,99.8788,3.8016,PE；PB,39.44亿,44.58亿,47.50%,84.55亿,9685.17万,0.8,,简军
2025,425.895,3.0259,140.75,24.53,-18.94%,12.91亿,-34.05%,25.06,17.3622,32.8855,5.6165,PE；PB,33.82亿,41.59亿,53.07%,81.65亿,9320.52万,5.0,,简军
2024,381.14,2.1636,176.16,30.26,5.45%,19.58亿,5.33%,25.88,12.5955,27.1015,6.8068,PE；PB,43.93亿,43.75亿,64.66%,79.50亿,7284.30万,2.323,,简军
2023,436.312,2.1636,201.66,28.69,47.99%,18.58亿,47.08%,29.34,15.2078,32.7902,6.8732,PE；PB,36.38亿,29.61亿,64.65%,64.85亿,4977.12万,4.648,,简军
2022,830.628,2.1636,383.91,19.39,33.91%,12.64亿,31.90%,27.02,42.838,65.738,14.2084,PE；PB,38.43亿,21.07亿,65.38%,59.46亿,4671.54万,2.1,,简军
2021,434.968,1.202,361.87,14.48,104.13%,9.58亿,117.85%,23.25,30.0392,81.6862,15.5643,PE；PB,36.34亿,12.98亿,66.12%,50.30亿,3493.52万,3.5,,简军
2020,293.865,1.202,244.48,7.09,27.18%,4.40亿,43.93%,37.72,41.4478,54.2084,6.4814,PE；PB,42.97亿,8.09亿,61.10%,45.31亿,2680.42万,,,简军
2019,,,,5.58,73.74%,3.06亿,148.68%,7.32,,,,PE；PB,5.06亿,3.84亿,53.43%,6.63亿,2329.25万,,,简军
2018,,,,3.21,44.28%,1.23亿,49.47%,4.43,,,,PE；PB,2.66亿,1.44亿,36.18%,4.05亿,1296.65万,,,简军
2017,,,,2.22,58.09%,8219.35万,53.99%,3.61,,,,PE；PB,2.14亿,8204.41万,34.49%,3.28亿,1753.03万,,,简军
2016,,,,1.41,25.86%,5337.70万,202.38%,2.92,,,,PE；PB,1.78亿,2914.72万,37.74%,2.65亿,1606.08万,,,简军
2015,,,,1.12,48.84%,1765.20万,-37.89%,1.69,,,,PE；PB,7054.48万,8842.48万,15.79%,1.52亿,724.45万,,,简军
2014,,,,0.751241,False,2841.94万,False,0.98,,,,PE；PB,5244.88万,7165.53万,37.83%,8805.82万,509.42万,,,简军
