报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-11,909.67,181.2092,5.02,477.82,10.08%,14.81亿,298.26%,2.05,1.9038,62.75,2.4488,PE；PB,197.80亿,-362.46亿,4.50%,571.62亿,38.86亿,,,中国南方航空集团有限公司
2026-03-31,909.67,181.2092,5.02,477.82,10.08%,14.81亿,298.26%,2.05,0.4759,62.75,2.4488,PE；PB,197.80亿,-362.46亿,4.50%,571.62亿,38.86亿,,,中国南方航空集团有限公司
2025,1451.485,181.2091,8.01,1822.56,4.61%,8.57亿,150.53%,1.96,0.7964,160.2,4.0867,PE；PB,198.26亿,-377.27亿,1.47%,550.11亿,32.98亿,,,中国南方航空集团有限公司
2024,1176.047,181.2091,6.49,1742.24,8.94%,-16.96亿,59.71%,1.92,0.675,,3.3802,PE；PB,186.89亿,-385.84亿,0.09%,525.95亿,20.02亿,,,中国南方航空集团有限公司
2023,1043.763,181.2089,5.76,1599.29,83.70%,-42.09亿,87.12%,2.03,0.6526,,2.8374,PE；PB,130.81亿,-368.88亿,-1.93%,519.97亿,15.65亿,,,中国南方航空集团有限公司
2022,1288.081,169.4844,7.6,870.59,-14.35%,-326.82亿,-170.03%,2.27,1.4795,,3.348,PE；PB,202.40亿,-326.79亿,-38.71%,551.14亿,13.87亿,,,中国南方航空集团有限公司
2021,1043.925,153.293,6.81,1016.44,9.81%,-121.03亿,-11.63%,3.99,1.027,,1.7068,PE；PB,218.41亿,4300.00万,-10.83%,842.45亿,16.52亿,,,中国南方航空集团有限公司
2020,731.123,122.6717,5.96,925.61,-40.02%,-108.42亿,-508.98%,4.52,0.7899,,1.3186,PE；PB,258.23亿,121.46亿,-12.77%,848.63亿,17.60亿,,,中国南方航空集团有限公司
2019,880.783,122.6717,7.18,1543.22,7.45%,26.51亿,-11.13%,5.21,0.5707,32.6364,1.3781,PE；PB,19.94亿,229.88亿,2.01%,770.54亿,18.93亿,0.05,,中国南方航空集团有限公司
2018,665.819,100.8817,6.6,1436.23,12.66%,29.83亿,-49.56%,4.42,0.4636,23.5714,1.4932,PE；PB,77.48亿,239.83亿,2.41%,781.83亿,16.99亿,0.1,,中国南方航空集团有限公司
2017,,,11.68,1274.89,11.05%,59.14亿,16.97%,4.92,,19.4667,2.374,PE；PB,72.50亿,216.64亿,5.36%,621.65亿,16.22亿,0.1,,中国南方航空集团有限公司
2016,,,6.8,1148.03,2.95%,50.56亿,29.91%,4.4,,13.3333,1.5455,PE；PB,48.95亿,172.24亿,5.13%,547.10亿,15.88亿,0.08,,中国南方航空集团有限公司
2015,,,8.2,1115.0,2.91%,38.92亿,119.51%,3.97,,20.5,2.0655,PE；PB,56.10亿,134.11亿,4.47%,497.98亿,16.06亿,0.04,,中国南方航空集团有限公司
2014,,,4.92,1083.13,10.38%,17.73亿,-6.44%,3.62,,27.3333,1.3591,PE；PB,183.06亿,99.89亿,2.23%,442.74亿,16.61亿,0.04,,中国南方航空集团有限公司
2013,,,2.58,981.3,-3.30%,18.95亿,-27.89%,3.48,,13.5789,0.7414,PE；PB,126.10亿,87.46亿,2.70%,422.12亿,16.47亿,0.05,,中国南方航空集团有限公司
2012,,,3.6,1014.83,9.47%,26.28亿,-48.22%,3.33,,13.3333,1.0811,PE；PB,100.82亿,74.55亿,3.74%,395.96亿,17.08亿,0.2,,中国南方航空集团有限公司
2011,,,4.18,927.07,19.18%,50.75亿,-12.58%,3.27,,8.0385,1.2783,PE；PB,99.35亿,69.29亿,6.52%,376.39亿,16.18亿,,,中国南方航空集团有限公司
2010,,,8.6,777.88,38.80%,58.05亿,1423.62%,2.73,,12.2857,3.1502,PE；PB,104.04亿,21.75亿,8.26%,302.19亿,13.55亿,,,中国南方航空集团有限公司
