报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,68.739,5.5795,12.32,77.9,-21.70%,1.73亿,11.73%,10.67,0.8824,39.7419,1.1546,PE；PB,8.87亿,35.81亿,2.60%,71.58亿,27.23亿,0.47,20%: 最新年度营业收入下滑,物产中大集团股份有限公司
2026-03-31,68.739,5.5795,12.32,77.9,-21.70%,1.73亿,11.73%,10.67,0.2206,39.7419,1.1546,PE；PB,8.87亿,35.81亿,2.60%,71.58亿,27.23亿,0.47,,物产中大集团股份有限公司
2025,71.194,5.5795,12.76,373.04,-16.56%,6.38亿,-13.58%,10.44,0.1908,11.193,1.2222,PE；PB,20.70亿,34.64亿,2.18%,69.51亿,29.58亿,0.6,,物产中大集团股份有限公司
2024,66.34,5.5795,11.89,447.09,0.86%,7.39亿,-30.25%,9.88,0.1484,9.0076,1.2034,PE；PB,5.75亿,31.61亿,1.97%,65.64亿,30.23亿,0.7,,物产中大集团股份有限公司
2023,74.375,5.5795,13.33,443.27,-19.70%,10.59亿,-0.31%,9.25,0.1678,7.0158,1.4411,PE；PB,5.26亿,28.13亿,2.71%,61.44亿,24.75亿,0.8,,物产中大集团股份有限公司
2022,75.602,5.5795,13.55,552.0,-7.82%,10.62亿,5.15%,8.15,0.137,7.1316,1.6626,PE；PB,4.90亿,22.00亿,2.14%,54.21亿,39.52亿,0.6,,物产中大集团股份有限公司
2021,114.212,5.5795,20.47,598.81,99.18%,10.10亿,100.88%,6.85,0.1907,9.2624,2.9883,PE；PB,15.81亿,15.68亿,1.92%,46.08亿,40.15亿,,,物产中大集团股份有限公司
2020,,,,300.64,-6.99%,5.03亿,2.65%,3.89,,,,PE；PB,6.54亿,11.08亿,2.19%,25.74亿,26.63亿,,,物产中大集团股份有限公司
2019,,,,323.25,-8.97%,4.90亿,6.15%,3.52,,,,PE；PB,13.00亿,10.21亿,2.16%,21.87亿,15.64亿,,,物产中大集团股份有限公司
2018,,,,355.11,8.71%,4.62亿,38.43%,3.04,,,,PE；PB,8.37亿,7.98亿,1.79%,19.72亿,15.56亿,,,物产中大集团股份有限公司
2017,,,,326.65,False,3.33亿,False,2.38,,,,PE；PB,3.21亿,4.77亿,1.37%,16.40亿,10.56亿,,,物产中大集团股份有限公司
