报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,44.333,1.6934,26.18,10.48,0.27%,6401.52万,-27.56%,14.91,4.2302,68.534,1.7559,PE；PB,5.22亿,9.88亿,6.06%,27.37亿,4.06亿,,20%: 最新年度净利润同比下降,彭裕辉
2026-03-31,44.333,1.6934,26.18,10.48,0.27%,6401.52万,-27.56%,14.91,1.0576,68.534,1.7559,PE；PB,5.22亿,9.88亿,6.06%,27.37亿,4.06亿,,,彭裕辉
2025,72.816,1.6934,43.0,43.54,13.51%,3.05亿,13.71%,14.53,1.6724,23.5268,2.9594,PE；PB,6.94亿,9.24亿,6.81%,26.73亿,3.81亿,0.7,,彭裕辉
2024,65.111,1.6934,38.45,38.35,9.61%,2.68亿,266.94%,13.69,1.6978,24.1111,2.8086,PE；PB,7.41亿,7.41亿,6.87%,25.76亿,3.80亿,0.7,,彭裕辉
2023,79.2,1.6934,46.77,34.99,20.22%,7302.70万,-49.21%,13.14,2.2635,108.4647,3.5594,PE；PB,13.14亿,5.95亿,2.02%,24.87亿,2.62亿,0.5,,彭裕辉
2022,155.877,1.6934,92.05,29.11,3.32%,1.44亿,-49.22%,12.52,5.3548,108.4217,7.3522,PE；PB,5.32亿,6.10亿,4.93%,21.28亿,3.12亿,0.5,,彭裕辉
2021,212.793,1.6934,125.66,28.17,55.66%,2.83亿,21.98%,11.73,7.5539,68.9001,10.7127,PE；PB,7.84亿,5.75亿,10.05%,19.86亿,2.82亿,0.5,,彭裕辉
2020,,,,18.1,14.27%,2.32亿,27.95%,5.13,,,,PE；PB,2.04亿,3.96亿,12.83%,6.52亿,1.41亿,,,彭裕辉
2019,,,,15.84,20.58%,1.81亿,246.78%,3.71,,,,PE；PB,1.93亿,2.25亿,11.45%,4.71亿,1.17亿,,,彭裕辉
2018,,,,13.13,37.39%,5230.86万,18.90%,2.41,,,,PE；PB,9296.49万,6862.69万,3.98%,3.06亿,1.22亿,,,彭裕辉
2017,,,,9.56,False,4399.42万,False,2.16,,,,PE；PB,5119.74万,3372.20万,4.60%,1.95亿,1.00亿,,,彭裕辉
