报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-11,395.787,63.9398,6.19,39.38,31.81%,7.66亿,12.63%,8.55,10.0505,51.5833,0.724,PB；PE,2174.41亿,227.03亿,3297.24%,628.56亿,False,,,国家开发投资集团有限公司
2026-03-31,395.787,63.9398,6.19,39.38,31.81%,7.66亿,12.63%,8.55,2.5126,51.5833,0.724,PB；PE,2174.41亿,227.03亿,3297.24%,628.56亿,False,,,国家开发投资集团有限公司
2025,489.139,63.9398,7.65,135.44,3.79%,32.79亿,21.71%,8.47,3.6115,15.3,0.9032,PB；PE,1787.70亿,217.91亿,6877.38%,625.44亿,False,0.127,,国家开发投资集团有限公司
2024,475.473,64.2531,7.4,130.5,-13.76%,26.94亿,14.32%,8.09,3.6435,18.0488,0.9147,PB；PE,1704.95亿,198.82亿,156.77%,605.40亿,False,0.11030999999999999,,国家开发投资集团有限公司
2023,417.645,64.2531,6.5,174.59,1.89%,23.57亿,-19.88%,7.76,2.3921,18.0556,0.8376,PB；PE,1271.73亿,186.76亿,117.30%,588.09亿,3855.38万,0.092,,国家开发投资集团有限公司
2022,390.658,64.253,6.08,171.36,1.18%,29.42亿,-38.63%,7.48,2.2798,13.8182,0.8128,PB；PE,1207.98亿,174.32亿,179.12%,566.12亿,8305.40万,0.15,,国家开发投资集团有限公司
2021,322.953,42.2713,7.64,169.36,19.80%,47.93亿,15.54%,7.19,1.9069,10.4658,1.0626,PB；PE,990.64亿,161.20亿,445.64%,545.43亿,5061.34万,0.196,,国家开发投资集团有限公司
2020,352.543,42.2713,8.34,141.37,25.47%,41.48亿,39.79%,10.03,2.4938,13.0312,0.8315,PB；PE,914.57亿,132.84亿,490.42%,503.03亿,1.40亿,0.13999999999999999,,国家开发投资集团有限公司
2019,381.287,42.2713,9.02,112.67,7.17%,29.68亿,76.69%,9.24,3.3841,12.8857,0.9762,PB；PE,846.61亿,106.17亿,523.88%,430.41亿,5257.64万,0.081,,国家开发投资集团有限公司
2018,225.306,42.2713,5.33,105.14,1.74%,16.79亿,-35.15%,8.61,2.1429,13.325,0.619,PB；PE,693.36亿,94.83亿,85.66%,398.00亿,1.25亿,0.062,,国家开发投资集团有限公司
2017,,,7.75,103.34,-3.47%,25.90亿,-16.78%,8.59,,11.3971,0.9022,PB；PE,643.78亿,84.40亿,429.63%,393.88亿,1.95亿,0.06999999999999999,,国家开发投资集团有限公司
2016,,,9.14,107.05,-47.77%,31.12亿,-31.20%,7.45,,10.881,1.2268,PB；PE,667.85亿,67.51亿,502.15%,351.91亿,9890.27万,0.213,,国家开发投资集团有限公司
2015,,,14.99,178.47,54.24%,45.23亿,404.73%,7.16,,11.2707,2.0936,PB；PE,734.68亿,44.92亿,204.77%,264.83亿,5780.02万,,,国家开发投资集团有限公司
2014,,,13.32,115.71,8.28%,8.96亿,13996.28%,1.44,,31.7143,9.25,PB；PE,438.51亿,8.65亿,0.10%,173.17亿,7.98亿,,,国家开发投资集团有限公司
2013,,,3.56,43.56,33.93%,635.66万,24.70%,1.39,,356.0,2.5612,PB；PE,2.36亿,1.30亿,0.14%,5.98亿,9.22亿,,,国家开发投资集团有限公司
2012,,,2.52,32.53,7.93%,509.75万,-69.58%,1.38,,252.0,1.8261,PB；PE,2.20亿,1.24亿,0.16%,5.92亿,7.03亿,,,国家开发投资集团有限公司
2011,,,3.28,30.14,63.32%,1675.71万,-20.64%,1.36,,82.0,2.4118,PB；PE,1.57亿,1.19亿,0.56%,5.87亿,5.38亿,,,国家开发投资集团有限公司
2010,,,7.66,18.45,48.98%,2111.42万,375.85%,1.32,,153.2,5.803,PB；PE,1.36亿,1.02亿,1.15%,5.70亿,3.07亿,,,国家开发投资集团有限公司
