报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,181.072,46.4288,3.9,5.38,34.04%,1.69亿,63.80%,3.13,33.6565,107.438,1.246,PB；PE,366.24亿,8.73亿,32.18%,147.60亿,,,香港中央结算(代理人)有限公司
2026-03-31,181.072,46.4288,3.9,5.38,34.04%,1.69亿,63.80%,3.13,8.4141,107.438,1.246,PB；PE,366.24亿,8.73亿,32.18%,147.60亿,,,香港中央结算(代理人)有限公司
2025,199.644,46.4288,4.3,19.63,40.97%,4.56亿,85.41%,3.1,10.1704,43.7882,1.3871,PB；PE,364.07亿,7.05亿,22.95%,145.88亿,0.025,,香港中央结算(代理人)有限公司
2024,199.644,46.4288,4.3,13.92,-14.13%,2.46亿,16.18%,3.03,14.3422,81.1321,1.4191,PB；PE,320.30亿,3.59亿,13.13%,142.83亿,0.020000000000000004,,香港中央结算(代理人)有限公司
2023,175.965,46.4288,3.79,19.68,4.62%,2.12亿,98.54%,2.99,8.9413,83.114,1.2676,PB；PE,342.48亿,2.42亿,10.28%,141.50亿,0.007000000000000001,,香港中央结算(代理人)有限公司
2022,166.679,46.4288,3.59,18.81,-57.45%,1.07亿,-79.23%,2.96,8.8612,179.5,1.2128,PB；PE,318.26亿,2.11亿,5.72%,142.07亿,0.020999999999999998,,香港中央结算(代理人)有限公司
2021,223.787,46.4288,4.82,44.21,42.46%,5.13亿,392.04%,2.95,5.0619,43.8182,1.6339,PB；PE,368.40亿,2.95亿,12.46%,141.44亿,0.034,,香港中央结算(代理人)有限公司
2020,265.031,38.6907,6.85,31.03,30.80%,1.04亿,79.14%,2.88,8.5411,342.5,2.3785,PB；PE,335.44亿,1.03亿,3.29%,141.86亿,,,香港中央结算(代理人)有限公司
2019,202.352,38.6907,5.23,23.73,43.82%,5822.27万,-11.50%,2.5,8.5273,261.5,2.092,PB；PE,265.59亿,8823.27万,3.16%,104.98亿,0.02,,香港中央结算(代理人)有限公司
2018,162.442,39.2373,4.14,16.5,-23.19%,6578.76万,-85.12%,2.57,9.845,207.0,1.6109,PB；PE,211.94亿,2.39亿,5.81%,112.75亿,0.045,,香港中央结算(代理人)有限公司
2017,,,5.94,21.48,6.91%,4.42亿,-38.50%,2.59,,54.0,2.2934,PB；PE,162.60亿,4.00亿,24.27%,114.52亿,0.194,,香港中央结算(代理人)有限公司
2016,,,,20.09,-49.38%,7.19亿,-48.87%,2.7,,,,PB；PE,201.28亿,8.91亿,36.84%,115.47亿,,,香港中央结算(代理人)有限公司
2015,,,,40.04,121.45%,14.06亿,149.96%,2.53,,,,PB；PE,177.53亿,13.97亿,35.02%,88.76亿,,,香港中央结算(代理人)有限公司
2014,,,,18.08,55.18%,5.62亿,122.31%,2.2,,,,PB；PE,127.82亿,14.77亿,30.42%,58.57亿,,,香港中央结算(代理人)有限公司
2013,,,,11.65,15.61%,2.53亿,38.38%,2.01,,,,PB；PE,79.72亿,11.19亿,20.46%,41.75亿,,,香港中央结算(代理人)有限公司
2012,,,,10.08,41.94%,1.83亿,72.51%,1.88,,,,PB；PE,87.67亿,9.49亿,18.18%,38.39亿,,,香港中央结算(代理人)有限公司
2011,,,,7.1,-47.23%,1.06亿,-77.83%,1.78,,,,PB；PE,83.81亿,8.70亿,14.95%,36.85亿,,,香港中央结算(代理人)有限公司
2010,,,,13.46,-27.62%,4.78亿,-44.85%,0.0,,,,PB；PE,94.20亿,12.05亿,35.54%,40.24亿,,,香港中央结算(代理人)有限公司
