报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,845.911,274.6464,3.08,171.9,0.50%,59.92亿,0.72%,6.68,4.9209,14.0,0.4611,PB；PE,620.46亿,35.89%,2132.10亿,,,香港中央结算(代理人)有限公司
2026-03-31,845.911,274.6464,3.08,171.9,0.50%,59.92亿,0.72%,6.68,1.2302,14.0,0.4611,PB；PE,620.46亿,35.89%,2132.10亿,,,香港中央结算(代理人)有限公司
2025,834.925,274.6464,3.04,625.14,-7.59%,129.31亿,-14.85%,6.48,1.3356,6.9091,0.4691,PB；PE,560.61亿,21.69%,2073.35亿,0.156,,香港中央结算(代理人)有限公司
2024,766.263,274.6464,2.79,676.5,6.19%,151.86亿,0.92%,6.33,1.1327,5.3654,0.4408,PB；PE,523.96亿,23.20%,2027.43亿,0.16399999999999998,,香港中央结算(代理人)有限公司
2023,482.799,212.687,2.27,637.04,4.29%,150.48亿,10.50%,5.87,0.7579,3.9825,0.3867,PB；PE,494.58亿,24.32%,1895.77亿,0.21000000000000002,,香港中央结算(代理人)有限公司
2022,495.561,212.687,2.33,610.85,12.14%,136.18亿,7.67%,6.49,0.8113,4.3962,0.359,PB；PE,446.57亿,22.90%,1659.30亿,,,香港中央结算(代理人)有限公司
2021,589.143,212.687,2.77,544.71,14.19%,126.48亿,2.75%,5.84,1.0816,5.0364,0.4743,PB；PE,368.27亿,23.71%,1668.83亿,0.161,,香港中央结算(代理人)有限公司
2020,659.33,212.687,3.1,477.03,2.89%,123.09亿,-4.76%,5.43,1.3822,5.8491,0.5709,PB；PE,323.89亿,26.33%,1325.43亿,0.24,,香港中央结算(代理人)有限公司
2019,735.897,212.687,3.46,463.64,19.06%,129.24亿,12.48%,5.23,1.5872,5.4062,0.6616,PB；PE,289.85亿,28.35%,1280.27亿,,,香港中央结算(代理人)有限公司
2018,,,,389.43,13.80%,114.90亿,4.94%,4.59,,,,PB；PE,192.03亿,29.69%,1024.49亿,,,香港中央结算(代理人)有限公司
2017,,,,342.22,2.15%,109.50亿,7.85%,4.08,,,,PB；PE,147.30亿,32.06%,896.88亿,,,香港中央结算(代理人)有限公司
2016,,,,335.02,33.98%,101.53亿,44.00%,3.76,,,,PB；PE,127.93亿,30.31%,674.75亿,,,香港中央结算(代理人)有限公司
2015,,,,250.05,44.71%,70.51亿,38.37%,3.42,,,,PB；PE,109.91亿,28.20%,496.57亿,,,香港中央结算(代理人)有限公司
2014,,,,172.8,28.64%,50.96亿,3.96%,2.88,,,,PB；PE,82.48亿,29.49%,331.50亿,,,香港中央结算(代理人)有限公司
2013,,,,134.32,28.89%,49.01亿,21.75%,0.0,,,,PB；PE,44.56亿,36.49%,278.08亿,,,香港中央结算(代理人)有限公司
2012,,,,104.22,23.30%,40.26亿,41.26%,0.0,,,,PB；PE,46.59亿,38.63%,227.09亿,,,香港中央结算(代理人)有限公司
2011,,,,84.53,56.17%,28.50亿,73.46%,0.0,,,,PB；PE,30.37亿,33.72%,206.86亿,,,香港中央结算(代理人)有限公司
2010,,,,54.12,63.42%,16.43亿,89.50%,0.0,,,,PB；PE,9.92亿,30.35%,178.16亿,,,香港中央结算(代理人)有限公司
