报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-11,3180.708,333.0584,9.55,465.73,1.42%,178.61亿,1.49%,22.63,6.8295,18.3654,0.422,PB；PE,2681.59亿,39.01%,8413.99亿,,,上海国际集团有限公司
2026-03-31,3180.708,333.0584,9.55,465.73,1.42%,178.61亿,1.49%,22.63,1.7074,18.3654,0.422,PB；PE,2681.59亿,39.01%,8413.99亿,,,上海国际集团有限公司
2025,3651.411,293.5218,12.44,1739.64,1.88%,500.17亿,10.52%,22.13,2.0989,8.1842,0.5621,PB；PE,2509.63亿,28.97%,8244.30亿,0.41,,上海国际集团有限公司
2024,2932.283,293.5218,9.99,1707.48,-1.55%,452.57亿,23.31%,22.36,1.7173,7.3456,0.4468,PB；PE,2304.01亿,26.84%,7447.81亿,0.321,,上海国际集团有限公司
2023,1819.835,293.5217,6.2,1734.34,-8.05%,367.02亿,-28.28%,20.95,1.0493,5.7944,0.2959,PB；PE,2083.33亿,21.58%,7328.84亿,0.32,,上海国际集团有限公司
2022,1913.761,293.5217,6.52,1886.22,-1.24%,511.71亿,-3.46%,20.03,1.0146,4.1795,0.3255,PB；PE,2032.20亿,27.57%,7067.75亿,0.41,,上海国际集团有限公司
2021,2125.095,293.5214,7.24,1909.82,-2.75%,530.03亿,-9.12%,19.08,1.1127,4.4691,0.3795,PB；PE,1930.96亿,28.15%,6782.18亿,0.48,,上海国际集团有限公司
2020,2295.333,293.5208,7.82,1963.84,2.99%,583.25亿,-0.99%,18.0,1.1688,4.1596,0.4344,PB；PE,1880.38亿,30.04%,6458.17亿,0.6,,上海国际集团有限公司
2019,2782.577,293.5208,9.48,1906.88,11.60%,589.11亿,5.36%,16.83,1.4592,4.8615,0.5633,PB；PE,1707.30亿,31.21%,5610.51亿,0.35,,上海国际集团有限公司
2018,2136.831,293.5208,7.28,1708.65,1.73%,559.14亿,3.05%,15.05,1.2506,3.9351,0.4837,PB；PE,1402.08亿,32.95%,4783.80亿,0.1,,上海国际集团有限公司
2017,,,9.26,1686.19,4.88%,542.58亿,2.18%,13.47,,5.0326,0.6875,PB；PE,1198.07亿,32.62%,4309.85亿,0.2,,上海国际集团有限公司
2016,,,9.05,1607.79,9.72%,530.99亿,4.93%,15.64,,4.8919,0.5786,PB；PE,973.16亿,33.38%,3729.34亿,0.515,,上海国际集团有限公司
2015,,,9.01,1465.5,18.97%,506.04亿,7.61%,15.29,,3.7201,0.5893,PB；PE,906.70亿,34.80%,3186.00亿,0.757,,上海国际集团有限公司
2014,,,7.39,1231.81,23.16%,470.26亿,14.92%,13.15,,2.9314,0.562,PB；PE,781.57亿,38.45%,2632.85亿,0.6599999999999999,,上海国际集团有限公司
2013,,,4.14,1000.15,20.57%,409.22亿,19.70%,10.96,,1.887,0.3777,PB；PE,629.98亿,41.19%,2072.27亿,0.55,,上海国际集团有限公司
2012,,,4.12,829.52,22.14%,341.86亿,25.29%,9.52,,2.2477,0.4328,PB；PE,489.86亿,41.36%,1796.59亿,0.3,,上海国际集团有限公司
2011,,,3.4,679.18,36.23%,272.86亿,42.28%,7.98,,2.324,0.4261,PB；PE,301.88亿,40.28%,1495.42亿,0.16,,上海国际集团有限公司
2010,,,3.77,498.56,35.39%,191.77亿,45.10%,8.57,,3.065,0.4399,PB；PE,252.59亿,38.47%,1232.80亿,0.15,,上海国际集团有限公司
