报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,265.545,2.25,118.02,5.1703,12.84,6.72%,2.68亿,1.30%,27.99,15.32亿,56.55亿,20.84%,62.98亿,9.15亿
2025,236.138,2.25,104.95,4.4329,53.27,11.64%,11.92亿,14.72%,26.80,18.32亿,53.88亿,22.39%,60.30亿,9.62亿
2024,262.53,2.25,116.68,5.5015,47.72,22.99%,10.39亿,1.48%,23.50,13.02亿,46.46亿,21.84%,53.48亿,8.03亿
2023,199.688,2.25,88.75,5.1466,38.8,1.14%,10.24亿,1.72%,20.88,11.05亿,40.56亿,26.49%,47.55亿,6.71亿
2022,340.56,2.25,151.36,8.878,38.36,36.49%,10.07亿,21.21%,18.13,19.03亿,34.37亿,26.60%,41.42亿,7.29亿
2021,490.568,2.25,218.03,17.4517,28.11,48.66%,8.31亿,49.51%,15.26,18.01亿,27.91亿,30.04%,34.94亿,5.88亿
2020,224.752,2.25,99.89,11.8854,18.91,12.51%,5.56亿,21.85%,12.87,13.69亿,22.52亿,29.85%,29.41亿,3.63亿
2019,100.822,2.25,44.81,6.0013,16.8,-2.39%,4.56亿,0.91%,11.70,14.06亿,19.89亿,27.76%,26.77亿,2.81亿
2018,83.295,2.25,37.02,4.8399,17.21,1.40%,4.52亿,6.68%,10.91,1.95亿,18.12亿,26.73%,25.01亿,2.58亿
2017,,,43.57,,16.98,11.60%,4.24亿,8.73%,10.11,3.34亿,16.30亿,25.74%,23.21亿,2.49亿
2016,,,30.67,,15.21,9.17%,3.90亿,18.78%,9.32,7.61亿,14.54亿,26.44%,21.43亿,2.16亿
2015,,,33.92,,13.93,-1.61%,3.28亿,7.11%,8.59,3.91亿,12.89亿,24.57%,19.78亿,2.49亿
2014,,,23.07,,14.16,6.74%,3.06亿,6.98%,7.84,3.63亿,11.19亿,22.82%,18.05亿,2.51亿
2013,,,17.74,,13.27,7.70%,2.86亿,18.26%,7.17,7.08亿,9.70亿,22.67%,16.52亿,2.18亿
2012,,,11.26,,12.32,-7.04%,2.42亿,-13.76%,6.50,6.06亿,8.19亿,20.81%,14.98亿,2.11亿
2011,,,11.71,,13.25,9.65%,2.81亿,14.90%,6.03,4.44亿,7.12亿,22.25%,13.86亿,2.62亿
2010,,,19.77,,12.09,58.64%,2.44亿,103.03%,5.23,2.92亿,5.60亿,21.64%,12.07亿,2.12亿
