报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,16.606,1.079,15.39,9.3164,0.445614,17.14%,-1267.51万,11.41%,5.29,2.61亿,9329.36万,-32.47%,5.77亿,1.34亿
2025,14.297,1.079,13.25,4.657,3.07,-35.88%,-6972.55万,-1137.13%,5.52,3.23亿,1.06亿,-21.93%,6.04亿,1.15亿
2024,12.145,1.0824,11.22,2.5355,4.79,39.74%,-563.61万,80.90%,6.39,3.32亿,1.76亿,-2.01%,7.00亿,7174.50万
2023,19.298,1.0739,17.97,5.6262,3.43,-27.10%,-2950.56万,-156.70%,6.50,3.32亿,1.81亿,-10.37%,7.04亿,1.02亿
2022,27.621,1.0739,25.72,5.8643,4.71,-7.23%,5203.96万,-48.07%,6.93,3.33亿,2.27亿,10.84%,7.53亿,9938.66万
2021,54.092,1.0739,50.37,10.669,5.07,39.61%,1.00亿,32.41%,6.73,4.62亿,2.10亿,19.98%,7.32亿,8489.85万
2020,,,,,3.63,54.33%,7568.80万,140.98%,4.31,2.29亿,1.20亿,21.52%,3.55亿,6420.43万
2019,,,,,2.35,44.58%,3140.79万,147.01%,3.35,1.82亿,5157.55万,13.64%,2.74亿,6221.50万
2018,,,,,1.63,32.39%,1271.54万,-42.80%,2.17,1.03亿,2336.67万,6.65%,1.63亿,3608.35万
2017,,,,,1.23,5.54%,2223.06万,-20.08%,0.27,1.09亿,1226.60万,17.68%,1.43亿,2266.79万
2016,,,,,1.17,48.88%,2781.45万,32.55%,1.87,4069.56万,2505.50万,23.50%,1.03亿,429.24万
2015,,,,,0.782844,34.36%,2098.47万,107.87%,2.51,3052.48万,1929.12万,26.67%,6123.19万,419.75万
2014,,,,,0.582656,27.61%,1009.53万,102.82%,1.70,1680.19万,655.47万,17.37%,2216.57万,275.71万
2013,,,,,0.456597,52.25%,497.74万,1033.28%,1.83,1989.43万,726.55万,11.31%,1916.14万,17.52万
2012,,,,,0.299891,False,-53.33万,False,1.34,761.83万,244.88万,-1.28%,1399.68万,35.60万
