报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,107.445,6.2323,17.24,3.0317,8.86,-27.54%,-1.20亿,-4650.97%,6.38,11.63亿,13.29亿,-13.77%,43.96亿,27.72亿
2025,152.629,6.2323,24.49,1.9595,77.89,-0.60%,-7.63亿,-466.24%,6.58,22.13亿,14.48亿,-9.25%,45.18亿,20.58亿
2024,146.958,6.2323,23.58,1.8754,78.36,-14.77%,2.08亿,-44.49%,8.41,22.46亿,22.69亿,2.90%,52.80亿,22.86亿
2023,181.672,6.2323,29.15,1.9758,91.95,-13.27%,3.75亿,-0.28%,8.30,16.84亿,25.13亿,4.46%,54.89亿,32.21亿
2022,163.664,5.917,27.66,1.5439,106.01,0.91%,3.76亿,0.86%,6.90,24.51亿,22.71亿,3.79%,44.92亿,30.56亿
2021,155.291,5.7966,26.79,1.4783,105.05,23.11%,3.73亿,1.19%,6.06,28.99亿,20.12亿,3.75%,39.39亿,38.31亿
2020,145.953,5.7964,25.18,1.7105,85.33,20.81%,3.69亿,9.94%,5.75,27.57亿,17.63亿,4.37%,37.72亿,24.65亿
2019,110.13,4.1278,26.68,1.5593,70.63,17.40%,3.35亿,6.08%,7.40,21.91亿,15.38亿,4.81%,34.23亿,15.64亿
2018,65.565,4.1523,15.79,1.0898,60.16,13.52%,3.16亿,8.29%,6.85,16.71亿,13.33亿,5.23%,30.37亿,15.19亿
2017,,,17.12,,53.0,1.54%,2.92亿,-3.22%,6.31,13.47亿,11.30亿,5.40%,28.12亿,15.93亿
2016,,,20.49,,52.19,6.93%,3.02亿,49.70%,5.80,11.41亿,9.52亿,5.71%,25.31亿,12.20亿
2015,,,44.72,,48.29,13.48%,2.02亿,2.96%,5.17,10.36亿,7.32亿,4.17%,21.77亿,4.97亿
2014,,,19.46,,42.56,26.42%,1.96亿,10.69%,7.28,9.92亿,6.07亿,4.66%,20.25亿,1.03亿
2013,,,14.35,,33.66,16.55%,1.77亿,33.72%,6.77,12.22亿,4.78亿,5.35%,18.80亿,1.13亿
2012,,,6.63,,28.88,26.44%,1.32亿,17.94%,4.87,8.53亿,3.57亿,4.58%,11.54亿,7131.27万
2011,,,6.5,,22.84,16.41%,1.12亿,28.66%,5.32,9.68亿,2.65亿,4.90%,10.52亿,3976.46万
2010,,,9.65,,19.62,16.79%,8714.47万,41.70%,10.10,11.88亿,2.20亿,4.40%,9.99亿,1956.05万
