报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,103.083,4.0841,25.24,5.3356,4.83,-1.31%,3156.83万,28.74%,6.55,3.58亿,9.64亿,6.10%,28.60亿,2.68亿
2025,93.812,4.0841,22.97,4.5254,20.73,-13.45%,-1.07亿,-176.90%,6.49,5.50亿,9.32亿,-5.57%,28.37亿,2.18亿
2024,74.437,4.1012,18.15,3.108,23.95,6.27%,1.39亿,-45.21%,6.60,5.25亿,10.68亿,5.97%,28.66亿,1.61亿
2023,88.504,4.1012,21.58,3.9265,22.54,-0.75%,2.54亿,1.98%,6.57,8.30亿,9.80亿,11.44%,28.36亿,1.50亿
2022,117.46,4.0378,29.09,5.1722,22.71,17.37%,2.49亿,11.10%,5.98,10.67亿,7.88亿,11.21%,25.91亿,1.19亿
2021,113.638,3.9678,28.64,5.8728,19.35,39.68%,2.25亿,27.53%,5.48,11.62亿,5.94亿,11.79%,23.63亿,1.24亿
2020,30.372,2.171,13.99,2.1929,13.85,28.79%,1.76亿,165.37%,4.45,6.14亿,4.20亿,12.71%,12.50亿,9863.10万
2019,20.455,2.1761,9.4,1.901,10.76,18.27%,6634.59万,-41.57%,3.85,4.84亿,3.05亿,6.22%,9.87亿,330.95万
2018,11.697,1.4512,8.06,1.2868,9.09,28.30%,1.14亿,12.41%,5.95,1.99亿,2.57亿,13.14%,9.08亿,156.62万
2017,,,10.55,,7.09,15.85%,1.01亿,23.18%,9.56,2.28亿,1.68亿,14.25%,7.64亿,False
2016,,,,,6.12,49.81%,8199.95万,90.27%,4.43,9535.21万,8232.31万,13.40%,2.66亿,False
2015,,,,,4.08,69.29%,4309.65万,66.03%,3.06,2923.75万,737.50万,10.55%,1.84亿,False
2014,,,,,2.41,62.50%,2595.75万,44.85%,1.50,291.13万,6596.18万,10.76%,9002.86万,False
2013,,,,,1.48,False,1792.08万,False,0.96,403.73万,4266.42万,12.07%,5740.51万,False
