报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,109.502,13.036,8.4,31.4565,0.870265,52.30%,-6542.72万,11.29%,0.15,3.32亿,-77.27亿,-81.83%,5.74亿,4.95亿
2025,125.797,13.036,9.65,12.5171,10.05,6.67%,-5716.33万,-304.94%,0.20,5.11亿,-76.62亿,1.59%,6.45亿,4.33亿
2024,112.501,13.036,8.63,11.9428,9.42,-8.05%,2789.30万,-28.65%,0.25,4.38亿,-76.05亿,5.47%,6.56亿,3.55亿
2023,86.042,13.0962,6.57,8.3943,10.25,-4.65%,3909.36万,3.85%,0.24,4.94亿,-76.32亿,8.22%,6.33亿,3.36亿
2022,77.772,13.1371,5.92,7.2346,10.75,-17.99%,3764.50万,173.89%,0.38,7.60亿,-76.68亿,10.35%,17.91亿,3.14亿
2021,116.263,13.1371,8.85,8.8683,13.11,-19.40%,-5095.03万,96.14%,0.33,12.47亿,-77.05亿,5.49%,17.14亿,3.80亿
2020,90.769,8.8211,10.29,5.5823,16.26,-15.62%,-13.20亿,-46.77%,-1.49,3.89亿,-76.55亿,-143.94%,-3.57亿,3.63亿
2019,94.298,8.8211,10.69,6.5897,14.31,-38.96%,-8.99亿,-259.54%,0.04,4.40亿,-53.22亿,-69.52%,14.25亿,3.91亿
2018,59.542,8.8211,6.75,2.5402,23.44,-46.09%,5.64亿,121.28%,0.21,10.46亿,-44.22亿,23.69%,6.01亿,4.97亿
2017,,,11.26,,43.48,-39.86%,-26.49亿,-49.17%,-0.43,13.65亿,-49.86亿,-64.56%,4218.69万,6.32亿
2016,,,15.87,,72.3,-15.96%,-17.76亿,-6342.55%,2.60,17.22亿,-23.37亿,-25.00%,25.34亿,15.11亿
2015,,,24.67,,86.03,7.75%,2844.39万,-86.89%,4.62,13.10亿,-5.62亿,0.52%,43.39亿,20.60亿
2014,,,16.37,,79.84,0.87%,2.17亿,39.47%,4.57,18.24亿,-5.96亿,3.10%,42.71亿,17.92亿
2013,,,13.28,,79.15,28.01%,1.56亿,-7.86%,3.11,13.58亿,-8.05亿,2.52%,25.09亿,14.23亿
2012,,,8.13,,61.83,15.51%,1.69亿,29.93%,2.92,11.69亿,-9.61亿,3.59%,23.50亿,13.01亿
2011,,,8.4,,53.53,12.19%,1.30亿,96.82%,1.27,12.63亿,-11.30亿,1.57%,12.97亿,10.80亿
2010,,,19.63,,40.28,25.44%,6604.46万,14.91%,1.21,6.92亿,-13.36亿,3.75%,7.02亿,9.67亿
