报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,36.111,0.8799,41.04,12.7428,0.708457,-15.23%,-2282.88万,-257.16%,12.29,3.36亿,4.79亿,-32.22%,10.81亿,1.42亿
2025,38.223,0.8799,43.44,5.9169,6.46,10.60%,8425.07万,-21.64%,12.55,3.68亿,5.01亿,13.05%,11.04亿,1.09亿
2024,31.396,0.8743,35.91,5.376,5.84,17.21%,1.08亿,71.49%,12.00,2.79亿,4.55亿,18.42%,10.50亿,1.04亿
2023,29.607,0.8163,36.27,5.9452,4.98,-8.96%,6269.78万,-45.98%,9.82,2.06亿,3.64亿,12.59%,8.02亿,1.14亿
2022,41.383,0.5487,75.42,7.5654,5.47,37.76%,1.16亿,42.87%,13.87,2.73亿,3.40亿,21.22%,7.61亿,7615.26万
2021,40.763,0.5487,74.29,10.2678,3.97,50.54%,8123.55万,9.16%,11.57,3.20亿,2.42亿,20.46%,6.35亿,5374.95万
2020,,,,,2.64,46.44%,7441.56万,86.77%,8.68,1.03亿,1.72亿,28.21%,3.57亿,6568.16万
2019,,,,,1.8,59.23%,3984.44万,149.35%,6.86,8964.47万,1.07亿,22.12%,2.81亿,3245.40万
2018,,,,,1.13,12.63%,1597.90万,5.54%,5.63,4276.66万,7074.44万,14.13%,2.27亿,2275.26万
2017,,,,,1.0,False,1514.03万,False,5.28,4993.12万,5678.15万,15.07%,2.13亿,2133.04万
