报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,55.621,5.9743,9.31,1.7535,7.93,11.28%,5697.82万,13.44%,4.25,10.65亿,5.11亿,8.68%,27.37亿,7.09亿
2025,59.086,5.9743,9.89,1.8757,31.5,-5.20%,2.41亿,9.98%,4.14,11.05亿,4.54亿,9.59%,26.65亿,7.37亿
2024,40.893,5.8586,6.98,1.231,33.22,9.34%,2.19亿,49.02%,3.75,8.22亿,2.60亿,8.23%,23.84亿,8.05亿
2023,40.106,5.7541,6.97,1.3197,30.39,89.33%,1.47亿,165.84%,3.30,9.10亿,6398.45万,6.00%,20.25亿,10.01亿
2022,28.886,5.7541,5.02,1.7998,16.05,1.14%,-2.23亿,-629.37%,3.00,9.05亿,-8312.29万,-13.22%,17.56亿,8.64亿
2021,54.549,5.7541,9.48,3.4372,15.87,-12.14%,4220.42万,-40.90%,3.41,8.70亿,1.46亿,2.83%,19.65亿,8.08亿
2020,31.255,4.7142,6.63,1.7306,18.06,14.76%,7141.69万,121.86%,3.10,6.28亿,1.12亿,4.08%,14.59亿,7.53亿
2019,23.495,4.7274,4.97,1.4927,15.74,8.89%,-3.27亿,-2647.91%,2.99,5.51亿,4105.65万,-21.64%,14.07亿,8.41亿
2018,22.438,4.7438,4.73,1.5528,14.45,-17.19%,1282.23万,-74.88%,3.82,5.08亿,3.70亿,0.99%,18.35亿,8.59亿
2017,,,10.28,,17.46,96.91%,5104.85万,117.09%,3.80,4.16亿,3.64亿,2.90%,18.50亿,8.43亿
2016,,,12.49,,8.87,-31.99%,-2.99亿,-1923.71%,3.67,4.96亿,3.13亿,-33.53%,17.88亿,8.06亿
2015,,,19.03,,13.03,-34.95%,1637.50万,-92.49%,6.87,7.45亿,6.15亿,0.93%,20.28亿,6.57亿
2014,,,14.85,,20.04,-2.37%,2.18亿,-6.78%,9.09,3.71亿,6.27亿,10.77%,12.32亿,8.75亿
2013,,,23.97,,20.52,64.78%,2.34亿,105.46%,7.65,3.08亿,4.56亿,11.33%,10.36亿,9.55亿
2012,,,10.3,,12.45,54.83%,1.14亿,62.13%,5.53,3.70亿,2.56亿,9.31%,7.43亿,7.05亿
2011,,,6.16,,8.04,74.24%,7017.28万,54.91%,9.37,1.63亿,1.57亿,9.51%,6.43亿,5.07亿
2010,,,,,4.62,20.36%,4529.84万,23.45%,3.84,1.15亿,9241.91万,10.25%,2.01亿,2.23亿
