报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,278.181,28.0424,9.92,1.1618,59.86,-4.51%,1.18亿,-88.42%,5.85,36.92亿,124.02亿,1.97%,164.17亿,45.98亿
2025,284.07,28.0424,10.13,1.1734,242.09,-3.43%,32.81亿,19.72%,5.83,54.29亿,122.84亿,13.55%,163.48亿,30.22亿
2024,275.294,28.5279,9.65,1.0981,250.69,-9.69%,27.40亿,-13.85%,5.11,48.73亿,103.71亿,10.93%,145.75亿,27.22亿
2023,255.784,29.4343,8.69,0.9214,277.61,-0.63%,31.81亿,-27.81%,4.81,51.42亿,94.28亿,11.46%,141.63亿,29.23亿
2022,269.867,30.4247,8.87,0.966,279.37,21.14%,44.06亿,83.42%,4.44,45.09亿,76.06亿,15.77%,135.16亿,40.69亿
2021,199.861,30.9862,6.45,0.8667,230.61,33.94%,24.02亿,144.61%,3.43,33.96亿,46.00亿,10.40%,106.73亿,29.92亿
2020,115.941,31.0002,3.74,0.68,170.5,17.15%,9.82亿,-0.67%,2.93,15.72亿,33.25亿,5.90%,93.17亿,22.23亿
2019,104.615,31.0429,3.37,0.7188,145.54,15.07%,9.89亿,-1.29%,2.89,22.28亿,32.45亿,6.90%,92.17亿,21.33亿
2018,92.313,31.0818,2.97,0.7299,126.48,13.62%,10.02亿,-14.66%,2.93,19.47亿,33.70亿,8.07%,93.73亿,18.66亿
2017,,,3.37,,111.32,0.36%,11.74亿,12.66%,2.93,22.85亿,35.03亿,10.74%,93.60亿,9.95亿
2016,,,4.08,,110.93,-6.42%,10.42亿,144.84%,2.92,24.04亿,33.51亿,9.62%,92.97亿,8.33亿
2015,,,5.63,,118.53,20.15%,4.25亿,-14.95%,2.68,10.94亿,27.31亿,3.76%,85.60亿,12.76亿
2014,,,4.38,,98.65,26.79%,5.00亿,23.92%,2.64,14.11亿,26.44亿,5.13%,83.82亿,19.17亿
2013,,,3.74,,77.8,4.16%,4.04亿,-33.58%,2.58,12.17亿,24.99亿,5.19%,80.27亿,16.37亿
2012,,,3.18,,74.7,8.79%,6.08亿,-15.52%,2.02,8.64亿,24.27亿,8.14%,54.81亿,9.45亿
2011,,,4.76,,68.66,36.91%,7.20亿,-8.92%,1.90,18.63亿,21.20亿,10.48%,51.44亿,12.38亿
2010,,,6.32,,50.15,22.86%,7.90亿,27.00%,4.89,12.16亿,19.29亿,15.75%,49.29亿,7.02亿
