报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,143.711,4.784,30.04,2.0937,17.16,33.44%,1.19亿,168.92%,7.86,10.88亿,18.51亿,7.80%,41.03亿,9.95亿
2025,115.199,4.784,24.08,1.9022,60.56,14.25%,1.89亿,34.03%,7.61,6.61亿,17.32亿,3.39%,38.32亿,8.79亿
2024,52.511,4.4805,11.72,0.9906,53.01,16.65%,1.41亿,0.67%,7.09,5.02亿,16.20亿,2.87%,32.98亿,7.86亿
2023,56.541,4.4803,12.62,1.2443,45.44,0.41%,1.40亿,-8.15%,6.66,5.32亿,15.27亿,3.41%,32.52亿,5.66亿
2022,77.659,4.476,17.35,1.7158,45.26,6.21%,1.52亿,-32.59%,6.49,8.24亿,14.35亿,3.67%,31.08亿,5.35亿
2021,65.685,4.0925,16.05,1.5415,42.61,-3.64%,2.26亿,-73.55%,4.87,3.60亿,13.19亿,5.80%,21.89亿,4.44亿
2020,101.628,4.0798,24.91,2.2982,44.22,61.67%,8.55亿,414.51%,4.75,5.94亿,11.93亿,19.65%,20.01亿,3.94亿
2019,41.558,4.0703,10.21,1.5195,27.35,100.76%,1.66亿,35.75%,2.67,2.66亿,5.70亿,6.50%,11.52亿,3.23亿
2018,26.233,2.52,10.41,1.9247,13.63,45.87%,1.22亿,30.52%,3.75,1.44亿,4.43亿,9.13%,10.00亿,3.27亿
2017,,,12.19,,9.34,16.81%,9379.78万,18.25%,6.69,8201.93万,3.53亿,10.25%,8.43亿,1.49亿
2016,,,,,8.0,27.70%,7932.10万,32.44%,9.08,3.30亿,2.88亿,10.19%,7.83亿,1.25亿
2015,,,,,6.26,7.83%,5989.20万,26.93%,6.22,3226.36万,2.16亿,10.01%,4.09亿,8277.55万
2014,,,,,5.81,16.12%,4718.39万,3.38%,5.27,8612.31万,1.62亿,8.48%,3.47亿,7693.35万
2013,,,,,5.0,29.01%,4563.93万,23.71%,4.52,2523.58万,1.19亿,9.33%,2.97亿,9017.48万
2012,,,,,3.88,5.29%,3689.14万,-3.11%,3.80,1.06亿,7714.42万,9.52%,2.39亿,6799.99万
2011,,,,,3.68,13.26%,3807.61万,28.33%,2.81,5640.71万,4394.19万,10.34%,1.60亿,4210.37万
2010,,,,,3.25,54.69%,2966.93万,119.97%,2.16,3759.86万,1059.80万,9.39%,1.23亿,4721.28万
