报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,100.548,12.0706,8.33,16.758,1.5,-25.70%,2893.87万,-12.37%,3.77,10.88亿,12.18亿,20.67%,47.47亿,5876.03万
2025,82.442,12.0706,6.83,10.8763,7.58,-4.82%,1.76亿,16.60%,3.91,11.58亿,11.89亿,25.71%,49.17亿,4893.25万
2024,69.647,12.0706,5.77,8.7496,7.96,-32.70%,1.51亿,-9.09%,3.59,7.70亿,8.69亿,21.24%,45.01亿,7180.16万
2023,81.356,12.0706,6.74,6.8771,11.83,-17.88%,1.66亿,1.20%,3.28,7.10亿,8.11亿,16.24%,41.35亿,8526.94万
2022,68.802,12.0706,5.7,4.7779,14.4,-4.71%,1.64亿,24.20%,3.18,7.15亿,7.09亿,13.78%,40.19亿,8952.09万
2021,103.807,12.0706,8.6,6.8701,15.11,62.03%,1.32亿,10.64%,3.42,5.61亿,5.99亿,6.20%,42.83亿,9671.98万
2020,94.634,12.0706,7.84,10.143,9.33,-16.10%,1.19亿,14.87%,3.47,5.24亿,5.19亿,10.52%,43.79亿,1.12亿
2019,93.426,12.0706,7.74,8.4016,11.12,1.19%,1.04亿,-23.15%,3.19,3.95亿,4.49亿,9.67%,40.48亿,1.19亿
2018,80.269,12.0706,6.65,7.3038,10.99,9.82%,1.35亿,28.44%,2.83,4.57亿,3.99亿,14.20%,36.25亿,1.45亿
2017,,,10.25,,10.0,-1.12%,1.05亿,17.04%,3.13,5.11亿,3.10亿,8.78%,39.50亿,1.25亿
2016,,,12.31,,10.12,-3.80%,8996.53万,-42.85%,3.44,5.26亿,2.45亿,4.35%,43.39亿,1.62亿
2015,,,13.93,,10.52,-5.26%,1.57亿,-45.89%,3.79,4.79亿,2.61亿,16.50%,48.03亿,2.85亿
2014,,,8.16,,11.1,-12.00%,2.91亿,344.90%,4.41,6.77亿,2.40亿,25.24%,55.40亿,3.18亿
2013,,,6.61,,12.62,-3.79%,6539.29万,26.36%,2.48,3.00亿,-1088.04万,5.23%,32.16亿,3.57亿
2012,,,5.06,,13.11,3.88%,5175.25万,35.64%,2.39,3.10亿,-6393.81万,3.87%,31.12亿,3.59亿
2011,,,5.98,,12.62,2.48%,3815.39万,150.38%,2.09,3.46亿,-1.09亿,3.48%,27.55亿,3.49亿
2010,,,6.09,,12.32,4.06%,1523.84万,106.84%,2.52,3.39亿,-1.36亿,1.15%,32.59亿,3.08亿
