报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,56.365,5.7989,9.72,0.499,28.24,5.89%,4846.40万,5.72%,5.28,8.84亿,23.79亿,1.72%,30.63亿,12.82亿
2025,62.686,5.7989,10.81,0.604,103.79,3.29%,1.34亿,-37.24%,5.20,12.35亿,23.31亿,1.29%,30.15亿,12.30亿
2024,43.492,5.7989,7.5,0.4328,100.48,-3.29%,2.13亿,-27.00%,4.97,11.00亿,21.97亿,2.12%,28.81亿,11.01亿
2023,44.188,5.7989,7.62,0.4253,103.9,7.77%,2.92亿,10.47%,4.74,13.14亿,20.67亿,2.81%,27.51亿,11.15亿
2022,36.069,5.7989,6.22,0.3741,96.41,3.50%,2.64亿,-4.62%,4.25,11.81亿,17.75亿,2.73%,24.58亿,10.74亿
2021,37.983,5.7989,6.55,0.4078,93.15,16.36%,2.77亿,90.89%,3.79,8.00亿,15.16亿,2.97%,21.99亿,11.05亿
2020,41.114,5.7989,7.09,0.5136,80.05,-4.17%,1.45亿,-45.66%,3.44,4.17亿,13.09亿,1.81%,19.92亿,11.23亿
2019,37.809,5.7989,6.52,0.4526,83.54,18.41%,2.67亿,3.67%,3.19,3.67亿,11.82亿,3.20%,18.47亿,11.45亿
2018,32.3,5.7989,5.57,0.4578,70.55,-11.91%,2.58亿,1.44%,2.72,5.06亿,9.34亿,3.65%,15.80亿,8.53亿
2017,,,11.18,,80.09,-11.07%,2.54亿,13.22%,2.78,4.43亿,9.84亿,3.17%,16.12亿,9.38亿
2016,,,13.49,,90.06,1.08%,2.25亿,61.62%,2.84,4.94亿,10.40亿,2.49%,16.48亿,7.62亿
2015,,,14.66,,89.09,-1.12%,1.39亿,-25.88%,2.45,4.89亿,8.42亿,1.49%,14.23亿,8.95亿
2014,,,10.43,,90.11,-45.27%,1.87亿,2800.18%,3.61,5.95亿,16.28亿,1.51%,29.87亿,16.38亿
2013,,,5.74,,31.77,-21.91%,646.21万,-98.22%,3.74,1.58亿,11.22亿,-0.25%,22.15亿,5.64亿
2012,,,7.8,,40.68,12.83%,3.64亿,-8.69%,3.73,4.43亿,11.63亿,8.69%,23.06亿,6.38亿
2011,,,8.83,,36.06,19.99%,3.99亿,19.41%,3.11,3.67亿,8.33亿,10.77%,19.36亿,7.69亿
2010,,,11.91,,30.05,13.90%,3.34亿,19.74%,4.12,3.47亿,6.54亿,11.29%,17.39亿,5.06亿
