报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,85.421,1.5714,54.36,4.6024,4.64,19.57%,5436.77万,18.17%,17.54,13.14亿,18.24亿,11.71%,27.58亿,8.64亿
2025,86.788,1.5714,55.23,4.3092,20.14,17.87%,2.54亿,11.21%,17.26,13.79亿,17.70亿,12.62%,27.14亿,6.55亿
2024,57.363,1.4056,40.81,3.3585,17.08,13.50%,2.29亿,14.84%,16.34,12.55亿,17.53亿,13.38%,22.99亿,5.97亿
2023,50.953,1.4056,36.25,3.3856,15.05,12.73%,1.99亿,-10.35%,15.19,11.59亿,15.55亿,13.23%,21.37亿,5.11亿
2022,61.2,1.4056,43.54,4.5843,13.35,2.75%,2.22亿,-26.88%,13.95,10.61亿,13.81亿,16.63%,19.63亿,5.80亿
2021,63.772,1.4056,45.37,4.9093,12.99,14.54%,3.04亿,-8.46%,12.63,9.08亿,11.96亿,23.36%,17.77亿,5.40亿
2020,121.149,1.4056,86.19,10.6833,11.34,74.62%,3.32亿,102.92%,10.76,7.91亿,9.31亿,29.23%,15.12亿,5.81亿
2019,37.206,1.4056,26.47,5.724,6.5,10.04%,1.63亿,9.97%,8.55,6.46亿,6.22亿,25.16%,12.03亿,2.36亿
2018,26.664,1.4056,18.97,4.5193,5.9,22.09%,1.49亿,20.05%,7.54,5974.89万,4.87亿,25.18%,10.60亿,1.64亿
2017,,,29.28,,4.84,36.81%,1.24亿,23.57%,6.24,4752.29万,3.73亿,25.60%,9.31亿,1.67亿
2016,,,33.32,,3.53,16.82%,1.00亿,23.26%,8.22,6.34亿,2.80亿,28.35%,8.25亿,8040.75万
2015,,,,,3.03,2.88%,8128.62万,7.44%,4.37,1.41亿,2.00亿,26.87%,3.29亿,6682.94万
2014,,,,,2.94,18.73%,7565.61万,21.18%,3.51,9604.23万,1.44亿,25.73%,2.65亿,7444.48万
2013,,,,,2.48,25.22%,6243.18万,35.21%,2.62,6207.55万,8463.94万,25.21%,1.97亿,8428.05万
2012,,,,,1.98,10.30%,4617.26万,9.94%,1.87,3993.53万,3370.34万,23.35%,1.40亿,5217.30万
2011,,,,,1.79,False,4199.68万,False,4.71,1115.08万,6315.91万,23.43%,8960.95万,5861.42万
