报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,52.045,1.4377,36.2,5.2465,2.48,94.22%,7327.00万,336.31%,12.30,15.25亿,7.72亿,29.42%,18.02亿,4.84亿
2025,34.045,1.4377,23.68,4.2239,8.06,27.47%,1.69亿,14.20%,11.79,14.19亿,6.98亿,20.94%,17.29亿,4.92亿
2024,39.617,1.4501,27.32,6.2586,6.33,-17.92%,1.48亿,0.22%,10.85,11.95亿,5.83亿,23.37%,16.08亿,5.38亿
2023,22.632,1.0444,21.67,2.9354,7.71,18.35%,1.48亿,4.27%,14.30,11.14亿,4.98亿,19.16%,15.24亿,4.90亿
2022,16.182,0.7399,21.87,2.4857,6.51,26.57%,1.42亿,16.25%,18.34,5.82亿,4.08亿,21.76%,13.57亿,3.42亿
2021,22.677,0.7273,31.18,4.4033,5.15,-8.05%,1.22亿,-19.62%,16.70,6.40亿,2.82亿,23.68%,12.14亿,2.40亿
2020,,,,,5.6,16.34%,1.52亿,23.79%,10.89,1.68亿,2.21亿,27.09%,5.94亿,1.44亿
2019,,,,,4.81,14.55%,1.22亿,146.58%,8.65,7621.22万,1.16亿,25.46%,4.72亿,2.08亿
2018,,,,,4.2,41.36%,4966.48万,-25.66%,6.99,1873.88万,2.56亿,12.37%,3.81亿,1.88亿
2017,,,,,2.97,False,6681.14万,False,5.67,3799.45万,2.21亿,22.21%,2.95亿,1.36亿
