报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,46.368,1.2,38.64,3.9429,2.94,9.78%,1447.04万,-25.73%,12.06,9.13亿,4.83亿,4.92%,14.59亿,1.90亿
2025,41.376,1.2,34.48,3.2025,12.92,19.10%,7969.68万,-12.04%,11.93,9.77亿,4.69亿,6.39%,14.44亿,1.76亿
2024,38.796,1.2,32.33,3.5757,10.85,9.02%,9060.59万,-25.91%,11.42,9.64亿,4.36亿,8.55%,13.79亿,1.39亿
2023,44.184,1.2,36.82,4.4406,9.95,-9.86%,1.22亿,-23.21%,11.34,10.63亿,3.93亿,12.21%,13.67亿,1.04亿
2022,31.152,1.2,25.96,2.8217,11.04,-0.70%,1.59亿,45.23%,10.72,9.32亿,3.31亿,14.37%,12.88亿,1.30亿
2021,25.224,0.8,31.53,2.2704,11.11,34.88%,1.10亿,31.58%,14.68,8.78亿,2.35亿,9.87%,11.75亿,1.52亿
2020,,,,,8.24,2.85%,8334.49万,-3.70%,6.85,1.85亿,1.77亿,10.11%,4.11亿,1.12亿
2019,,,,,8.01,1.27%,8654.68万,19.84%,5.47,1.34亿,1.01亿,10.80%,3.28亿,9063.41万
2018,,,,,7.91,18.14%,7222.03万,110.42%,4.63,7226.60万,5885.39万,9.13%,2.78亿,8335.43万
2017,,,,,6.7,22.86%,3432.17万,54.84%,3.52,3434.54万,-89.92万,5.13%,2.11亿,9964.46万
2016,,,,,5.45,False,2216.59万,False,3.42,1520.41万,1.18亿,4.07%,1.82亿,8516.45万
