报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,1052.398,10.1573,103.61,0.6457,407.46,16.42%,10.61亿,25.96%,26.36,187.34亿,150.45亿,2.63%,273.26亿,181.04亿
2025,921.673,10.1573,90.74,0.5376,1714.37,56.02%,40.54亿,38.55%,25.40,148.78亿,139.82亿,2.39%,263.45亿,146.24亿
2024,711.631,10.1589,70.05,0.6477,1098.78,28.76%,29.26亿,8.10%,22.19,150.47亿,109.55亿,2.65%,229.24亿,114.76亿
2023,402.393,7.2425,55.56,0.4715,853.38,-7.89%,27.07亿,5.59%,28.81,155.33亿,90.81亿,3.11%,208.43亿,43.44亿
2022,,,,,926.46,10.61%,25.64亿,35.44%,19.00,84.57亿,64.37亿,2.69%,124.11亿,62.11亿
2021,,,,,837.59,39.91%,18.93亿,-13.63%,14.67,64.17亿,39.58亿,2.24%,96.60亿,78.41亿
2020,,,,,598.66,69.59%,21.91亿,333.60%,11.36,63.86亿,21.05亿,3.66%,75.23亿,48.94亿
2019,,,,,353.0,14.31%,5.05亿,177.85%,6.82,52.31亿,12.97亿,1.42%,43.52亿,37.66亿
2018,,,,,308.81,False,1.82亿,False,4.71,44.10亿,8.52亿,0.59%,27.42亿,20.92亿
2012,,,,,41.22,93.08%,1.70亿,42.20%,False,3.38亿,2.95亿,4.13%,4.27亿,7.62亿
2011,,,,,21.35,5.90%,1.20亿,-8.10%,False,2.06亿,1.97亿,5.61%,3.12亿,2.05亿
2010,,,,,20.16,121.89%,1.30亿,41.90%,False,1.40亿,1.62亿,6.47%,2.67亿,1.55亿
