报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,73.967,3.2399,22.83,1.8529,9.98,13.25%,4447.43万,-5.91%,5.39,4.14亿,7.13亿,4.45%,17.45亿,6.74亿
2025,71.278,3.2399,22.0,1.8169,39.23,11.11%,2.21亿,44.11%,5.25,2.97亿,6.68亿,5.62%,17.01亿,5.01亿
2024,45.305,3.243,13.97,1.2831,35.31,10.84%,1.53亿,6.00%,4.53,2.41亿,5.10亿,4.34%,14.70亿,5.32亿
2023,32.188,2.6449,12.17,1.0103,31.86,88.94%,1.44亿,0.96%,5.07,1.67亿,4.19亿,4.53%,13.42亿,4.05亿
2022,17.199,1.8963,9.07,1.0201,16.86,14.39%,1.43亿,-15.11%,6.31,1.30亿,3.21亿,8.52%,11.95亿,3.78亿
2021,16.902,1.3642,12.39,1.1467,14.74,47.27%,1.68亿,41.50%,8.47,4.37亿,3.28亿,11.43%,11.56亿,1.68亿
2020,,,,,10.01,7.77%,1.19亿,9.94%,10.15,5.90亿,2.16亿,11.90%,10.16亿,1.14亿
2019,,,,,9.29,3.58%,1.08亿,1.72%,3.74,7093.85万,1.09亿,11.66%,3.74亿,9428.92万
2018,,,,,8.97,2.54%,1.06亿,109.90%,2.86,6402.31万,3148.77万,11.69%,2.86亿,8611.25万
2017,,,,,8.74,42.73%,5072.84万,-0.21%,2.30,4475.88万,5377.43万,5.43%,2.30亿,8832.62万
2016,,,,,6.13,False,5083.56万,False,1.60,1.04亿,3840.18万,8.31%,1.61亿,7775.46万
