报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,9.226,0.4998,18.46,2.1161,1.09,-18.70%,-356.31万,-162.65%,4.83,9920.06万,2812.45万,-3.12%,2.55亿,8987.97万
2025,11.345,0.4998,22.7,2.2072,5.14,-17.16%,-1364.22万,-170.16%,5.15,9760.48万,3168.76万,-2.98%,2.59亿,8176.21万
2024,9.886,0.4998,19.78,1.5919,6.21,4.05%,1944.42万,-14.66%,5.65,9247.91万,5570.91万,2.94%,2.85亿,9010.75万
2023,9.536,0.4998,19.08,1.5973,5.97,-3.39%,2278.35万,3.54%,5.44,1.45亿,4749.71万,3.72%,2.78亿,8593.37万
2022,4.238,0.4998,8.48,0.6869,6.17,-16.74%,2200.41万,-37.97%,5.18,1.09亿,2749.65万,3.29%,2.73亿,1.04亿
2021,,,,,7.42,19.68%,3547.07万,-12.10%,4.42,5700.63万,4778.49万,4.91%,2.04亿,9405.24万
2020,,,,,6.2,19.92%,4035.29万,49.42%,4.19,8200.69万,4177.51万,7.35%,1.93亿,9607.44万
2019,,,,,5.17,4.90%,2700.57万,19.30%,2.78,1067.64万,1586.63万,5.84%,1.11亿,6600.14万
2018,,,,,4.93,42.58%,2263.60万,51.85%,2.52,2169.81万,1381.24万,5.22%,1.01亿,5581.21万
2017,,,,,3.45,18.93%,1490.66万,17.94%,2.27,782.49万,1579.83万,4.53%,7665.56万,7337.21万
2016,,,,,2.9,41.18%,1263.96万,63.39%,2.49,1587.72万,2268.41万,4.53%,7921.46万,5714.77万
2015,,,,,2.06,2.29%,773.59万,39.19%,2.02,1202.63万,1098.21万,3.53%,6065.60万,6272.56万
2014,,,,,2.01,-27.15%,555.79万,-59.25%,1.76,1726.25万,395.91万,2.76%,5293.34万,4843.59万
2013,,,,,2.76,58.65%,1363.85万,-61.27%,1.57,2618.36万,3094.41万,4.94%,4738.51万,5550.08万
2012,,,,,1.74,False,3521.02万,False,0.97,1145.59万,1730.56万,20.22%,2922.60万,4915.47万
