报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,812.163,4.6489,174.7,0.8544,237.65,200.60%,13.27亿,7835.06%,10.45,65.07亿,34.05亿,5.65%,51.15亿,69.71亿
2025,671.022,4.6489,144.34,1.9036,352.51,45.24%,5.45亿,106.23%,7.69,25.47亿,20.78亿,1.97%,38.15亿,25.98亿
2024,130.087,4.5757,28.43,0.536,242.71,115.40%,2.64亿,-30.08%,6.42,10.03亿,16.11亿,1.06%,30.02亿,28.58亿
2023,153.423,4.5757,33.53,1.3616,112.68,-18.19%,3.78亿,20.29%,5.74,4.63亿,14.23亿,3.33%,26.71亿,14.36亿
2022,68.166,4.2,16.23,0.495,137.72,49.61%,3.14亿,40.25%,4.56,1.44亿,11.10亿,2.28%,19.41亿,12.48亿
2021,109.452,4.2,26.06,1.1889,92.06,3376.71%,2.24亿,247.76%,3.71,7.86亿,8.41亿,2.41%,15.78亿,6.69亿
2020,37.842,4.2,9.01,14.28,2.65,-12.05%,6437.54万,-0.36%,3.18,5.91亿,6.37亿,21.85%,13.57亿,4995.95万
2019,22.14,3.0,7.38,7.3555,3.01,-1.79%,6460.53万,93.34%,4.28,9.91亿,5.89亿,17.77%,13.12亿,5146.34万
2018,7.28,2.0,3.64,2.3713,3.07,-35.73%,3341.46万,-61.77%,6.11,2.33亿,5.32亿,7.64%,12.56亿,8165.41万
2017,,,6.33,,4.77,-0.92%,8740.31万,-9.55%,6.03,3.79亿,5.20亿,17.90%,12.13亿,4292.81万
2016,,,11.15,,4.81,25.18%,9663.45万,-8.27%,5.69,4.17亿,4.58亿,20.05%,11.43亿,4188.96万
2015,,,13.75,,3.85,-16.04%,1.05亿,-33.35%,5.31,5.00亿,3.90亿,27.39%,10.62亿,4307.72万
2014,,,,,4.58,16.61%,1.58亿,40.41%,3.90,3.01亿,3.26亿,34.51%,5.85亿,4447.47万
2013,,,,,3.93,-0.66%,1.13亿,17.16%,2.99,2.01亿,2.04亿,28.65%,4.49亿,4158.24万
2012,,,,,3.95,11.51%,9607.89万,31.30%,2.37,2.10亿,1.19亿,24.30%,3.56亿,4576.28万
2011,,,,,3.55,False,7317.25万,False,1.73,6096.56万,2994.20万,20.63%,2.60亿,5310.60万
