报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,15.118,0.6133,24.65,10.5194,0.359289,-8.84%,494.40万,-60.80%,8.22,1.70亿,1.94亿,14.26%,5.16亿,1.04亿
2025,18.841,0.6133,30.72,10.8908,1.73,-11.60%,1992.01万,-46.95%,8.14,1.57亿,1.89亿,11.79%,5.10亿,9858.40万
2024,8.365,0.6133,13.64,4.2679,1.96,12.47%,3754.82万,-14.52%,7.93,1.76亿,1.80亿,19.55%,4.97亿,9599.36万
2023,7.795,0.6133,12.71,4.4799,1.74,-14.66%,4392.45万,40.53%,7.46,1.75亿,1.56亿,25.49%,4.68亿,9261.63万
2022,6.25,0.6133,10.19,3.0637,2.04,-5.91%,3125.71万,-35.60%,6.91,2.09亿,1.22亿,15.32%,4.24亿,7611.85万
2021,,,,,2.17,38.80%,4853.33万,18.23%,4.71,7500.14万,1.03亿,22.39%,2.23亿,8853.43万
2020,,,,,1.56,8.60%,4105.09万,194.49%,5.25,2481.50万,7604.06万,26.28%,1.33亿,8303.34万
2019,,,,,1.44,27.68%,1393.99万,-38.72%,3.56,2564.28万,4290.48万,9.69%,8555.09万,5270.65万
2018,,,,,1.13,8.88%,2274.79万,67.14%,3.02,645.49万,3875.89万,13.46%,8001.11万,3279.95万
2017,,,,,1.02,32.89%,1361.01万,82.16%,2.55,1256.49万,2217.60万,13.28%,6114.69万,1950.85万
2016,,,,,0.771054,2.91%,747.16万,282.59%,1.98,531.72万,992.69万,9.69%,4753.69万,1545.79万
2015,,,,,0.749247,1.82%,195.29万,1.20%,1.67,716.69万,320.25万,2.61%,4006.53万,929.69万
2014,,,,,0.735867,-0.32%,192.98万,-2.15%,5.76,514.60万,1640.25万,2.62%,2305.66万,1180.90万
2013,,,,,0.738199,False,197.23万,False,5.28,379.72万,1466.56万,2.67%,2112.68万,885.37万
