报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,75.589,11.0997,6.81,1.2979,14.56,4.34%,6355.24万,56.90%,3.61,25.34亿,10.03亿,4.14%,41.21亿,4.22亿
2025,61.048,11.0997,5.5,1.0101,60.44,-11.49%,-5.35亿,-1609.99%,3.54,26.59亿,9.39亿,-9.06%,40.52亿,4.24亿
2024,52.391,11.0997,4.72,0.7672,68.29,-14.04%,3545.34万,110.50%,4.37,36.83亿,18.76亿,0.46%,50.67亿,5.02亿
2023,66.399,11.7729,5.64,0.8358,79.44,3.70%,-3.38亿,-289.40%,4.33,37.77亿,19.22亿,-4.31%,51.15亿,4.42亿
2022,135.801,11.8088,11.5,1.7726,76.61,-1.42%,1.78亿,-73.50%,4.76,24.08亿,23.19亿,2.32%,56.18亿,5.54亿
2021,170.952,11.5119,14.85,2.1999,77.71,24.57%,6.73亿,-24.45%,4.32,21.89亿,21.34亿,8.66%,49.68亿,4.04亿
2020,66.316,6.1177,10.84,1.0631,62.38,34.09%,8.90亿,145.03%,6.79,16.37亿,15.89亿,14.27%,41.52亿,3.40亿
2019,34.762,6.0772,5.72,0.7472,46.52,50.22%,3.63亿,96.13%,5.18,11.01亿,7.62亿,7.81%,31.49亿,5.85亿
2018,26.931,6.1067,4.41,0.8696,30.97,51.89%,1.85亿,-14.89%,4.77,13.31亿,4.62亿,5.98%,29.10亿,3.03亿
2017,,,,,20.39,38.37%,2.18亿,-17.68%,3.15,3.46亿,3.22亿,10.67%,14.43亿,2.20亿
2016,,,,,14.73,22.83%,2.64亿,60.37%,2.75,4.25亿,1.55亿,17.95%,12.58亿,1.49亿
2015,,,,,12.0,13.25%,1.65亿,109.91%,2.85,1.83亿,1.59亿,13.75%,5.60亿,1.02亿
2014,,,,,10.59,27.46%,7855.98万,98.72%,3.71,1.06亿,1.43亿,7.42%,3.22亿,1.16亿
2013,,,,,8.31,False,3953.26万,False,0.65,1.64亿,7048.99万,4.76%,1.75亿,7666.49万
